taxon	locus	pi1	pi2
caluya-camiguin_sur	locus28	0.0	0.0
lubang-mindoro_n	locus28	0.0	0.0
maestre_de_campo-mindoro_s	locus28	0.0	0.0
masbate-panay_ne	locus28	0.0	0.0
negros-panay_sw	locus28	0.0	0.0
caluya-camiguin_sur	locus29	0.0	0.0
lubang-mindoro_n	locus29	0.0	0.0
maestre_de_campo-mindoro_s	locus29	0.0	0.0
masbate-panay_ne	locus29	0.0	0.0
negros-panay_sw	locus29	0.0	0.0
caluya-camiguin_sur	locus30	0.0	0.0
lubang-mindoro_n	locus30	0.0	0.0
maestre_de_campo-mindoro_s	locus30	0.0	0.0
masbate-panay_ne	locus30	0.0	0.0
negros-panay_sw	locus30	0.0	0.0
caluya-camiguin_sur	locus31	0.0	0.0
lubang-mindoro_n	locus31	0.0	0.0
maestre_de_campo-mindoro_s	locus31	0.0	0.0
masbate-panay_ne	locus31	0.0	0.0
negros-panay_sw	locus31	0.0	0.0
caluya-camiguin_sur	locus32	0.0	0.0
lubang-mindoro_n	locus32	0.0	0.0
maestre_de_campo-mindoro_s	locus32	0.0	0.0
masbate-panay_ne	locus32	0.0	0.0
negros-panay_sw	locus32	0.0	0.0
caluya-camiguin_sur	locus33	0.0	0.0
lubang-mindoro_n	locus33	0.0	0.0
maestre_de_campo-mindoro_s	locus33	0.0	0.0
masbate-panay_ne	locus33	0.0	0.0
negros-panay_sw	locus33	0.0	0.0
caluya-camiguin_sur	locus34	0.0	0.0
lubang-mindoro_n	locus34	0.0	0.0
maestre_de_campo-mindoro_s	locus34	0.0	0.0
masbate-panay_ne	locus34	0.0	0.0
negros-panay_sw	locus34	0.0	0.0
caluya-camiguin_sur	locus35	0.0	0.0
lubang-mindoro_n	locus35	0.0	0.0
maestre_de_campo-mindoro_s	locus35	0.0	0.0
masbate-panay_ne	locus35	0.0	0.0
negros-panay_sw	locus35	0.0	0.0
caluya-camiguin_sur	locus36	0.0	0.0
lubang-mindoro_n	locus36	0.0	0.0
maestre_de_campo-mindoro_s	locus36	0.0	0.0
masbate-panay_ne	locus36	0.0	0.0
negros-panay_sw	locus36	0.0	0.0
caluya-camiguin_sur	locus37	0.0	0.0
lubang-mindoro_n	locus37	0.0	0.0
maestre_de_campo-mindoro_s	locus37	0.0	0.0
masbate-panay_ne	locus37	0.0	0.0
negros-panay_sw	locus37	0.0	0.0
caluya-camiguin_sur	locus38	0.0	0.0
lubang-mindoro_n	locus38	0.0	0.0
maestre_de_campo-mindoro_s	locus38	0.0	0.0
masbate-panay_ne	locus38	0.0	0.0
negros-panay_sw	locus38	0.0	0.0
caluya-camiguin_sur	locus39	0.0	0.0
lubang-mindoro_n	locus39	0.0	0.0
maestre_de_campo-mindoro_s	locus39	0.0	0.0
masbate-panay_ne	locus39	0.0	0.0
negros-panay_sw	locus39	0.0	0.0
caluya-camiguin_sur	locus40	0.0	0.0
lubang-mindoro_n	locus40	0.0	0.0
maestre_de_campo-mindoro_s	locus40	0.0	0.0
masbate-panay_ne	locus40	0.0	0.0
negros-panay_sw	locus40	0.0	0.00568181818182
caluya-camiguin_sur	locus41	0.0	0.0
lubang-mindoro_n	locus41	0.0	0.0
maestre_de_campo-mindoro_s	locus41	0.0	0.0
masbate-panay_ne	locus41	0.0	0.0
negros-panay_sw	locus41	0.0	0.0
caluya-camiguin_sur	locus42	0.0	0.0
lubang-mindoro_n	locus42	0.0	0.0
maestre_de_campo-mindoro_s	locus42	0.0	0.0
masbate-panay_ne	locus42	0.0	0.0
negros-panay_sw	locus42	0.0	0.0
caluya-camiguin_sur	locus43	0.0	0.0
lubang-mindoro_n	locus43	0.0	0.0
maestre_de_campo-mindoro_s	locus43	0.0	0.0
masbate-panay_ne	locus43	0.0	0.0
negros-panay_sw	locus43	0.00555555555556	0.0
caluya-camiguin_sur	locus44	0.0	0.0
lubang-mindoro_n	locus44	0.0	0.0
maestre_de_campo-mindoro_s	locus44	0.0	0.0
masbate-panay_ne	locus44	0.0	0.0
negros-panay_sw	locus44	0.0	0.0
caluya-camiguin_sur	locus45	0.0	0.0
lubang-mindoro_n	locus45	0.00595238095238	0.0
maestre_de_campo-mindoro_s	locus45	0.0	0.0
masbate-panay_ne	locus45	0.0	0.0
negros-panay_sw	locus45	0.0	0.00595238095238
caluya-camiguin_sur	locus46	0.0	0.0
lubang-mindoro_n	locus46	0.0	0.0
maestre_de_campo-mindoro_s	locus46	0.0	0.0
masbate-panay_ne	locus46	0.0	0.0
negros-panay_sw	locus46	0.0	0.0
caluya-camiguin_sur	locus47	0.0	0.0
lubang-mindoro_n	locus47	0.0	0.0
maestre_de_campo-mindoro_s	locus47	0.0	0.0
masbate-panay_ne	locus47	0.0	0.0
negros-panay_sw	locus47	0.0	0.0
caluya-camiguin_sur	locus48	0.0	0.0
lubang-mindoro_n	locus48	0.0	0.0
maestre_de_campo-mindoro_s	locus48	0.0	0.0
masbate-panay_ne	locus48	0.0	0.0
negros-panay_sw	locus48	0.0	0.0
caluya-camiguin_sur	locus49	0.0	0.0
lubang-mindoro_n	locus49	0.0	0.0
maestre_de_campo-mindoro_s	locus49	0.0	0.0
masbate-panay_ne	locus49	0.0	0.0
negros-panay_sw	locus49	0.0	0.0
caluya-camiguin_sur	locus50	0.0	0.0
lubang-mindoro_n	locus50	0.0	0.0
maestre_de_campo-mindoro_s	locus50	0.0	0.0
masbate-panay_ne	locus50	0.0	0.0
negros-panay_sw	locus50	0.0	0.0112359550562
caluya-camiguin_sur	locus51	0.0	0.0
lubang-mindoro_n	locus51	0.0	0.0
maestre_de_campo-mindoro_s	locus51	0.0	0.0
masbate-panay_ne	locus51	0.0	0.0
negros-panay_sw	locus51	0.0	0.0
caluya-camiguin_sur	locus52	0.0	0.0
lubang-mindoro_n	locus52	0.0	0.0
maestre_de_campo-mindoro_s	locus52	0.0	0.0
masbate-panay_ne	locus52	0.0	0.0
negros-panay_sw	locus52	0.0	0.0
caluya-camiguin_sur	locus53	0.0	0.0
lubang-mindoro_n	locus53	0.0	0.0
maestre_de_campo-mindoro_s	locus53	0.0	0.0
masbate-panay_ne	locus53	0.0	0.0
negros-panay_sw	locus53	0.0	0.0
caluya-camiguin_sur	locus54	0.0	0.0
lubang-mindoro_n	locus54	0.0	0.0
maestre_de_campo-mindoro_s	locus54	0.0	0.0
masbate-panay_ne	locus54	0.0	0.0
negros-panay_sw	locus54	0.0	0.0
caluya-camiguin_sur	locus55	0.0	0.0
lubang-mindoro_n	locus55	0.0	0.0
maestre_de_campo-mindoro_s	locus55	0.0	0.0
masbate-panay_ne	locus55	0.0	0.0
negros-panay_sw	locus55	0.0	0.0
caluya-camiguin_sur	locus56	0.0	0.0
lubang-mindoro_n	locus56	0.0	0.0
maestre_de_campo-mindoro_s	locus56	0.0	0.0
masbate-panay_ne	locus56	0.0	0.0
negros-panay_sw	locus56	0.0	0.0
caluya-camiguin_sur	locus57	0.0	0.0
lubang-mindoro_n	locus57	0.0	0.0
maestre_de_campo-mindoro_s	locus57	0.0	0.0
masbate-panay_ne	locus57	0.0	0.00803212851406
negros-panay_sw	locus57	0.0	0.0
caluya-camiguin_sur	locus58	0.0	0.0
lubang-mindoro_n	locus58	0.0	0.0
maestre_de_campo-mindoro_s	locus58	0.0	0.0
masbate-panay_ne	locus58	0.0	0.0
negros-panay_sw	locus58	0.0	0.0
caluya-camiguin_sur	locus59	0.0	0.0
lubang-mindoro_n	locus59	0.0	0.0
maestre_de_campo-mindoro_s	locus59	0.0	0.0
masbate-panay_ne	locus59	0.0	0.0
negros-panay_sw	locus59	0.0	0.0
caluya-camiguin_sur	locus60	0.0	0.0
lubang-mindoro_n	locus60	0.0	0.0
maestre_de_campo-mindoro_s	locus60	0.0	0.0
masbate-panay_ne	locus60	0.0	0.0
negros-panay_sw	locus60	0.0	0.0
caluya-camiguin_sur	locus61	0.0	0.0
lubang-mindoro_n	locus61	0.0	0.0
maestre_de_campo-mindoro_s	locus61	0.0	0.0
masbate-panay_ne	locus61	0.0	0.0
negros-panay_sw	locus61	0.0	0.0
caluya-camiguin_sur	locus62	0.0	0.0
lubang-mindoro_n	locus62	0.0	0.0
maestre_de_campo-mindoro_s	locus62	0.0	0.0
masbate-panay_ne	locus62	0.0	0.0
negros-panay_sw	locus62	0.0	0.0
caluya-camiguin_sur	locus63	0.0	0.0
lubang-mindoro_n	locus63	0.0	0.0
maestre_de_campo-mindoro_s	locus63	0.0	0.0
masbate-panay_ne	locus63	0.0	0.0
negros-panay_sw	locus63	0.0	0.0
caluya-camiguin_sur	locus64	0.0	0.0
lubang-mindoro_n	locus64	0.0	0.0
maestre_de_campo-mindoro_s	locus64	0.0	0.0
masbate-panay_ne	locus64	0.0	0.0
negros-panay_sw	locus64	0.0	0.0
caluya-camiguin_sur	locus65	0.0	0.0
lubang-mindoro_n	locus65	0.0	0.0
maestre_de_campo-mindoro_s	locus65	0.0	0.0
masbate-panay_ne	locus65	0.0	0.0
negros-panay_sw	locus65	0.0	0.0
caluya-camiguin_sur	locus66	0.0	0.0
lubang-mindoro_n	locus66	0.0	0.0
maestre_de_campo-mindoro_s	locus66	0.0	0.0
masbate-panay_ne	locus66	0.0	0.0
negros-panay_sw	locus66	0.0	0.0
caluya-camiguin_sur	locus67	0.0	0.0
lubang-mindoro_n	locus67	0.0	0.0
maestre_de_campo-mindoro_s	locus67	0.0	0.0
masbate-panay_ne	locus67	0.0	0.0
negros-panay_sw	locus67	0.0	0.0
caluya-camiguin_sur	locus68	0.0	0.0
lubang-mindoro_n	locus68	0.0	0.0
maestre_de_campo-mindoro_s	locus68	0.0	0.0
masbate-panay_ne	locus68	0.0	0.0
negros-panay_sw	locus68	0.0	0.0
caluya-camiguin_sur	locus69	0.0	0.0
lubang-mindoro_n	locus69	0.0	0.0
maestre_de_campo-mindoro_s	locus69	0.0	0.0
masbate-panay_ne	locus69	0.0	0.0
negros-panay_sw	locus69	0.0	0.0
caluya-camiguin_sur	locus70	0.0	0.0
lubang-mindoro_n	locus70	0.0	0.0
maestre_de_campo-mindoro_s	locus70	0.0	0.0
masbate-panay_ne	locus70	0.0	0.0
negros-panay_sw	locus70	0.0	0.0
caluya-camiguin_sur	locus71	0.0	0.0
lubang-mindoro_n	locus71	0.0	0.0
maestre_de_campo-mindoro_s	locus71	0.0	0.0
masbate-panay_ne	locus71	0.0166666666667	0.0
negros-panay_sw	locus71	0.0	0.0
caluya-camiguin_sur	locus72	0.0	0.0
lubang-mindoro_n	locus72	0.0	0.0
maestre_de_campo-mindoro_s	locus72	0.0	0.0
masbate-panay_ne	locus72	0.0	0.0
negros-panay_sw	locus72	0.0	0.0
caluya-camiguin_sur	locus73	0.0	0.0
lubang-mindoro_n	locus73	0.0	0.0
maestre_de_campo-mindoro_s	locus73	0.0	0.0
masbate-panay_ne	locus73	0.0	0.0
negros-panay_sw	locus73	0.0	0.0
caluya-camiguin_sur	locus74	0.0	0.0
lubang-mindoro_n	locus74	0.0	0.0
maestre_de_campo-mindoro_s	locus74	0.0	0.0
masbate-panay_ne	locus74	0.0	0.0
negros-panay_sw	locus74	0.0	0.0
caluya-camiguin_sur	locus75	0.0	0.0
lubang-mindoro_n	locus75	0.0	0.0
maestre_de_campo-mindoro_s	locus75	0.0	0.0
masbate-panay_ne	locus75	0.0	0.0
negros-panay_sw	locus75	0.0	0.0
caluya-camiguin_sur	locus76	0.0	0.0
lubang-mindoro_n	locus76	0.0	0.0
maestre_de_campo-mindoro_s	locus76	0.0	0.0
masbate-panay_ne	locus76	0.0	0.0
negros-panay_sw	locus76	0.0	0.0
caluya-camiguin_sur	locus77	0.0	0.0
lubang-mindoro_n	locus77	0.0	0.0
maestre_de_campo-mindoro_s	locus77	0.0	0.0
masbate-panay_ne	locus77	0.0	0.0
negros-panay_sw	locus77	0.0	0.0
caluya-camiguin_sur	locus78	0.0	0.0
lubang-mindoro_n	locus78	0.0	0.0
maestre_de_campo-mindoro_s	locus78	0.0	0.0
masbate-panay_ne	locus78	0.0	0.0
negros-panay_sw	locus78	0.0	0.0
caluya-camiguin_sur	locus79	0.0	0.0
lubang-mindoro_n	locus79	0.0	0.0
maestre_de_campo-mindoro_s	locus79	0.0	0.0
masbate-panay_ne	locus79	0.0	0.0
negros-panay_sw	locus79	0.0	0.0
caluya-camiguin_sur	locus80	0.0	0.0
lubang-mindoro_n	locus80	0.0	0.0
maestre_de_campo-mindoro_s	locus80	0.0	0.0
masbate-panay_ne	locus80	0.0	0.0
negros-panay_sw	locus80	0.0	0.0
caluya-camiguin_sur	locus81	0.0	0.0
lubang-mindoro_n	locus81	0.0	0.0
maestre_de_campo-mindoro_s	locus81	0.0	0.0
masbate-panay_ne	locus81	0.0	0.0
negros-panay_sw	locus81	0.0	0.0
caluya-camiguin_sur	locus82	0.0	0.0
lubang-mindoro_n	locus82	0.0	0.00568181818182
maestre_de_campo-mindoro_s	locus82	0.0	0.0
masbate-panay_ne	locus82	0.0	0.0
negros-panay_sw	locus82	0.0	0.0
caluya-camiguin_sur	locus83	0.0	0.0
lubang-mindoro_n	locus83	0.0	0.0
maestre_de_campo-mindoro_s	locus83	0.0	0.0
masbate-panay_ne	locus83	0.0	0.0
negros-panay_sw	locus83	0.0	0.0
caluya-camiguin_sur	locus84	0.0	0.0
lubang-mindoro_n	locus84	0.0	0.0
maestre_de_campo-mindoro_s	locus84	0.0	0.00757575757576
masbate-panay_ne	locus84	0.0	0.0
negros-panay_sw	locus84	0.0	0.0
caluya-camiguin_sur	locus85	0.0	0.0
lubang-mindoro_n	locus85	0.0	0.0
maestre_de_campo-mindoro_s	locus85	0.0	0.0
masbate-panay_ne	locus85	0.0	0.0
negros-panay_sw	locus85	0.0	0.0
caluya-camiguin_sur	locus86	0.0	0.0
lubang-mindoro_n	locus86	0.0	0.0
maestre_de_campo-mindoro_s	locus86	0.0	0.0
masbate-panay_ne	locus86	0.0	0.0
negros-panay_sw	locus86	0.0	0.0
caluya-camiguin_sur	locus87	0.0	0.0
lubang-mindoro_n	locus87	0.0	0.0
maestre_de_campo-mindoro_s	locus87	0.0	0.0
masbate-panay_ne	locus87	0.0	0.0
negros-panay_sw	locus87	0.0	0.0
caluya-camiguin_sur	locus88	0.0	0.0
lubang-mindoro_n	locus88	0.0	0.0
maestre_de_campo-mindoro_s	locus88	0.0	0.0
masbate-panay_ne	locus88	0.0	0.0
negros-panay_sw	locus88	0.0	0.0
caluya-camiguin_sur	locus89	0.0	0.0
lubang-mindoro_n	locus89	0.0	0.0
maestre_de_campo-mindoro_s	locus89	0.0	0.0
masbate-panay_ne	locus89	0.0	0.0
negros-panay_sw	locus89	0.0	0.0
caluya-camiguin_sur	locus90	0.0	0.0
lubang-mindoro_n	locus90	0.0	0.0
maestre_de_campo-mindoro_s	locus90	0.0	0.0
masbate-panay_ne	locus90	0.0	0.0
negros-panay_sw	locus90	0.0	0.0
caluya-camiguin_sur	locus91	0.0	0.0
lubang-mindoro_n	locus91	0.0	0.0
maestre_de_campo-mindoro_s	locus91	0.0	0.0
masbate-panay_ne	locus91	0.0	0.0
negros-panay_sw	locus91	0.0	0.0
caluya-camiguin_sur	locus92	0.0	0.0
lubang-mindoro_n	locus92	0.0	0.0
maestre_de_campo-mindoro_s	locus92	0.00833333333333	0.0
masbate-panay_ne	locus92	0.0	0.0
negros-panay_sw	locus92	0.0	0.0
caluya-camiguin_sur	locus93	0.0	0.0
lubang-mindoro_n	locus93	0.0	0.0
maestre_de_campo-mindoro_s	locus93	0.0	0.0
masbate-panay_ne	locus93	0.0	0.0
negros-panay_sw	locus93	0.0	0.0
caluya-camiguin_sur	locus94	0.0	0.0
lubang-mindoro_n	locus94	0.0	0.0
maestre_de_campo-mindoro_s	locus94	0.0	0.0
masbate-panay_ne	locus94	0.0	0.0
negros-panay_sw	locus94	0.0	0.0
caluya-camiguin_sur	locus95	0.0	0.0
lubang-mindoro_n	locus95	0.0	0.0
maestre_de_campo-mindoro_s	locus95	0.0	0.0
masbate-panay_ne	locus95	0.0	0.0
negros-panay_sw	locus95	0.0	0.0
caluya-camiguin_sur	locus96	0.0	0.0
lubang-mindoro_n	locus96	0.0	0.0
maestre_de_campo-mindoro_s	locus96	0.0	0.0
masbate-panay_ne	locus96	0.0	0.0
negros-panay_sw	locus96	0.0	0.0
caluya-camiguin_sur	locus97	0.0	0.0
lubang-mindoro_n	locus97	0.0	0.0
maestre_de_campo-mindoro_s	locus97	0.0	0.0
masbate-panay_ne	locus97	0.0	0.0
negros-panay_sw	locus97	0.0	0.0
caluya-camiguin_sur	locus98	0.0	0.0
lubang-mindoro_n	locus98	0.0	0.0
maestre_de_campo-mindoro_s	locus98	0.0	0.0
masbate-panay_ne	locus98	0.0	0.0
negros-panay_sw	locus98	0.0	0.0
caluya-camiguin_sur	locus99	0.0	0.0
lubang-mindoro_n	locus99	0.0	0.0
maestre_de_campo-mindoro_s	locus99	0.0	0.0
masbate-panay_ne	locus99	0.0	0.0
negros-panay_sw	locus99	0.0	0.0
caluya-camiguin_sur	locus100	0.0	0.0
lubang-mindoro_n	locus100	0.0	0.0
maestre_de_campo-mindoro_s	locus100	0.0	0.0
masbate-panay_ne	locus100	0.0	0.0
negros-panay_sw	locus100	0.0	0.0
caluya-camiguin_sur	locus101	0.0	0.0
lubang-mindoro_n	locus101	0.0	0.0
maestre_de_campo-mindoro_s	locus101	0.0	0.0
masbate-panay_ne	locus101	0.0	0.0
negros-panay_sw	locus101	0.0	0.0
caluya-camiguin_sur	locus102	0.0	0.0
lubang-mindoro_n	locus102	0.0	0.0
maestre_de_campo-mindoro_s	locus102	0.0	0.0
masbate-panay_ne	locus102	0.0	0.0
negros-panay_sw	locus102	0.0	0.0
caluya-camiguin_sur	locus103	0.0	0.0
lubang-mindoro_n	locus103	0.0	0.0
maestre_de_campo-mindoro_s	locus103	0.0	0.0
masbate-panay_ne	locus103	0.0	0.0
negros-panay_sw	locus103	0.0	0.0
caluya-camiguin_sur	locus104	0.0	0.0
lubang-mindoro_n	locus104	0.0	0.0
maestre_de_campo-mindoro_s	locus104	0.0	0.0
masbate-panay_ne	locus104	0.0	0.0
negros-panay_sw	locus104	0.0	0.0
caluya-camiguin_sur	locus105	0.0	0.0
lubang-mindoro_n	locus105	0.0	0.0
maestre_de_campo-mindoro_s	locus105	0.0	0.0
masbate-panay_ne	locus105	0.0	0.0
negros-panay_sw	locus105	0.0	0.0
caluya-camiguin_sur	locus106	0.0	0.0
lubang-mindoro_n	locus106	0.0	0.00732600732601
maestre_de_campo-mindoro_s	locus106	0.0	0.0
masbate-panay_ne	locus106	0.0	0.0
negros-panay_sw	locus106	0.0	0.0
caluya-camiguin_sur	locus107	0.0	0.0
lubang-mindoro_n	locus107	0.0	0.0
maestre_de_campo-mindoro_s	locus107	0.0	0.0
masbate-panay_ne	locus107	0.0	0.0
negros-panay_sw	locus107	0.0	0.0
caluya-camiguin_sur	locus108	0.0	0.0
lubang-mindoro_n	locus108	0.0	0.0
maestre_de_campo-mindoro_s	locus108	0.0	0.0
masbate-panay_ne	locus108	0.0	0.0
negros-panay_sw	locus108	0.0	0.0
caluya-camiguin_sur	locus109	0.0	0.0
lubang-mindoro_n	locus109	0.0	0.0
maestre_de_campo-mindoro_s	locus109	0.0	0.0
masbate-panay_ne	locus109	0.0	0.0
negros-panay_sw	locus109	0.0	0.0
caluya-camiguin_sur	locus110	0.0	0.0
lubang-mindoro_n	locus110	0.0	0.0
maestre_de_campo-mindoro_s	locus110	0.0	0.0
masbate-panay_ne	locus110	0.0	0.0
negros-panay_sw	locus110	0.0	0.0
caluya-camiguin_sur	locus111	0.0	0.0
lubang-mindoro_n	locus111	0.0	0.0
maestre_de_campo-mindoro_s	locus111	0.00766283524904	0.0
masbate-panay_ne	locus111	0.0	0.0
negros-panay_sw	locus111	0.0	0.0
caluya-camiguin_sur	locus112	0.0	0.0
lubang-mindoro_n	locus112	0.0	0.0
maestre_de_campo-mindoro_s	locus112	0.0	0.0
masbate-panay_ne	locus112	0.0	0.0
negros-panay_sw	locus112	0.0	0.0
caluya-camiguin_sur	locus113	0.0	0.0
lubang-mindoro_n	locus113	0.0	0.0
maestre_de_campo-mindoro_s	locus113	0.0	0.0
masbate-panay_ne	locus113	0.0	0.0
negros-panay_sw	locus113	0.0	0.0
caluya-camiguin_sur	locus114	0.0	0.0
lubang-mindoro_n	locus114	0.0	0.0
maestre_de_campo-mindoro_s	locus114	0.0505617977528	0.0
masbate-panay_ne	locus114	0.0	0.0
negros-panay_sw	locus114	0.0	0.0
caluya-camiguin_sur	locus115	0.0	0.0
lubang-mindoro_n	locus115	0.0	0.0
maestre_de_campo-mindoro_s	locus115	0.0	0.0
masbate-panay_ne	locus115	0.0	0.0
negros-panay_sw	locus115	0.0	0.0
caluya-camiguin_sur	locus116	0.0	0.0
lubang-mindoro_n	locus116	0.0	0.0
maestre_de_campo-mindoro_s	locus116	0.0	0.0
masbate-panay_ne	locus116	0.0	0.0
negros-panay_sw	locus116	0.0	0.0
caluya-camiguin_sur	locus117	0.0	0.0
lubang-mindoro_n	locus117	0.0	0.0
maestre_de_campo-mindoro_s	locus117	0.0	0.0
masbate-panay_ne	locus117	0.0	0.0
negros-panay_sw	locus117	0.0	0.0
caluya-camiguin_sur	locus118	0.0	0.0
lubang-mindoro_n	locus118	0.0	0.0
maestre_de_campo-mindoro_s	locus118	0.0	0.0
