catalog_series	catalog_number	field_series	field_number	genus	epithet	country	island	paic	locality	lat	long	tissue	extract	date	source
LSUHC	1517	LSUHC	1517	Cyrtodactylus	seribuatensis	Malaysia	Pulau Mentigi		Malaysia, Johor, Pulau Mentigi				False		LSUHC_geckos.txt
LSUHC	1514	LSUHC	1514	Cyrtodactylus	seribuatensis	Malaysia	Pulau Mentigi		Malaysia, Johor, Pulau Mentigi				False		LSUHC_geckos.txt
LSUHC	1515	LSUHC	1515	Cyrtodactylus	seribuatensis	Malaysia	Pulau Mentigi		Malaysia, Johor, Pulau Mentigi				False		LSUHC_geckos.txt
LSUHC	1022	LSUHC	1022	Gekko	monarchus	Malaysia	Pulau Tioman		Malaysia, Pahang, Pulau Tioman, Tekek-Juara Trail				False		LSUHC_geckos.txt
LSUHC	1023	LSUHC	1023	Gekko	smithii	Malaysia	Pulau Tulai		Malaysia, Johor, Pulau Tulai				False		LSUHC_geckos.txt
LSUHC	1020	LSUHC	1020	Gekko	monarchus	Malaysia	Pulau Aur		Malaysia, Johor, Pulau Aur, Kampung Berhala				False		LSUHC_geckos.txt
LSUHC	1021	LSUHC	1021	Gekko	monarchus	Malaysia	Pulau Aur		Malaysia, Johor, Pulau Aur, Kampung Berhala				False		LSUHC_geckos.txt
LSUHC	1026	LSUHC	1026	Gekko	smithii	Malaysia	Pulau Tulai		Malaysia, Johor, Pulau Tulai				False		LSUHC_geckos.txt
LSUHC	1024	LSUHC	1024	Gekko	smithii	Malaysia	Pulau Tulai		Malaysia, Johor, Pulau Tulai				False		LSUHC_geckos.txt
LSUHC	186	LSUHC	186	Gekko	smithii	Malaysia	Pulau Tioman		Malaysia, Pahang, Pulau Tioman, Tekek-Juara taril				False		LSUHC_geckos.txt
LSUHC	3051	LSUHC	3051	Cyrtodactylus	eismannii	Vietnam			Vietnam, Hon Tre				False		LSUHC_geckos.txt
LSUHC	5195	LSUHC	5195	Cyrtodactylus	pulchellus	West Malaysia	Pulau Langkawi		West Malaysia, Kedah, Pulau Langkawi, Wat Wanraram				False		LSUHC_geckos.txt
LSUHC	4813	LSUHC	4813	Gekko	smithii	West Malaysia			West Malaysia, Pahang, Tasik Chini			Z-378-C7	False		ku_freezer.txt/LSUHC_geckos.txt
LSUHC	4814	LSUHC	4814	Gekko	smithii	West Malaysia			West Malaysia, Pahang, Tasik Chini				False		LSUHC_geckos.txt
LSUHC	4815	LSUHC	4815	Gekko	smithii	West Malaysia			West Malaysia, Pahang, Tasik Chini				False		LSUHC_geckos.txt
LSUHC	4816	LSUHC	4816	Gekko	smithii	West Malaysia			West Malaysia, Pahang, Tasik Chini				False		LSUHC_geckos.txt
LSUHC	4817	LSUHC	4817	Gekko	smithii	West Malaysia			West Malaysia, Pahang, Tasik Chini				False		LSUHC_geckos.txt
LSUHC	5621	LSUHC	5621	Cyrtodactylus	tiomanensis	West Malaysia	Pulau Tioman		West Malaysia, Pahang, Pulau Tioman				False		LSUHC_geckos.txt
LSUHC	5947	LSUHC	5947	Ptychozoon	kuhli	West Malaysia			West Malaysia, Terengganu, Hutan Lipur Sekayo				False		LSUHC_geckos.txt
LSUHC	5946	LSUHC	5946	Ptychozoon	kuhli	West Malaysia			West Malaysia, Terengganu, Hutan Lipur Sekayo				False		LSUHC_geckos.txt
LSUHC	5743	LSUHC	5743	Ptychozoon	lionotum	West Malaysia	Pulau Pinang		West Malaysia, Penang, Pulau Pinang, above Botanical Gardens				False		LSUHC_geckos.txt
LSUHC	5742	LSUHC	5742	Ptychozoon	lionotum	West Malaysia	Pulau Pinang		West Malaysia, Penang, Pulau Pinang, above Botanical Gardens			Z-378-I5	False		ku_freezer.txt/LSUHC_geckos.txt
LSUHC	5741	LSUHC	5741	Ptychozoon	lionotum	West Malaysia	Pulau Pinang		West Malaysia, Penang, Pulau Pinang, above Botanical Gardens				False		LSUHC_geckos.txt
LSUHC	5948	LSUHC	5948	Cyrtodactylus	pulchellus	West Malaysia	Pulau Pinang		West Malaysia, Penang, Pulau Pinang, Terjun Titi Kerawang				False		LSUHC_geckos.txt
LSUHC	5744	LSUHC	5744	Ptychozoon	lionotum	West Malaysia	Pulau Pinang		West Malaysia, Penang, Pulau Pinang, above Botanical Gardens				False		LSUHC_geckos.txt
LSUHC	4458	LSUHC	4458	Cyrtodactylus	batucolus	West Malaysia	Pulau Besar		West Malaysia, Melaka, Pulau Besar				False		LSUHC_geckos.txt
LSUHC	5871	LSUHC	5871	Cyrtodactylus	sworderi	West Malaysia			West Malaysia, Johor, Kota Tinggi Waterfall				False		LSUHC_geckos.txt
LSUHC	3329	LSUHC	3329	Cyrtodactylus	condorensis	Vietnam	Con Dao		Vietnam, Con Dao Islands, Con Son Island				False		LSUHC_geckos.txt
LSUHC	3328	LSUHC	3328	Cyrtodactylus	condorensis	Vietnam	Con Dao		Vietnam, Con Dao Islands, Con Son Island				False		LSUHC_geckos.txt
LSUHC	4308	LSUHC	4308	Ptychozoon	kuhli	West Malaysia	Pulau Perhentian Besar		West Malaysia, Trengganu, Pulau Perhentian Besar				False		LSUHC_geckos.txt
LSUHC	238	LSUHC	238	Gekko	monarchus	Malaysia	Pulau Mertang Timur		Malaysia, Johor, Pulau Mertang Timur				False		LSUHC_geckos.txt
LSUHC	4450	LSUHC	4450	Cyrtodactylus	semenanjungensis	West Malaysia			West Malaysia, Johor, Bunker Trail				False		LSUHC_geckos.txt
LSUHC	4451	LSUHC	4451	Cyrtodactylus	semenanjungensis	West Malaysia			West Malaysia, Johor, Bunker Trail				False		LSUHC_geckos.txt
LSUHC	4452	LSUHC	4452	Cyrtodactylus	semenanjungensis	West Malaysia			West Malaysia, Johor, Bunker Trail				False		LSUHC_geckos.txt
LSUHC	4453	LSUHC	4453	Cyrtodactylus	semenanjungensis	West Malaysia			West Malaysia, Johor, Bunker Trail				False		LSUHC_geckos.txt
LSUHC	3327	LSUHC	3327	Cyrtodactylus	condorensis	Vietnam	Con Dao		Vietnam, Con Dao Islands, Con Son Island				False		LSUHC_geckos.txt
LSUHC	4455	LSUHC	4455	Cyrtodactylus	quadrivirgatus	West Malaysia			West Malaysia, Perak, Bukit Larut				False		LSUHC_geckos.txt
LSUHC	4456	LSUHC	4456	Cyrtodactylus	quadrivirgatus	West Malaysia			West Malaysia, Perak, Bukit Larut				False		LSUHC_geckos.txt
LSUHC	4457	LSUHC	4457	Cyrtodactylus	batucolus	West Malaysia	Pulau Besar		West Malaysia, Melaka, Pulau Besar				False		LSUHC_geckos.txt
LSUHC	4550	LSUHC	4550	Ptychozoon	lionotum	West Malaysia	Pulau Perhentian Besar		West Malaysia, Terengganu, Pulau Perhentian Besar				False		LSUHC_geckos.txt
LSUHC	1	LSUHC	1	Ptychozoon	lionotum	Malaysia	Pulau Tioman		Malaysia, Pahang, Pulau Tioman, Tekek-Juara taril				False		LSUHC_geckos.txt
LSUHC	2	LSUHC	2	Ptychozoon	lionotum	Malaysia	Pulau Tioman		Malaysia, Pahang, Pulau Tioman, Tekek-Juara taril				False		LSUHC_geckos.txt
LSUHC	8	LSUHC	8	Cyrtodactylus	seribuatensis	Malaysia	Pulau Nangka Kecil		Malaysia, Johor, Pulau Nangka Kecil				False		LSUHC_geckos.txt
LSUHC	4695	LSUHC	4695	Cyrtodactylus	pulchellus	West Malaysia	Pulau Langkawi		West Malaysia, Kedah, Pulau Langkawi				False		LSUHC_geckos.txt
