catalog_series	catalog_number	field_series	field_number	genus	epithet	country	island	paic	locality	lat	long	tissue	extract	date	source
LSUHC	2290	LSUHC	2290	Cyrtodactylus	brevipalmatus	Thailand			Thailand				False		LSUHC_geckos.txt
LSUHC	2291	LSUHC	2291	Cyrtodactylus	brevipalmatus	Thailand			Thailand				False		LSUHC_geckos.txt
LSUHC	4459	LSUHC	4459	Cyrtodactylus	batucolus	West Malaysia	Pulau Besar		West Malaysia, Melaka, Pulau Besar				False		LSUHC_geckos.txt
LSUHC	1019	LSUHC	1019	Gekko	monarchus	Malaysia	Pulau Aur		Malaysia, Johor, Pulau Aur, Kampung Berhala				False		LSUHC_geckos.txt
LSUHC	3063	LSUHC	3063	Cyrtodactylus	hontreensis	Vietnam			Vietnam, Hon Tre				False		LSUHC_geckos.txt
LSUHC	3064	LSUHC	3064	Cyrtodactylus	hontreensis	Vietnam			Vietnam, Hon Tre				False		LSUHC_geckos.txt
LSUHC	3065	LSUHC	3065	Cyrtodactylus	hontreensis	Vietnam			Vietnam, Hon Tre				False		LSUHC_geckos.txt
LSUHC	3066	LSUHC	3066	Cyrtodactylus	hontreensis	Vietnam			Vietnam, Hon Tre				False		LSUHC_geckos.txt
LSUHC	3067	LSUHC	3067	Cyrtodactylus	hontreensis	Vietnam			Vietnam, Hon Tre				False		LSUHC_geckos.txt
LSUHC	3161	LSUHC	3161	Cyrtodactylus	grismeri	Vietnam			Vietnam, Tuc Dup Hill				False		LSUHC_geckos.txt
LSUHC	3160	LSUHC	3160	Cyrtodactylus	grismeri	Vietnam			Vietnam, Tuc Dup Hill				False		LSUHC_geckos.txt
LSUHC	3163	LSUHC	3163	Cyrtodactylus	grismeri	Vietnam			Vietnam, Tuc Dup Hill				False		LSUHC_geckos.txt
LSUHC	3162	LSUHC	3162	Cyrtodactylus	grismeri	Vietnam			Vietnam, Tuc Dup Hill				False		LSUHC_geckos.txt
LSUHC	4869	LSUHC	4869	Cyrtodactylus	batucolus	West Malaysia	Pulau Besar		West Malaysia, Melaka, Pulau Besar				False		LSUHC_geckos.txt
LSUHC	4021	LSUHC	4021	Cyrtodactylus	sp.	Cambodia			Cambodia, Kampot Prov., Phnom Laang				False		LSUHC_geckos.txt
LSUHC	5153	LSUHC	5153	Ptychozoon	kuhli	West Malaysia	Pulau Perhentian Besar		West Malaysia, Terengganu, Pulau Perhentian Besar				False		LSUHC_geckos.txt
LSUHC	4476	LSUHC	4476	Cyrtodactylus	pantiensis	West Malaysia			West Malaysia, Johor, Bunker Trail				False		LSUHC_geckos.txt
