fragment_length	frequency
82	3
83	1
84	1
85	1
86	1
87	2
88	2
90	1
91	1
92	1
95	2
96	1
98	1
102	1
104	1
105	1
106	1
108	1
114	1
115	1
117	1
124	1
132	1
138	1
141	1
143	1
150	1
151	1
158	1
160	1
174	2
178	2
183	1
187	2
194	1
195	1
196	1
202	3
207	3
216	1
217	1
221	6
230	1
231	2
232	1
234	1
235	1
236	1
245	1
248	1
256	1
265	1
267	1
278	1
279	1
295	2
297	1
303	2
304	1
310	1
311	1
318	1
323	2
324	1
326	1
338	1
343	1
346	1
352	1
355	1
366	1
367	1
374	1
377	1
382	1
383	1
389	1
393	2
407	1
413	1
415	1
425	1
432	2
436	1
447	1
449	1
451	1
454	1
465	1
481	1
491	2
493	1
495	1
507	1
510	1
512	1
517	1
520	1
524	1
540	1
551	1
555	1
563	1
578	1
583	1
588	1
606	1
614	2
628	1
630	2
631	2
636	1
647	1
657	1
659	1
660	1
662	1
663	1
669	1
674	1
680	2
682	1
693	1
694	2
705	1
715	1
729	1
736	1
746	1
757	1
759	1
763	1
771	1
775	1
779	1
782	1
784	1
799	1
801	1
802	1
803	1
805	1
823	1
834	1
842	1
844	1
847	1
851	1
869	1
871	1
888	1
901	1
907	1
921	1
943	1
947	1
956	1
963	1
965	1
983	1
994	1
995	1
1001	1
1004	1
1013	1
1019	1
1025	1
1037	2
1039	1
1043	1
1044	1
1046	1
1049	1
1064	1
1078	1
1081	1
1089	1
1092	1
1095	1
1104	1
1123	1
1125	1
1128	1
1131	1
1138	1
1141	1
1147	1
1152	1
1154	1
1155	1
1156	1
1167	1
1170	1
1182	1
1200	1
1201	1
1203	1
1204	1
1206	1
1219	1
1236	2
1246	1
1271	1
1283	1
1286	1
1298	1
1299	1
1306	1
1308	1
1312	1
1314	1
1334	2
1343	1
1360	1
1363	1
1372	1
1375	1
1383	2
1384	1
1389	1
1402	1
1405	1
1416	1
1427	1
1428	1
1445	1
1451	1
1456	1
1458	2
1460	1
1462	1
1469	1
1471	1
1483	1
1503	1
1504	1
1526	1
1535	1
1542	1
1554	1
1564	1
1570	1
1574	1
1579	1
1584	1
1587	1
1594	1
1609	1
1611	1
1616	1
1634	1
1635	1
1636	1
1662	1
1664	1
1667	1
1683	1
1686	1
1687	1
1718	1
1723	1
1738	3
1753	1
1779	1
1799	1
1820	1
1829	1
1838	1
1839	1
1856	1
1857	1
1864	1
1870	1
1879	1
1893	2
1895	1
1901	1
1915	1
1933	1
1934	1
1945	1
1971	1
1972	1
1981	1
1995	1
2011	1
2014	1
2053	1
2057	1
2062	1
2065	1
2071	1
2078	1
2096	1
2115	1
2124	1
2140	1
2141	1
2159	1
2164	1
2176	1
2180	1
2189	1
2194	1
2202	1
2204	1
2208	1
2221	1
2230	1
2247	1
2249	1
2257	1
2260	1
2261	1
2266	1
2278	1
2286	1
2321	1
2341	1
2345	1
2356	1
2378	1
2387	1
2398	1
2404	1
2409	1
2414	1
2416	1
2443	1
2458	1
2461	1
2465	1
2484	1
2491	1
2507	1
2526	1
2553	1
2566	1
2573	1
2582	1
2595	1
2611	1
2627	1
2642	1
2650	1
2667	1
2682	2
2695	1
2712	1
2737	1
2741	1
2742	1
2758	1
2769	1
2771	1
2798	1
2800	1
2804	2
2809	1
2823	1
2824	1
2835	1
2843	1
2846	1
2864	1
2868	1
2884	2
2890	1
2893	1
2901	1
2903	1
2925	1
2926	1
2946	1
2948	1
2956	1
2967	1
2981	1
3008	1
3043	1
3074	2
3086	1
3108	1
3145	1
3147	1
3173	1
3184	1
3191	1
3199	1
3230	2
3231	1
3264	1
3277	1
3286	1
3294	1
3310	1
3316	1
3352	1
3362	1
3386	2
3388	2
3425	1
3432	1
3435	1
3441	1
3450	1
3470	1
3488	1
3496	1
3525	1
3542	1
3580	1
3582	1
3594	1
3600	1
3607	1
3630	1
3641	1
3667	1
3679	1
3688	1
3716	1
3728	1
3731	1
3732	1
3753	1
3762	1
3785	1
3806	1
3808	1
3831	1
3848	1
3852	1
3854	1
3903	1
3961	1
3970	1
3982	1
4035	1
4036	1
4071	1
4082	1
4083	1
4143	1
4162	1
4164	1
4184	1
4205	1
4216	1
4221	1
4228	1
4235	1
4239	1
4342	1
4354	1
4374	1
4453	1
4467	1
4469	1
4480	1
4485	1
4490	2
4491	1
4492	1
4498	1
4517	1
4527	1
4551	1
4570	1
4573	1
4627	1
4696	1
4730	1
4748	1
4752	1
4780	1
4797	1
4804	1
4840	1
4860	1
4862	1
4893	1
4928	1
4941	1
4976	1
4981	1
4992	2
4994	1
5007	1
5126	1
5144	1
5146	1
5147	1
5153	1
5155	1
5173	1
5208	1
5238	1
5248	1
5289	1
5310	1
5313	1
5315	1
5317	1
5362	1
5372	1
5419	2
5424	1
5445	1
5465	1
5467	1
5492	1
5499	2
5528	1
5539	1
5581	1
5601	1
5604	1
