catalog_series	catalog_number	field_series	field_number	genus	epithet	country	island	paic	locality	lat	long	tissue	tissue_sample.found	tissue_sample.material	tissue_sample.preservative	tissue_sample.tube_data	tissue_sample.notes	extraction.protocol	extraction.rnase	extraction.qubit	extraction.notes	extraction.gel_lane	extraction.plate	extraction.row	extraction.column	extraction.dilution	cam_extract	cam_extract_cell	date	source
KU	330191	RMB	14956	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Cagayan Province; Municipality of Gonzaga; Barangay Magrafil, Site 2, Mt. Cagua	18.2360000	122.1040000	AB-413-D3	True	liver	etoh	{}		guanidine thiocyanate	True	21.2		102	1	E	9	5.0	False		2011-07-20	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	302640	CDS	1511	Cyrtodactylus	philippinicus	Philippines	Panay	Visayan	Antique Province; Municipality of Pandan; Barangay Duyong	11.7608100	122.0397400	G-99-B9	True	liver	etoh	{}		guanidine thiocyanate	True	32.9		144	2	A	2	5.0	True	H9	2001-11-24	ku_freezer.txt/ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
		NOSERIES	4679	Ptychozoon	kuhli	Malaysia	Pulau Tioman		West Malaysia, Pahang, Pulau Tioman, Tekek-Juara Trail			D-54-LOOSE	True	liver	etoh	{}		guanidine thiocyanate	True	186.0		389	3	G	12	5.0	False			ku_freezer.txt
KU	328823	RMB	13660	Gekko	mindorensis	Philippines	Luzon	Luzon	Quezon Province; Municipality of Atimonan; Exact locality unknown (coordinates at center of municipality)	13.9958300	121.9050000	Z-380-H6	True	liver	etoh	{}		guanidine thiocyanate	True	436.0		259	2	G	12	5.0	False		2011-01-02	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	328824	RMB	13661	Gekko	mindorensis	Philippines	Luzon	Luzon	Quezon Province; Municipality of Atimonan; Exact locality unknown (coordinates at center of municipality)	13.9958300	121.9050000	Z-380-H7	True	liver	etoh	{}		guanidine thiocyanate	True	285.0		260	2	H	12	5.0	False		2011-01-02	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	311497	KU-FS	17	Gekko	chinensis	China			Guangxi; ; Nanning City, People's Park			K-165-G3	True	liver	frozen	{}		guanidine thiocyanate	True	325.0		203	2	D	7	5.0	False		2005-04-11	ku_gekkonid_tissues.txt
KU	311496	KU-FS	16	Gekko	chinensis	China			Guangxi; ; Nanning City, People's Park			K-165-F8	True	liver	frozen	{}	tube empty	guanidine thiocyanate	True	223.0		202	2	C	7	5.0	False		2005-04-11	ku_gekkonid_tissues.txt
		CDSGS	40	Gekko	mindorensis	Philippines	Negros		Occidental; Sipalay City; Camindangan; 9deg47.182N, 122deg30.640E			F-81-LOOSE	True	liver	etoh	{}		guanidine thiocyanate	True	375.0		289	3	F	3	5.0	True	G4		gekkonid_lab_work.txt/ku_freezer.txt
KU	311494	KU-FS	14	Gekko	chinensis	China			Guangxi; ; Nanning City, People's Park			K-165-G1	True	liver	frozen	{}		guanidine thiocyanate	True	680.0		200	2	B	7	5.0	False		2005-04-11	ku_gekkonid_tissues.txt
KU	311493	KU-FS	13	Gekko	chinensis	China			Guangxi; ; Nanning City, People's Park			K-165-D8/F7	True	liver	frozen	{'cell': 'F7'}	cell F7	guanidine thiocyanate	True	355.0		199	2	A	7	5.0	False		2005-04-11	ku_gekkonid_tissues.txt
