catalog_series	catalog_number	field_series	field_number	genus	epithet	country	island
KU	328804	RMB	13669	Cyrtodactylus	philippinicus	Philippines	Luzon
KU	328805	RMB	13670	Cyrtodactylus	philippinicus	Philippines	Luzon
KU	328806	RMB	13713	Cyrtodactylus	philippinicus	Philippines	Luzon
KU	328807	RMB	13719	Cyrtodactylus	philippinicus	Philippines	Luzon
KU	328808	RMB	13720	Cyrtodactylus	philippinicus	Philippines	Luzon
KU	328809	RMB	13721	Cyrtodactylus	philippinicus	Philippines	Luzon
KU	323188	RMB	12790	Cyrtodactylus	philippinicus	Philippines	Luzon
KU	323189	RMB	12834	Cyrtodactylus	philippinicus	Philippines	Luzon
KU	323190	RMB	12835	Cyrtodactylus	philippinicus	Philippines	Luzon
KU	323191	RMB	12836	Cyrtodactylus	philippinicus	Philippines	Luzon
KU	323192	RMB	12837	Cyrtodactylus	philippinicus	Philippines	Luzon
KU	323193	RMB	12838	Cyrtodactylus	philippinicus	Philippines	Luzon
KU	323194	RMB	12845	Cyrtodactylus	philippinicus	Philippines	Luzon
KU	329346	RMB	13902	Cyrtodactylus	philippinicus	Philippines	Luzon
KU	329348	RMB	13961	Cyrtodactylus	philippinicus	Philippines	Luzon
KU	329349	RMB	13962	Cyrtodactylus	philippinicus	Philippines	Luzon
KU	329350	RMB	13963	Cyrtodactylus	philippinicus	Philippines	Luzon
KU	329351	RMB	13964	Cyrtodactylus	philippinicus	Philippines	Luzon
KU	329352	RMB	13965	Cyrtodactylus	philippinicus	Philippines	Luzon
KU	329353	RMB	13966	Cyrtodactylus	philippinicus	Philippines	Luzon
KU	330190	RMB	14955	Cyrtodactylus	philippinicus	Philippines	Luzon
KU	330191	RMB	14956	Cyrtodactylus	philippinicus	Philippines	Luzon
KU	330192	RMB	15052	Cyrtodactylus	philippinicus	Philippines	Luzon
KU	330193	RMB	15053	Cyrtodactylus	philippinicus	Philippines	Luzon
KU	330195	RMB	15119	Cyrtodactylus	philippinicus	Philippines	Luzon
KU	330196	RMB	15211	Cyrtodactylus	philippinicus	Philippines	Luzon
KU	330197	RMB	15212	Cyrtodactylus	philippinicus	Philippines	Luzon
KU	313815	RMB	9693	Cyrtodactylus	philippinicus	Philippines	Luzon
KU	313816	RMB	9705	Cyrtodactylus	philippinicus	Philippines	Luzon
KU	313817	RMB	9739	Cyrtodactylus	philippinicus	Philippines	Luzon
KU	313818	RMB	9740	Cyrtodactylus	philippinicus	Philippines	Luzon
KU	313820	RMB	9748	Cyrtodactylus	philippinicus	Philippines	Luzon
KU	313821	RMB	9749	Cyrtodactylus	philippinicus	Philippines	Luzon
KU	313819	RMB	9745	Cyrtodactylus	philippinicus	Philippines	Luzon
KU	329530	RMB	14180	Cyrtodactylus	philippinicus	Philippines	Luzon
KU	329531	RMB	14248	Cyrtodactylus	philippinicus	Philippines	Luzon
KU	329532	RMB	14249	Cyrtodactylus	philippinicus	Philippines	Luzon
KU	329533	RMB	14310	Cyrtodactylus	philippinicus	Philippines	Luzon
KU	329534	RMB	14453	Cyrtodactylus	philippinicus	Philippines	Luzon
KU	330794	CDS	5627	Cyrtodactylus	philippinicus	Philippines	Luzon
KU	330795	CDS	5686	Cyrtodactylus	philippinicus	Philippines	Luzon
KU	331667	CDS	5724	Cyrtodactylus	philippinicus	Philippines	Luzon
KU	330796	CDS	5727	Cyrtodactylus	philippinicus	Philippines	Luzon
KU	330797	CDS	5822	Cyrtodactylus	philippinicus	Philippines	Luzon
KU	330798	CDS	5823	Cyrtodactylus	philippinicus	Philippines	Luzon
KU	330799	CDS	5824	Cyrtodactylus	philippinicus	Philippines	Luzon
KU	325814	RMB	13366	Cyrtodactylus	philippinicus	Philippines	Luzon
KU	325815	RMB	13367	Cyrtodactylus	philippinicus	Philippines	Luzon
KU	325816	RMB	13510	Cyrtodactylus	philippinicus	Philippines	Luzon
KU	325817	RMB	13571	Cyrtodactylus	philippinicus	Philippines	Luzon
KU	328799	RMB	13651	Cyrtodactylus	philippinicus	Philippines	Luzon
KU	328800	RMB	13652	Cyrtodactylus	philippinicus	Philippines	Luzon
KU	328801	RMB	13653	Cyrtodactylus	philippinicus	Philippines	Luzon
KU	328802	RMB	13654	Cyrtodactylus	philippinicus	Philippines	Luzon
KU	328803	RMB	13664	Cyrtodactylus	philippinicus	Philippines	Luzon
KU	305430	ELR	681	Cyrtodactylus	philippinicus	Philippines	Mindoro
KU	305431	ELR	682	Cyrtodactylus	philippinicus	Philippines	Mindoro
KU	306613	RMB	6447	Cyrtodactylus	philippinicus	Philippines	Mindoro
KU	306612	RMB	6455	Cyrtodactylus	philippinicus	Philippines	Mindoro
KU	306614	RMB	6628	Cyrtodactylus	philippinicus	Philippines	Mindoro
KU	324376	CDS	4341	Cyrtodactylus	philippinicus	Philippines	Negros
KU	324377	CDS	4342	Cyrtodactylus	philippinicus	Philippines	Negros
KU	324378	CDS	4384	Cyrtodactylus	philippinicus	Philippines	Negros
KU	324379	CDS	4408	Cyrtodactylus	philippinicus	Philippines	Negros
KU	302639	CDS	173	Cyrtodactylus	philippinicus	Philippines	Panay
KU	302640	CDS	1511	Cyrtodactylus	philippinicus	Philippines	Panay
KU	302641	CDS	1550	Cyrtodactylus	philippinicus	Philippines	Panay
KU	302642	CDS	1558	Cyrtodactylus	philippinicus	Philippines	Panay
KU	302643	CDS	1559	Cyrtodactylus	philippinicus	Philippines	Panay
KU	302644	CDS	1560	Cyrtodactylus	philippinicus	Philippines	Panay
KU	302645	CDS	1566	Cyrtodactylus	philippinicus	Philippines	Panay
KU	331723	RMB	10866	Cyrtodactylus	philippinicus	Philippines	Polillo
KU	331724	RMB	10867	Cyrtodactylus	philippinicus	Philippines	Polillo
KU	302650	CDS	1112	Cyrtodactylus	philippinicus	Philippines	Polillo
KU	307451	RMB	6259	Cyrtodactylus	philippinicus	Philippines	Polillo
KU	307452	RMB	6260	Cyrtodactylus	philippinicus	Philippines	Polillo
KU	307453	RMB	6261	Cyrtodactylus	philippinicus	Philippines	Polillo
KU	326518	RMB	8870	Cyrtodactylus	philippinicus	Philippines	Polillo
KU	307454	RMB	6273	Cyrtodactylus	philippinicus	Philippines	Polillo
KU	307455	RMB	6332	Cyrtodactylus	philippinicus	Philippines	Polillo
KU	302635	CDS	1442	Cyrtodactylus	philippinicus	Philippines	Sibuyan
KU	303848	RMB	5184	Cyrtodactylus	philippinicus	Philippines	Sibuyan
KU	303849	RMB	5185	Cyrtodactylus	philippinicus	Philippines	Sibuyan
KU	315340	RMB	8761	Cyrtodactylus	philippinicus	Philippines	Tablas
KU	315341	RMB	8762	Cyrtodactylus	philippinicus	Philippines	Tablas
KU	315342	RMB	8763	Cyrtodactylus	philippinicus	Philippines	Tablas
KU	315343	RMB	8764	Cyrtodactylus	philippinicus	Philippines	Tablas
KU	315345	RMB	8790	Cyrtodactylus	philippinicus	Philippines	Tablas
KU	309326	RMB	7757	Cyrtodactylus	redimiculus	Philippines	Palawan
KU	309327	RMB	7760	Cyrtodactylus	redimiculus	Philippines	Palawan
KU	309328	RMB	7829	Cyrtodactylus	redimiculus	Philippines	Palawan
KU	309329	RMB	7842	Cyrtodactylus	redimiculus	Philippines	Palawan
KU	309330	RMB	7859	Cyrtodactylus	redimiculus	Philippines	Palawan
KU	309627	RMB	7873	Cyrtodactylus	redimiculus	Philippines	Palawan
KU	310796	CDS	2645	Cyrtodactylus	sumuroi	Philippines	Samar
KU	310797	CDS	2703	Cyrtodactylus	sumuroi	Philippines	Samar
KU	310798	CDS	2844	Cyrtodactylus	sumuroi	Philippines	Samar
KU	310799	CDS	2967	Cyrtodactylus	sumuroi	Philippines	Samar
KU	310800	CDS	2984	Cyrtodactylus	sumuroi	Philippines	Samar
KU	310801	CDS	3030	Cyrtodactylus	sumuroi	Philippines	Samar
KU	310802	CDS	3047	Cyrtodactylus	sumuroi	Philippines	Samar
KU	309319	RMB	7646	Cyrtodactylus	tautbatorum	Philippines	Palawan
KU	309320	RMB	7647	Cyrtodactylus	tautbatorum	Philippines	Palawan
KU	309321	RMB	7648	Cyrtodactylus	tautbatorum	Philippines	Palawan
KU	309322	RMB	7649	Cyrtodactylus	tautbatorum	Philippines	Palawan
KU	309323	RMB	7650	Cyrtodactylus	tautbatorum	Philippines	Palawan
KU	309324	RMB	7717	Cyrtodactylus	tautbatorum	Philippines	Palawan
KU	309325	RMB	7721	Cyrtodactylus	tautbatorum	Philippines	Palawan
KU	331333	KUHFS	37	Cyrtopodion	elongatus	Mongolia	
KU	331233	MEW	100	Cyrtopodion	elongatus	Mongolia	
KU	331230	MEW	95	Cyrtopodion	elongatus	Mongolia	
KU	331231	MEW	98	Cyrtopodion	elongatus	Mongolia	
KU	331232	MEW	99	Cyrtopodion	elongatus	Mongolia	
KU	322258	RMB	12532	Gehyra	mutilata	Philippines	Luzon
KU	322259	RMB	12536	Gehyra	mutilata	Philippines	Luzon
KU	322254	RMB	12578	Gehyra	mutilata	Philippines	Luzon
KU	322260	RMB	12582	Gehyra	mutilata	Philippines	Luzon
KU	322261	RMB	12584	Gehyra	mutilata	Philippines	Luzon
KU	309335	RMB	3118	Gekko	athymus	Philippines	Palawan
KU	309331	RMB	7828	Gekko	athymus	Philippines	Palawan
KU	309332	RMB	7830	Gekko	athymus	Philippines	Palawan
KU	309333	RMB	7831	Gekko	athymus	Philippines	Palawan
KU	309334	RMB	7798	Gekko	athymus	Philippines	Palawan
KU	328370	RMB	13587	Gekko	carusadensis	Philippines	Luzon
KU	328371	RMB	13588	Gekko	carusadensis	Philippines	Luzon
KU	328372	RMB	13589	Gekko	carusadensis	Philippines	Luzon
KU	328373	RMB	13590	Gekko	carusadensis	Philippines	Luzon
KU	328374	RMB	13591	Gekko	carusadensis	Philippines	Luzon
KU	311493	KU-FS	13	Gekko	chinensis	China	
KU	311494	KU-FS	14	Gekko	chinensis	China	
KU	311495	KU-FS	15	Gekko	chinensis	China	
KU	311496	KU-FS	16	Gekko	chinensis	China	
KU	311497	KU-FS	17	Gekko	chinensis	China	
KU	311498	KU-FS	18	Gekko	chinensis	China	
KU	304832	RMB	5953	Gekko	crombota	Philippines	Babuyan Claro
KU	304833	RMB	5954	Gekko	crombota	Philippines	Babuyan Claro
KU	304836	RMB	5957	Gekko	crombota	Philippines	Babuyan Claro
KU	304845	RMB	5966	Gekko	crombota	Philippines	Babuyan Claro
KU	304847	RMB	5968	Gekko	crombota	Philippines	Babuyan Claro
KU	304848	RMB	5969	Gekko	crombota	Philippines	Babuyan Claro
KU	304849	RMB	5970	Gekko	crombota	Philippines	Babuyan Claro
KU	300197	CDS	155	Gekko	ernstkelleri	Philippines	Panay
KU	300198	CDS	156	Gekko	ernstkelleri	Philippines	Panay
KU	300199	CDS	157	Gekko	ernstkelleri	Philippines	Panay
KU	300200	CDS	159	Gekko	ernstkelleri	Philippines	Panay
KU	300201	CDS	161	Gekko	ernstkelleri	Philippines	Panay
KU	300202	CDS	163	Gekko	ernstkelleri	Philippines	Panay
KU	300203	CDS	212	Gekko	ernstkelleri	Philippines	Panay
KU	328811	RMB	13763	Gekko	gecko	Philippines	Luzon
KU	328812	RMB	13764	Gekko	gecko	Philippines	Luzon
KU	328813	RMB	13766	Gekko	gecko	Philippines	Luzon
KU	328814	RMB	13767	Gekko	gecko	Philippines	Luzon
KU	328815	RMB	13768	Gekko	gecko	Philippines	Luzon
KU	328816	RMB	13769	Gekko	gecko	Philippines	Luzon
KU	328817	RMB	13770	Gekko	gecko	Philippines	Luzon
KU	302716	CDS	51	Gekko	gigante	Philippines	North Gigante
KU	302717	CDS	53	Gekko	gigante	Philippines	North Gigante
KU	305140	CDS	50	Gekko	gigante	Philippines	North Gigante
KU	302720	CDS	48	Gekko	gigante	Philippines	North Gigante
KU	305139	CDS	49	Gekko	gigante	Philippines	North Gigante
KU	305138	CDS	31	Gekko	gigante	Philippines	South Gigante
KU	302718	CDS	46	Gekko	gigante	Philippines	South Gigante
KU	302719	CDS	55	Gekko	gigante	Philippines	South Gigante
KU	302672	CDS	590	Gekko	mindorensis	Philippines	Caluya
KU	302673	CDS	591	Gekko	mindorensis	Philippines	Caluya
KU	302677	CDS	607	Gekko	mindorensis	Philippines	Caluya
KU	302679	CDS	609	Gekko	mindorensis	Philippines	Caluya
KU	302680	CDS	610	Gekko	mindorensis	Philippines	Caluya
KU	302684	CDS	100	Gekko	mindorensis	Philippines	Camiguin Sur
KU	302685	CDS	101	Gekko	mindorensis	Philippines	Camiguin Sur
KU	302686	CDS	102	Gekko	mindorensis	Philippines	Camiguin Sur
KU	302683	CDS	99	Gekko	mindorensis	Philippines	Camiguin Sur
KU	320390	CDS	3866	Gekko	mindorensis	Philippines	Lubang
KU	320391	CDS	3867	Gekko	mindorensis	Philippines	Lubang
KU	320392	CDS	3868	Gekko	mindorensis	Philippines	Lubang
KU	320393	CDS	3894	Gekko	mindorensis	Philippines	Lubang
KU	320394	CDS	3895	Gekko	mindorensis	Philippines	Lubang
KU	320395	CDS	3935	Gekko	mindorensis	Philippines	Lubang
KU	320396	CDS	3936	Gekko	mindorensis	Philippines	Lubang
KU	330781	CDS	6047	Gekko	mindorensis	Philippines	Luzon
KU	330782	CDS	6049	Gekko	mindorensis	Philippines	Luzon
KU	330783	CDS	6050	Gekko	mindorensis	Philippines	Luzon
KU	330784	CDS	6051	Gekko	mindorensis	Philippines	Luzon
KU	330785	CDS	6052	Gekko	mindorensis	Philippines	Luzon
KU	330786	CDS	6053	Gekko	mindorensis	Philippines	Luzon
KU	330787	CDS	6054	Gekko	mindorensis	Philippines	Luzon
KU	328820	RMB	13657	Gekko	mindorensis	Philippines	Luzon
KU	328821	RMB	13658	Gekko	mindorensis	Philippines	Luzon
KU	328822	RMB	13659	Gekko	mindorensis	Philippines	Luzon
KU	328823	RMB	13660	Gekko	mindorensis	Philippines	Luzon
KU	328824	RMB	13661	Gekko	mindorensis	Philippines	Luzon
KU	328825	RMB	13662	Gekko	mindorensis	Philippines	Luzon
KU	328826	RMB	13663	Gekko	mindorensis	Philippines	Luzon
KU	302733	CDS	1461	Gekko	mindorensis	Philippines	Maestre De Campo
KU	302734	CDS	1462	Gekko	mindorensis	Philippines	Maestre De Campo
KU	302735	CDS	1463	Gekko	mindorensis	Philippines	Maestre De Campo
KU	305137	CDS	1459	Gekko	mindorensis	Philippines	Maestre De Campo
KU	302726	CDS	755	Gekko	mindorensis	Philippines	Masbate
KU	302727	CDS	757	Gekko	mindorensis	Philippines	Masbate
KU	302728	CDS	758	Gekko	mindorensis	Philippines	Masbate
KU	305135	CDS	754	Gekko	mindorensis	Philippines	Masbate
KU	308455	ELR	911	Gekko	mindorensis	Philippines	Mindoro
KU	308555	ELR	1013	Gekko	mindorensis	Philippines	Mindoro
KU	308548	ELR	1006	Gekko	mindorensis	Philippines	Mindoro
KU	308549	ELR	1007	Gekko	mindorensis	Philippines	Mindoro
KU	308550	ELR	1008	Gekko	mindorensis	Philippines	Mindoro
KU	308551	ELR	1009	Gekko	mindorensis	Philippines	Mindoro
KU	308552	ELR	1010	Gekko	mindorensis	Philippines	Mindoro
KU	302668	CDS	1229	Gekko	mindorensis	Philippines	Mindoro
KU	302669	CDS	1230	Gekko	mindorensis	Philippines	Mindoro
KU	302670	CDS	1231	Gekko	mindorensis	Philippines	Mindoro
