box	cell	catalog_series	catalog_number	field_series	field_number	genus	epithet	country	island	paic	locality	lat	long	tissue	cam_extract	date	source
380	G7	KU	328800	RMB	13652	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Quezon Province; Municipality of Atimonan; Exact locality unknown (coordinates at center of municipality)	13.9958300	121.9050000	Z-380-G7	False	2011-01-02	ku_freezer.txt/ku_gekkonid_tissues.txt
380	G6	KU	328799	RMB	13651	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Quezon Province; Municipality of Atimonan; Exact locality unknown (coordinates at center of municipality)	13.9958300	121.9050000	Z-380-G6	False	2011-01-02	ku_freezer.txt/ku_gekkonid_tissues.txt
313	E3	KU	320396	CDS	3936	Gekko	mindorensis	Philippines	Lubang	Lubang	Occidental Mindoro Province; Municipality of Lubang; Barangay Vigo, Sitio Dangay	13.7999500	120.1639300	U-313-E3	False		ku_freezer.txt/ku_gekkonid_tissues.txt
380	H3	KU	328820	RMB	13657	Gekko	mindorensis	Philippines	Luzon	Luzon	Quezon Province; Municipality of Atimonan; Exact locality unknown (coordinates at center of municipality)	13.9958300	121.9050000	Z-380-H3	False	2011-01-02	ku_freezer.txt/ku_gekkonid_tissues.txt
313	D9	KU	320352	CDS	3933	Cyrtodactylus	philippinicus	Philippines	Lubang	Lubang	Occidental Mindoro Province; Municipality of Lubang; Barangay Vigo, Sitio Dangay	13.7999500	120.1639300	U-313-D9	False		ku_freezer.txt/ku_gekkonid_tissues.txt
380	G9	KU	328802	RMB	13654	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Quezon Province; Municipality of Atimonan; Exact locality unknown (coordinates at center of municipality)	13.9958300	121.9050000	Z-380-G9	False	2011-01-02	ku_freezer.txt/ku_gekkonid_tissues.txt
369	E2	KU	325830	RMB	13550	Hemidactylus	frenatus	Philippines	Luzon	Luzon	Nueva Vizcaya Province; Municipality of Quezon; Barangay Maddiangat, in and around barangay proper	16.4970000	121.2090000	Y-369-E2	False	2010-01-16	ku_gekkonid_tissues.txt
369	E3	KU	325831	RMB	13551	Hemidactylus	frenatus	Philippines	Luzon	Luzon	Nueva Vizcaya Province; Municipality of Quezon; Barangay Maddiangat, in and around barangay proper	16.4970000	121.2090000	Y-369-E3	False	2010-01-16	ku_gekkonid_tissues.txt
369	E4	KU	325832	RMB	13552	Hemidactylus	frenatus	Philippines	Luzon	Luzon	Nueva Vizcaya Province; Municipality of Quezon; Barangay Maddiangat, in and around barangay proper	16.4970000	121.2090000	Y-369-E4	False	2010-01-16	ku_gekkonid_tissues.txt
369	E5	KU	325833	RMB	13553	Hemidactylus	frenatus	Philippines	Luzon	Luzon	Nueva Vizcaya Province; Municipality of Quezon; Barangay Maddiangat, in and around barangay proper	16.4970000	121.2090000	Y-369-E5	False	2010-01-16	ku_gekkonid_tissues.txt
118	G1	KU	305567	CDS	1768	Cyrtodactylus	annulatus	Philippines	Cebu	Visayan	Cebu Province; Municipality of Alcoy; Barangay Nug-as, CBCF field station	9.7111900	123.4488400	H-118-G1	False	2006-06-11	ku_freezer.txt/ku_gekkonid_tissues.txt
99	H2	KU	302644	CDS	1560	Cyrtodactylus	philippinicus	Philippines	Panay	Visayan	Antique Province; Municipality of Pandan; Barangay Duyong	11.7608100	122.0397400	G-99-H2	False	2001-11-24	ku_freezer.txt/ku_gekkonid_tissues.txt
259	I3			NOID		Cyrtodactylus	baluensis	Malaysia	Borneo		Sabah			R-259-I3	False		ku_freezer.txt
