plate	row	col	qubit	catalog_series	catalog_number	field_series	field_number
2	D	7	325	KU	311497	KU-FS	17
2	E	7	240	KU	304832	RMB	5953
2	F	7	117	KU	304833	RMB	5954
2	G	7	70.6	KU	304847	RMB	5968
2	H	7	334	KU	304848	RMB	5969
2	A	8	74.4	KU	304849	RMB	5970
2	B	8	206	KU	300197	CDS	155
2	C	8	46.9	KU	300198	CDS	156
2	D	8	75.5	KU	300200	CDS	159
2	E	8	48.5	KU	300201	CDS	161
2	F	8	178	KU	300203	CDS	212
2	G	8	63.5	KU	328812	RMB	13764
2	H	8	23.4	KU	328813	RMB	13766
2	A	9	21.2	KU	328814	RMB	13767
2	B	9	13.1	KU	328815	RMB	13768
2	C	9	25.7	KU	328817	RMB	13770
2	D	9	12.9	KU	305140	CDS	50
2	E	9	540	KU	302716	CDS	51
2	F	9	139	KU	302717	CDS	53
2	G	9	465	KU	305139	CDS	49
2	H	9	314	KU	305138	CDS	31
2	A	10	229	KU	302718	CDS	46
2	B	10	150	KU	302719	CDS	55
2	C	10	70.8	KU	302672	CDS	590
2	D	10	82.4	KU	302673	CDS	591
2	E	10	23.9	KU	302677	CDS	607
2	F	10	404	KU	302679	CDS	609
2	G	10	79.1	KU	302680	CDS	610
2	H	10	197	KU	302683	CDS	99
2	A	11	166	KU	302684	CDS	100
2	B	11	8.58	KU	302685	CDS	101
2	C	11	193	KU	302686	CDS	102
2	D	11	26.4	KU	320390	CDS	3866
2	E	11	31.3	KU	320391	CDS	3867
2	F	11	9.61	KU	320392	CDS	3868
2	G	11	279	KU	320395	CDS	3935
2	H	11	12.4	KU	320396	CDS	3936
2	A	12	224	KU	330781	CDS	6047
2	B	12	225	KU	330784	CDS	6051
2	C	12	481	KU	330785	CDS	6052
2	D	12	31.8	KU	330787	CDS	6054
2	E	12	235	KU	328820	RMB	13657
2	F	12	277	KU	328822	RMB	13659
2	G	12	436	KU	328823	RMB	13660
2	H	12	285	KU	328824	RMB	13661
3	A	1	230	KU	328825	RMB	13662
3	B	1	108	KU	305137	CDS	1459
3	C	1	630	KU	302733	CDS	1461
3	D	1	370	KU	302734	CDS	1462
3	E	1	210	KU	302735	CDS	1463
3	F	1	30.5	KU	305135	CDS	754
3	G	1	28.9	KU	302726	CDS	755
3	H	1	58.6	KU	302727	CDS	757
3	A	2	344	KU	302728	CDS	758
3	B	2	35.4	KU	308455	ELR	911
3	C	2	41.4	KU	308549	ELR	1007
3	D	2	71	KU	308550	ELR	1008
3	E	2	79.2	KU	308551	ELR	1009
3	F	2	168	KU	308552	ELR	1010
3	G	2	413	KU	302669	CDS	1230
3	H	2	16.5	KU	302670	CDS	1231
3	A	3	127	KU	303911	RMB	5005
3	B	3	229	KU	303912	RMB	5006
3	C	3	219	KU	302722	CDS	277
3	D	3	20.1	KU	302723	CDS	278
3	E	3	294			CDSGS	39
3	F	3	375			CDSGS	40
3	G	3	580			CDSGS	41
3	H	3	47.1	KU	307059	RMB	6425
3	A	4	114	KU	307062	RMB	6431
3	B	4	147	KU	307063	RMB	6448
3	C	4	251	KU	307064	RMB	6449
3	D	4	51.5	KU	307065	RMB	6479
3	E	4	760	KU	302729	CDS	63
3	F	4	421	KU	302730	CDS	64
3	G	4	314	KU	302731	CDS	65
3	H	4	451	KU	302732	CDS	66
3	A	5	41.1	KU	309289	RMB	7922
3	B	5	106	KU	309290	RMB	7923
3	C	5	8.42	KU	309291	RMB	7924
3	D	5	42.9	KU	309294	RMB	7937
3	E	5	256	KU	309295	RMB	7938
3	F	5	129	LSUHC	7289	LSUHC	7289
3	G	5	212	KU	313983	RMB	9575
3	H	5	358	KU	313987	RMB	9584
3	A	6	105	KU	313988	RMB	9585
3	B	6	38.1	KU	313989	RMB	9586
3	C	6	540	KU	313977	RMB	9552
3	D	6	76.9	KU	313978	RMB	9554
3	E	6	345	KU	313979	RMB	9555
3	F	6	530	KU	313981	RMB	9560
3	G	6	25.2	KU	302738	CDS	788
3	H	6	126	KU	302739	CDS	789
3	A	7	362	KU	302740	CDS	790
3	B	7	17.8	KU	302741	CDS	791
3	C	7	231	KU	302742	CDS	792
3	D	7	127	KU	315346	RMB	8754
3	E	7	117	KU	315347	RMB	8765
3	F	7	123	KU	315348	RMB	8789
3	G	7	231	KU	304931	RMB	6052
3	H	7	309	KU	304935	RMB	6056
3	A	8	95.4	KU	304937	RMB	6058
3	B	8	353	KU	304938	RMB	6059
3	C	8	90.4	KU	304939	RMB	6060
3	D	8	49.8	KU	307046	RMB	6369
3	E	8	300	KU	307047	RMB	6370
3	F	8	18.1	KU	307049	RMB	6372
3	G	8	750	KU	307050	RMB	6373
3	H	8	280	KU	307051	RMB	6374
3	A	9	176	KU	304608	RMB	5728
3	B	9	19.3	KU	304609	RMB	5729
