lane	qubit	catalog_series	catalog_number	field_series	field_number
237	79.1	KU	302680	CDS	610
238	197	KU	302683	CDS	99
239	166	KU	302684	CDS	100
240	8.58	KU	302685	CDS	101
241	193	KU	302686	CDS	102
242	26.4	KU	320390	CDS	3866
243	31.3	KU	320391	CDS	3867
244	9.61	KU	320392	CDS	3868
247	279	KU	320395	CDS	3935
248	12.4	KU	320396	CDS	3936
249	224	KU	330781	CDS	6047
251	3.23	KU	330783	CDS	6050
252	225	KU	330784	CDS	6051
253	481	KU	330785	CDS	6052
255	31.8	KU	330787	CDS	6054
256	235	KU	328820	RMB	13657
258	277	KU	328822	RMB	13659
259	436	KU	328823	RMB	13660
260	285	KU	328824	RMB	13661
261	230	KU	328825	RMB	13662
263	108	KU	305137	CDS	1459
264	630	KU	302733	CDS	1461
265	370	KU	302734	CDS	1462
266	210	KU	302735	CDS	1463
267	30.5	KU	305135	CDS	754
268	28.9	KU	302726	CDS	755
269	58.6	KU	302727	CDS	757
270	344	KU	302728	CDS	758
271	35.4	KU	308455	ELR	911
274	41.4	KU	308549	ELR	1007
275	71	KU	308550	ELR	1008
276	79.2	KU	308551	ELR	1009
277	168	KU	308552	ELR	1010
278	0	KU	302668	CDS	1229
279	413	KU	302669	CDS	1230
280	16.5	KU	302670	CDS	1231
283	127	KU	303911	RMB	5005
284	229	KU	303912	RMB	5006
285	219	KU	302722	CDS	277
286	20.1	KU	302723	CDS	278
288	294			CDSGS	39
289	375			CDSGS	40
290	580			CDSGS	41
291	47.1	KU	307059	RMB	6425
294	114	KU	307062	RMB	6431
295	147	KU	307063	RMB	6448
296	251	KU	307064	RMB	6449
297	51.5	KU	307065	RMB	6479
298	760	KU	302729	CDS	63
299	421	KU	302730	CDS	64
300	314	KU	302731	CDS	65
301	451	KU	302732	CDS	66
302	41.1	KU	309289	RMB	7922
303	106	KU	309290	RMB	7923
304	8.42	KU	309291	RMB	7924
305	42.9	KU	309294	RMB	7937
306	256	KU	309295	RMB	7938
307	129	LSUHC	7289	LSUHC	7289
308	212	KU	313983	RMB	9575
312	358	KU	313987	RMB	9584
313	105	KU	313988	RMB	9585
314	38.1	KU	313989	RMB	9586
315	540	KU	313977	RMB	9552
316	76.9	KU	313978	RMB	9554
317	345	KU	313979	RMB	9555
318	123	KU	313980	RMB	9558
319	530	KU	313981	RMB	9560
321	25.2	KU	302738	CDS	788
322	126	KU	302739	CDS	789
323	362	KU	302740	CDS	790
324	17.8	KU	302741	CDS	791
325	231	KU	302742	CDS	792
328	127	KU	315346	RMB	8754
329	117	KU	315347	RMB	8765
330	123	KU	315348	RMB	8789
331	231	KU	304931	RMB	6052
333	309	KU	304935	RMB	6056
335	95.4	KU	304937	RMB	6058
336	353	KU	304938	RMB	6059
337	90.4	KU	304939	RMB	6060
338	49.8	KU	307046	RMB	6369
339	300	KU	307047	RMB	6370
341	18.1	KU	307049	RMB	6372
342	750	KU	307050	RMB	6373
343	280	KU	307051	RMB	6374
345	176	KU	304608	RMB	5728
346	19.3	KU	304609	RMB	5729
347	264	KU	304610	RMB	5730
349	102	KU	304617	RMB	5737
351	365	KU	304673	RMB	5793
352	0	KU	325830	RMB	13550
353	12.4	KU	325831	RMB	13551
354	341	KU	325832	RMB	13552
355	27	KU	325833	RMB	13553
358	15.4	KU	325836	RMB	13579
360	183	KU	314003	RMB	9528
361	323	KU	314004	RMB	9529
362	75.6	KU	314005	RMB	9530
363	168	KU	314006	RMB	9531
365	351	KU	314008	RMB	9533
366	36.5	KU	314012	RMB	9567
367	88.7	KU	314013	RMB	9568
369	358	KU	314015	RMB	9570
372	26.8	KU	314018	RMB	9574
373	305	KU	304824	RMB	5945
374	168	KU	304828	RMB	5949
375	158	KU	304834	RMB	5955
377	261	KU	304846	RMB	5967
378	42.2	KU	304850	RMB	5971
380	17.7	KU	307641	RMB	6314
383	14.7	KU	307644	RMB	6317
384	12	KU	307645	RMB	6318
385	15	KU	307646	RMB	6319
386	200	KU	307647	RMB	6320
387	89.2	LSUHC	5042	LSUHC	5042
388	28.4			NOSERIES	3835
389	186			NOSERIES	4679
390	41.6			NOSERIES	6433
391	56			NOSERIES	5539
392	0			NOSERIES	5783
393	108	LSUHC	6437	LSUHC	6437
6		KU	324372	CDS	4661
7		KU	324373	CDS	4763
17				PNM/CMNH H	1290
22				PNM/CMNH H	1352
23				PNM/CMNH H	1459
24				PNM/CMNH H	1601
25				PNM/CMNH H	1646
31				RMB	7718
32				RMB	7719
37				NOID	1
38				NOID	2
39				NOID	
47		KU	326524	RMB	8935
48		KU	326525	RMB	8936
54		KU	319658	RMB	11712
55		KU	319660	RMB	11745
57		KU	319662	RMB	11747
61		KU	310100	RMB	8427
62		KU	310101	RMB	8436
70		KU	304636	RMB	5756
72		KU	304671	RMB	5791
73		KU	304672	RMB	5792
77		KU	320348	CDS	3781
86		KU	328809	RMB	13721
87		KU	323188	RMB	12790
93		KU	323194	RMB	12845
96		KU	329349	RMB	13962
97		KU	329350	RMB	13963
99		KU	329352	RMB	13965
101		KU	330190	RMB	14955
104		KU	330193	RMB	15053
109		KU	313817	RMB	9739
115		KU	329531	RMB	14248
120		KU	330795	CDS	5686
125		KU	330799	CDS	5824
146		KU	302642	CDS	1558
147		KU	302643	CDS	1559
148		KU	302644	CDS	1560
149		KU	302645	CDS	1566
154		KU	326518	RMB	8870
155		KU	307454	RMB	6273
162		KU	315342	RMB	8763
163		KU	315343	RMB	8764
166		KU	309327	RMB	7760
171		KU	310797	CDS	2703
179		KU	309321	RMB	7648
182		KU	309324	RMB	7717
184		KU	322258	RMB	12532
201		KU	311495	KU-FS	15
206		KU	304836	RMB	5957
207		KU	304845	RMB	5966
213		KU	300199	CDS	157
216		KU	300202	CDS	163
218		KU	328811	RMB	13763
223		KU	328816	RMB	13769
245		KU	320393	CDS	3894
246		KU	320394	CDS	3895
250		KU	330782	CDS	6049
254		KU	330786	CDS	6053
257		KU	328821	RMB	13658
262		KU	328826	RMB	13663
272		KU	308555	ELR	1013
273		KU	308548	ELR	1006
281		KU	303909	RMB	4981
282		KU	303910	RMB	4982
287		KU	302724	CDS	279
292		KU	307060	RMB	6429
293		KU	307061	RMB	6430
309		KU	313984	RMB	9576
310		KU	313985	RMB	9578
311		KU	313986	RMB	9582
320		KU	313982	RMB	9561
326		KU	303977	RMB	5124
327		KU	303978	RMB	5125
332		KU	304934	RMB	6055
334		KU	304936	RMB	6057
340		KU	307048	RMB	6371
344		KU	307052	RMB	6375
348		KU	304611	RMB	5731
350		KU	304638	RMB	5758
356		KU	325834	RMB	13576
357		KU	325835	RMB	13578
359		KU	314002	RMB	9527
364		KU	314007	RMB	9532
368		KU	314014	RMB	9569
370		KU	314016	RMB	9571
371		KU	314017	RMB	9572
376		KU	304835	RMB	5956
379		KU	304851	RMB	5972
381		KU	307642	RMB	6315
382		KU	307643	RMB	6316
