field_series	field_number	genus	epithet	country	island	paic
LSUHC	2965	Cyrtodactylus	condorensis	Vietnam	Con Son	
LSUHC	2968	Cyrtodactylus	condorensis	Vietnam	Con Son	
LSUHC	2969	Cyrtodactylus	condorensis	Vietnam	Con Son	
LSUHC	2971	Cyrtodactylus	condorensis	Vietnam	Con Son	
LSUHC	2973	Cyrtodactylus	condorensis	Vietnam	Con Son	
LSUHC	2966	Cyrtodactylus	condorensis	Vietnam	Con Son	
LSUHC	4465	Cyrtodactylus	consobrinus	West Malaysia		
LSUHC	4464	Cyrtodactylus	consobrinus	West Malaysia		
LSUHC	4467	Cyrtodactylus	consobrinus	West Malaysia		
LSUHC	4466	Cyrtodactylus	consobrinus	West Malaysia		
LSUHC	4461	Cyrtodactylus	consobrinus	West Malaysia		
LSUHC	4460	Cyrtodactylus	consobrinus	West Malaysia		
LSUHC	4463	Cyrtodactylus	consobrinus	West Malaysia		
LSUHC	4462	Cyrtodactylus	consobrinus	West Malaysia		
LSUHC	5365	Cyrtodactylus	durio	Malaysia		
LSUHC	5364	Cyrtodactylus	durio	Malaysia		
LSUHC	5366	Cyrtodactylus	durio	Malaysia		
LSUHC	5363	Cyrtodactylus	durio	Malaysia		
LSUHC	5362	Cyrtodactylus	durio	Malaysia		
LSUHC	3158	Cyrtodactylus	eismannii	Vietnam		
LSUHC	3156	Cyrtodactylus	eismannii	Vietnam		
LSUHC	3157	Cyrtodactylus	eismannii	Vietnam		
LSUHC	3051	Cyrtodactylus	eismannii	Vietnam		
LSUHC	2599	Cyrtodactylus	elok	Malaysia		
LSUHC	2598	Cyrtodactylus	elok	Malaysia		
LSUHC	2593	Cyrtodactylus	elok	Malaysia		
LSUHC	2592	Cyrtodactylus	elok	Malaysia		
LSUHC	2591	Cyrtodactylus	elok	Malaysia		
LSUHC	2590	Cyrtodactylus	elok	Malaysia		
LSUHC	2597	Cyrtodactylus	elok	Malaysia		
LSUHC	2596	Cyrtodactylus	elok	Malaysia		
LSUHC	2595	Cyrtodactylus	elok	Malaysia		
LSUHC	2594	Cyrtodactylus	elok	Malaysia		
LSUHC	2587	Cyrtodactylus	elok	Malaysia		
LSUHC	2601	Cyrtodactylus	elok	Malaysia		
LSUHC	3161	Cyrtodactylus	grismeri	Vietnam		
LSUHC	3160	Cyrtodactylus	grismeri	Vietnam		
LSUHC	3163	Cyrtodactylus	grismeri	Vietnam		
LSUHC	3162	Cyrtodactylus	grismeri	Vietnam		
LSUHC	3159	Cyrtodactylus	grismeri	Vietnam		
RMB	8933	Cyrtodactylus	gubaot	Philippines	Leyte	Mindanao
RMB	8932	Cyrtodactylus	gubaot	Philippines	Leyte	Mindanao
RMB	8935	Cyrtodactylus	gubaot	Philippines	Leyte	Mindanao
RMB	8934	Cyrtodactylus	gubaot	Philippines	Leyte	Mindanao
RMB	8937	Cyrtodactylus	gubaot	Philippines	Leyte	Mindanao
RMB	8936	Cyrtodactylus	gubaot	Philippines	Leyte	Mindanao
RMB	8931	Cyrtodactylus	gubaot	Philippines	Leyte	Mindanao
LSUHC	3058	Cyrtodactylus	hontreensis	Vietnam		
LSUHC	3064	Cyrtodactylus	hontreensis	Vietnam		
LSUHC	3061	Cyrtodactylus	hontreensis	Vietnam		
LSUHC	3065	Cyrtodactylus	hontreensis	Vietnam		
LSUHC	3067	Cyrtodactylus	hontreensis	Vietnam		
