field_series	field_number	genus	epithet	country	island	paic
RMB	13367	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	13366	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	12834	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	12836	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	12837	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	12838	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	12835	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	12845	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	12788	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	12789	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	12790	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	9804	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	9745	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	9739	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	9705	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	9749	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	9748	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	9740	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	9693	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	9692	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	9686	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	9613	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	9614	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
CDS	5869	Cyrtodactylus	philippinicus	Philippines	Luzon	
CDS	5868	Cyrtodactylus	philippinicus	Philippines	Luzon	
CDS	5865	Cyrtodactylus	philippinicus	Philippines	Luzon	
CDS	5864	Cyrtodactylus	philippinicus	Philippines	Luzon	
CDS	5867	Cyrtodactylus	philippinicus	Philippines	Luzon	
CDS	5866	Cyrtodactylus	philippinicus	Philippines	Luzon	
CDS	5861	Cyrtodactylus	philippinicus	Philippines	Luzon	
CDS	5860	Cyrtodactylus	philippinicus	Philippines	Luzon	
CDS	5863	Cyrtodactylus	philippinicus	Philippines	Luzon	
RMB	6628	Cyrtodactylus	philippinicus	Philippines	Mindoro	Mindoro
RMB	6455	Cyrtodactylus	philippinicus	Philippines	Mindoro	Mindoro
RMB	6447	Cyrtodactylus	philippinicus	Philippines	Mindoro	Mindoro
ELR	682	Cyrtodactylus	philippinicus	Philippines	Mindoro	Mindoro
ELR	681	Cyrtodactylus	philippinicus	Philippines	Mindoro	Mindoro
CDS	4408	Cyrtodactylus	philippinicus	Philippines	Negros	Visayan
CDS	4384	Cyrtodactylus	philippinicus	Philippines	Negros	Visayan
CDS	4342	Cyrtodactylus	philippinicus	Philippines	Negros	Visayan
CDS	4341	Cyrtodactylus	philippinicus	Philippines	Negros	Visayan
CDS	1511	Cyrtodactylus	philippinicus	Philippines	Panay	Visayan
CDS	1560	Cyrtodactylus	philippinicus	Philippines	Panay	Visayan
CDS	1566	Cyrtodactylus	philippinicus	Philippines	Panay	Visayan
CDS	1559	Cyrtodactylus	philippinicus	Philippines	Panay	Visayan
CDS	1558	Cyrtodactylus	philippinicus	Philippines	Panay	Visayan
CDS	1550	Cyrtodactylus	philippinicus	Philippines	Panay	Visayan
CDS	173	Cyrtodactylus	philippinicus	Philippines	Panay	Visayan
CDS	172	Cyrtodactylus	philippinicus	Philippines	Panay	Visayan
CDS	153	Cyrtodactylus	philippinicus	Philippines	Panay	Visayan
CDS	152	Cyrtodactylus	philippinicus	Philippines	Panay	Visayan
RMB	10867	Cyrtodactylus	philippinicus	Philippines	Polillo	Luzon
RMB	10866	Cyrtodactylus	philippinicus	Philippines	Polillo	Luzon
RMB	8905	Cyrtodactylus	philippinicus	Philippines	Polillo	Luzon
RMB	8870	Cyrtodactylus	philippinicus	Philippines	Polillo	Luzon
RMB	6332	Cyrtodactylus	philippinicus	Philippines	Polillo	Luzon
RMB	6273	Cyrtodactylus	philippinicus	Philippines	Polillo	Luzon
RMB	6261	Cyrtodactylus	philippinicus	Philippines	Polillo	Luzon
RMB	6260	Cyrtodactylus	philippinicus	Philippines	Polillo	Luzon
RMB	6259	Cyrtodactylus	philippinicus	Philippines	Polillo	Luzon
CDS	1111	Cyrtodactylus	philippinicus	Philippines	Polillo	Luzon
CDS	1112	Cyrtodactylus	philippinicus	Philippines	Polillo	Luzon
CDS	1005	Cyrtodactylus	philippinicus	Philippines	Polillo	Luzon
CDS	1003	Cyrtodactylus	philippinicus	Philippines	Polillo	Luzon
CDS	1002	Cyrtodactylus	philippinicus	Philippines	Polillo	Luzon
RMB	8790	Cyrtodactylus	philippinicus	Philippines	Tablas	Romblon
RMB	8764	Cyrtodactylus	philippinicus	Philippines	Tablas	Romblon
RMB	8761	Cyrtodactylus	philippinicus	Philippines	Tablas	Romblon
RMB	8762	Cyrtodactylus	philippinicus	Philippines	Tablas	Romblon
RMB	8763	Cyrtodactylus	philippinicus	Philippines	Tablas	Romblon
RMB	5185	Cyrtodactylus	philippinicus	Philippines	Sibuyan	Romblon
RMB	5184	Cyrtodactylus	philippinicus	Philippines	Sibuyan	Romblon
CDS	1442	Cyrtodactylus	philippinicus	Philippines	Sibuyan	Romblon
LSUHC	1462	Cyrtodactylus	pulchellus	Malaysia	Pulau Langkawi	
LSUHC	1463	Cyrtodactylus	pulchellus	Malaysia	Pulau Langkawi	
LSUHC	1460	Cyrtodactylus	pulchellus	Malaysia	Pulau Langkawi	
LSUHC	1461	Cyrtodactylus	pulchellus	Malaysia	Pulau Langkawi	
LSUHC	1457	Cyrtodactylus	pulchellus	Malaysia	Pulau Langkawi	
LSUHC	1456	Cyrtodactylus	pulchellus	Malaysia	Pulau Langkawi	
LSUHC	1455	Cyrtodactylus	pulchellus	Malaysia	Pulau Langkawi	
LSUHC	1454	Cyrtodactylus	pulchellus	Malaysia	Pulau Langkawi	
LSUHC	1459	Cyrtodactylus	pulchellus	Malaysia	Pulau Langkawi	
LSUHC	1458	Cyrtodactylus	pulchellus	Malaysia	Pulau Langkawi	
LSUHC	124	Cyrtodactylus	pulchellus	Malaysia	Pulau Langkawi	
LSUHC	123	Cyrtodactylus	pulchellus	Malaysia	Pulau Langkawi	
LSUHC	5194	Cyrtodactylus	pulchellus	West Malaysia	Pulau Langkawi	
LSUHC	5195	Cyrtodactylus	pulchellus	West Malaysia	Pulau Langkawi	
LSUHC	4702	Cyrtodactylus	pulchellus	West Malaysia	Pulau Langkawi	
LSUHC	4703	Cyrtodactylus	pulchellus	West Malaysia	Pulau Langkawi	
LSUHC	4182	Cyrtodactylus	pulchellus	West Malaysia	Pulau Langkawi	
LSUHC	4183	Cyrtodactylus	pulchellus	West Malaysia	Pulau Langkawi	
LSUHC	4694	Cyrtodactylus	pulchellus	West Malaysia	Pulau Langkawi	
LSUHC	4695	Cyrtodactylus	pulchellus	West Malaysia	Pulau Langkawi	
LSUHC	5758	Cyrtodactylus	pulchellus	West Malaysia	Pulau Pinang	
LSUHC	6316	Cyrtodactylus	pulchellus	West Malaysia	Pulau Pinang	
LSUHC	5948	Cyrtodactylus	pulchellus	West Malaysia	Pulau Pinang	
LSUHC	5345	Cyrtodactylus	pulchellus	Malaysia	Pulau Pinang
LSUHC	410	Cyrtodactylus	pubisulcus	Malaysia		
LSUHC	411	Cyrtodactylus	pubisulcus	Malaysia		
LSUHC	4888	Cyrtodactylus	pubisulcus	East Malaysia		
LSUHC	4889	Cyrtodactylus	pubisulcus	East Malaysia		
LSUHC	4720	Cyrtodactylus	pulchellus	West Malaysia		
LSUHC	4721	Cyrtodactylus	pulchellus	West Malaysia		
LSUHC	4758	Cyrtodactylus	pulchellus	West Malaysia		
LSUHC	4759	Cyrtodactylus	pulchellus	West Malaysia		
LSUHC	4780	Cyrtodactylus	pulchellus	West Malaysia		
LSUHC	4994	Cyrtodactylus	pulchellus	West Malaysia		
LSUHC	5176	Cyrtodactylus	pulchellus	West Malaysia		
LSUHC	5177	Cyrtodactylus	pulchellus	West Malaysia		
LSUHC	5357	Cyrtodactylus	pulchellus	Malaysia		
LSUHC	5358	Cyrtodactylus	pulchellus	Malaysia		
LSUHC	4468	Cyrtodactylus	pulchellus	West Malaysia		
LSUHC	4241	Cyrtodactylus	pulchellus	West Malaysia		
LSUHC	5890	Cyrtodactylus	pulchellus	West Malaysia		
LSUHC	5891	Cyrtodactylus	pulchellus	West Malaysia		
LSUHC	5892	Cyrtodactylus	pulchellus	West Malaysia		
LSUHC	5942	Cyrtodactylus	pulchellus	West Malaysia		
LSUHC	5975	Cyrtodactylus	pulchellus	West Malaysia		
LSUHC	5976	Cyrtodactylus	pulchellus	West Malaysia		
LSUHC	5977	Cyrtodactylus	pulchellus	West Malaysia		
LSUHC	6198	Cyrtodactylus	pulchellus	West Malaysia		
LSUHC	6199	Cyrtodactylus	pulchellus	West Malaysia		
LSUHC	6200	Cyrtodactylus	pulchellus	West Malaysia		
LSUHC	2606	LSUHC	2606	Cyrtodactylus	quadrivirgatus	Malaysia		
LSUHC	2607	LSUHC	2607	Cyrtodactylus	quadrivirgatus	Malaysia		
LSUHC	2608	LSUHC	2608	Cyrtodactylus	quadrivirgatus	Malaysia		
LSUHC	2609	LSUHC	2609	Cyrtodactylus	quadrivirgatus	Malaysia		
LSUHC	2610	LSUHC	2610	Cyrtodactylus	quadrivirgatus	Malaysia		
LSUHC	2611	LSUHC	2611	Cyrtodactylus	quadrivirgatus	Malaysia		
LSUHC	2612	LSUHC	2612	Cyrtodactylus	quadrivirgatus	Malaysia		
LSUHC	2613	LSUHC	2613	Cyrtodactylus	quadrivirgatus	Malaysia		
LSUHC	2614	LSUHC	2614	Cyrtodactylus	quadrivirgatus	Malaysia		
LSUHC	4243	Cyrtodactylus	quadrivirgatus	West Malaysia		
LSUHC	4455	Cyrtodactylus	quadrivirgatus	West Malaysia		
LSUHC	4456	Cyrtodactylus	quadrivirgatus	West Malaysia		
LSUHC	4779	Cyrtodactylus	quadrivirgatus	West Malaysia		
LSUHC	5767	Cyrtodactylus	quadrivirgatus	West Malaysia		
LSUHC	5776	Cyrtodactylus	quadrivirgatus	West Malaysia		
RMB	7757	Cyrtodactylus	redimiculus	Philippines	Palawan	Palawan
RMB	7760	Cyrtodactylus	redimiculus	Philippines	Palawan	Palawan
RMB	7829	Cyrtodactylus	redimiculus	Philippines	Palawan	Palawan
RMB	7842	Cyrtodactylus	redimiculus	Philippines	Palawan	Palawan
RMB	7859	Cyrtodactylus	redimiculus	Philippines	Palawan	Palawan
RMB	7873	Cyrtodactylus	redimiculus	Philippines	Palawan	Palawan
LSUHC	1945	Cyrtodactylus	semenanjungensis	Malaysia		
LSUHC	1946	Cyrtodactylus	semenanjungensis	Malaysia		
LSUHC	2007	Cyrtodactylus	semenanjungensis	Malaysia		
LSUHC	2008	Cyrtodactylus	semenanjungensis	Malaysia		
LSUHC	2009	Cyrtodactylus	semenanjungensis	Malaysia		
LSUHC	2010	Cyrtodactylus	semenanjungensis	Malaysia		
LSUHC	2011	Cyrtodactylus	semenanjungensis	Malaysia		
LSUHC	4450	Cyrtodactylus	semenanjungensis	West Malaysia		
LSUHC	4451	Cyrtodactylus	semenanjungensis	West Malaysia		
LSUHC	4452	Cyrtodactylus	semenanjungensis	West Malaysia		
LSUHC	4453	Cyrtodactylus	semenanjungensis	West Malaysia		
LSUHC	1513	Cyrtodactylus	seribuatensis	Malaysia	Pulau Mentigi	
LSUHC	1514	Cyrtodactylus	seribuatensis	Malaysia	Pulau Mentigi	
LSUHC	1515	Cyrtodactylus	seribuatensis	Malaysia	Pulau Mentigi	
LSUHC	1516	Cyrtodactylus	seribuatensis	Malaysia	Pulau Mentigi	
LSUHC	1517	Cyrtodactylus	seribuatensis	Malaysia	Pulau Mentigi	
LSUHC	1518	Cyrtodactylus	seribuatensis	Malaysia	Pulau Mentigi	
LSUHC	7	Cyrtodactylus	seribuatensis	Malaysia	Pulau Nangka Kecil	
LSUHC	8	Cyrtodactylus	seribuatensis	Malaysia	Pulau Nangka Kecil	
RMB	11229	Cyrtodactylus	sp	Philippines	Mindanao	Mindanao
RMB	11302	Cyrtodactylus	sp	Philippines	Mindanao	Mindanao
RMB	11309	Cyrtodactylus	sp	Philippines	Mindanao	Mindanao
RMB	11714	Cyrtodactylus	sp	Philippines	Mindanao	Mindanao
PNM/CMNH H	1289	Cyrtodactylus	sp	Philippines	Mindanao	
PNM/CMNH H	1290	Cyrtodactylus	sp	Philippines	Mindanao	
PNM/CMNH H	1291	Cyrtodactylus	sp	Philippines	Mindanao	
PNM/CMNH H	1292	Cyrtodactylus	sp	Philippines	Mindanao	
PNM/CMNH H	1293	Cyrtodactylus	sp	Philippines	Mindanao	
PNM/CMNH H	1298	Cyrtodactylus	sp	Philippines	Mindanao	
PNM/CMNH H	1352	Cyrtodactylus	sp	Philippines	Mindanao	
PNM/CMNH H	1459	Cyrtodactylus	sp	Philippines	Mindanao	
PNM/CMNH H	1601	Cyrtodactylus	sp	Philippines	Mindanao	
PNM/CMNH H	1646	Cyrtodactylus	sp	Philippines	Mindanao	
LSUHC	3073	Cyrtodactylus	sp.	Vietnam		
LSUHC	3074	Cyrtodactylus	sp.	Vietnam		
LSUHC	3075	Cyrtodactylus	sp.	Vietnam		
LSUHC	3076	Cyrtodactylus	sp.	Vietnam		
LSUHC	3077	Cyrtodactylus	sp.	Vietnam		
LSUHC	3164	Cyrtodactylus	sp.	Vietnam		
LSUHC	3165	Cyrtodactylus	sp.	Vietnam		
LSUHC	3166	Cyrtodactylus	sp.	Vietnam		
LSUHC	3167	Cyrtodactylus	sp.	Vietnam		
LSUHC	3168	Cyrtodactylus	sp.	Vietnam		
LSUHC	3169	Cyrtodactylus	sp.	Vietnam		
LSUHC	3170	Cyrtodactylus	sp.	Vietnam		
LSUHC	3171	Cyrtodactylus	sp.	Vietnam		
LSUHC	3172	Cyrtodactylus	sp.	Vietnam		
LSUHC	3173	Cyrtodactylus	sp.	Vietnam		
LSUHC	3174	Cyrtodactylus	sp.	Vietnam		
LSUHC	3175	Cyrtodactylus	sp.	Vietnam		
LSUHC	3176	Cyrtodactylus	sp.	Vietnam		
LSUHC	4016	Cyrtodactylus	sp.	Cambodia		
LSUHC	4017	Cyrtodactylus	sp.	Cambodia		
LSUHC	4018	Cyrtodactylus	sp.	Cambodia		
LSUHC	4019	Cyrtodactylus	sp.	Cambodia		
LSUHC	4020	Cyrtodactylus	sp.	Cambodia		
LSUHC	4021	Cyrtodactylus	sp.	Cambodia		
CDS	1834	Cyrtodactylus	sumuroi	Philippines	Samar	Mindanao
CDS	2645	Cyrtodactylus	sumuroi	Philippines	Samar	Mindanao
CDS	2703	Cyrtodactylus	sumuroi	Philippines	Samar	Mindanao
CDS	2844	Cyrtodactylus	sumuroi	Philippines	Samar	Mindanao
CDS	2967	Cyrtodactylus	sumuroi	Philippines	Samar	Mindanao
CDS	2984	Cyrtodactylus	sumuroi	Philippines	Samar	Mindanao
CDS	3030	Cyrtodactylus	sumuroi	Philippines	Samar	Mindanao
CDS	3047	Cyrtodactylus	sumuroi	Philippines	Samar	Mindanao
LSUHC	5867	Cyrtodactylus	sworderi	West Malaysia		
LSUHC	5870	Cyrtodactylus	sworderi	West Malaysia		
LSUHC	5871	Cyrtodactylus	sworderi	West Malaysia		
LSUHC	5872	Cyrtodactylus	sworderi	West Malaysia		
LSUHC	5875	Cyrtodactylus	sworderi	West Malaysia		
RMB	7645	Cyrtodactylus	tautbatorum	Philippines	Palawan	Palawan
RMB	7646	Cyrtodactylus	tautbatorum	Philippines	Palawan	Palawan
RMB	7647	Cyrtodactylus	tautbatorum	Philippines	Palawan	Palawan
RMB	7648	Cyrtodactylus	tautbatorum	Philippines	Palawan	Palawan
RMB	7649	Cyrtodactylus	tautbatorum	Philippines	Palawan	Palawan
RMB	7650	Cyrtodactylus	tautbatorum	Philippines	Palawan	Palawan
RMB	7717	Cyrtodactylus	tautbatorum	Philippines	Palawan	Palawan
RMB	7721	Cyrtodactylus	tautbatorum	Philippines	Palawan	Palawan
LSUHC	5599	Cyrtodactylus	tiomanensis	West Malaysia	Pulau Tioman	
LSUHC	5602	Cyrtodactylus	tiomanensis	West Malaysia	Pulau Tioman	
LSUHC	5603	Cyrtodactylus	tiomanensis	West Malaysia	Pulau Tioman	
LSUHC	5604	Cyrtodactylus	tiomanensis	West Malaysia	Pulau Tioman	
LSUHC	5605	Cyrtodactylus	tiomanensis	West Malaysia	Pulau Tioman	
LSUHC	5606	Cyrtodactylus	tiomanensis	West Malaysia	Pulau Tioman	
LSUHC	5608	Cyrtodactylus	tiomanensis	West Malaysia	Pulau Tioman	
LSUHC	5609	Cyrtodactylus	tiomanensis	West Malaysia	Pulau Tioman	
LSUHC	5610	Cyrtodactylus	tiomanensis	West Malaysia	Pulau Tioman	
LSUHC	5617	Cyrtodactylus	tiomanensis	West Malaysia	Pulau Tioman	
LSUHC	5618	Cyrtodactylus	tiomanensis	West Malaysia	Pulau Tioman	
LSUHC	5619	Cyrtodactylus	tiomanensis	West Malaysia	Pulau Tioman	
LSUHC	5620	Cyrtodactylus	tiomanensis	West Malaysia	Pulau Tioman	
LSUHC	5621	Cyrtodactylus	tiomanensis	West Malaysia	Pulau Tioman	
LSUHC	5630	Cyrtodactylus	tiomanensis	West Malaysia	Pulau Tioman	
LSUHC	5631	Cyrtodactylus	tiomanensis	West Malaysia	Pulau Tioman	
LSUHC	5632	Cyrtodactylus	tiomanensis	West Malaysia	Pulau Tioman	
LSUHC	5633	Cyrtodactylus	tiomanensis	West Malaysia	Pulau Tioman	
JAM	1879	Cyrtodactylus	tiomanensis	Malaysia	Tioman	
LSUHC	3771	Cyrtodactylus	tiomanensis	Wmalaysia	Tioman	
MEW	100	Cyrtopodion	elongatus	Mongolia		
MEW	95	Cyrtopodion	elongatus	Mongolia		
MEW	98	Cyrtopodion	elongatus	Mongolia		
MEW	99	Cyrtopodion	elongatus	Mongolia		
KUHFS	37	Cyrtopodion	elongatus	Mongolia		
RMB	12164	Gehyra	mutilata	Philippines	Luzon	Luzon
RMB	12165	Gehyra	mutilata	Philippines	Luzon	Luzon
RMB	124444	Gehyra	mutilata	Philippines	Luzon	Luzon
RMB	12532	Gehyra	mutilata	Philippines	Luzon	Luzon
RMB	12536	Gehyra	mutilata	Philippines	Luzon	Luzon
RMB	12578	Gehyra	mutilata	Philippines	Luzon	Luzon
RMB	12582	Gehyra	mutilata	Philippines	Luzon	Luzon
RMB	12584	Gehyra	mutilata	Philippines	Luzon	Luzon
RMB	13605	Gehyra	mutilata	Philippines	Luzon	Luzon
RMB	7798	Gekko	athymus	Philippines	Palawan	Palawan
RMB	7828	Gekko	athymus	Philippines	Palawan	Palawan
RMB	7830	Gekko	athymus	Philippines	Palawan	Palawan
RMB	7831	Gekko	athymus	Philippines	Palawan	Palawan
RMB	3118	Gekko	athymus	Philippines	Palawan	Palawan
RMB	13587	Gekko	carusadensis	Philippines	Luzon	Luzon
RMB	13588	Gekko	carusadensis	Philippines	Luzon	Luzon
RMB	13589	Gekko	carusadensis	Philippines	Luzon	Luzon
RMB	13590	Gekko	carusadensis	Philippines	Luzon	Luzon
RMB	13591	Gekko	carusadensis	Philippines	Luzon	Luzon
KU-FS	13	Gekko	chinensis	China		
KU-FS	14	Gekko	chinensis	China		
KU-FS	15	Gekko	chinensis	China		
KU-FS	16	Gekko	chinensis	China		
KU-FS	17	Gekko	chinensis	China		
KU-FS	18	Gekko	chinensis	China		
KU-FS	272	Gekko	chinensis	China		
RMB	5928	Gekko	crombota	Philippines	Babuyan Claro	Babuyan Island Group
RMB	5929	Gekko	crombota	Philippines	Babuyan Claro	Babuyan Island Group
RMB	5930	Gekko	crombota	Philippines	Babuyan Claro	Babuyan Island Group
RMB	5935	Gekko	crombota	Philippines	Babuyan Claro	Babuyan Island Group
RMB	5942	Gekko	crombota	Philippines	Babuyan Claro	Babuyan Island Group
RMB	5946	Gekko	crombota	Philippines	Babuyan Claro	Babuyan Island Group
RMB	5947	Gekko	crombota	Philippines	Babuyan Claro	Babuyan Island Group
RMB	5950	Gekko	crombota	Philippines	Babuyan Claro	Babuyan Island Group
RMB	5951	Gekko	crombota	Philippines	Babuyan Claro	Babuyan Island Group
RMB	5953	Gekko	crombota	Philippines	Babuyan Claro	Babuyan Island Group
RMB	5954	Gekko	crombota	Philippines	Babuyan Claro	Babuyan Island Group
RMB	5957	Gekko	crombota	Philippines	Babuyan Claro	Babuyan Island Group
RMB	5966	Gekko	crombota	Philippines	Babuyan Claro	Babuyan Island Group
RMB	5968	Gekko	crombota	Philippines	Babuyan Claro	Babuyan Island Group
RMB	5969	Gekko	crombota	Philippines	Babuyan Claro	Babuyan Island Group
RMB	5970	Gekko	crombota	Philippines	Babuyan Claro	Babuyan Island Group
CDS	143	Gekko	ernstkelleri	Philippines	Panay	Visayan
CDS	1554	Gekko	ernstkelleri	Philippines	Panay	Visayan
CDS	154	Gekko	ernstkelleri	Philippines	Panay	Visayan
CDS	155	Gekko	ernstkelleri	Philippines	Panay	Visayan
CDS	156	Gekko	ernstkelleri	Philippines	Panay	Visayan
CDS	157	Gekko	ernstkelleri	Philippines	Panay	Visayan
CDS	159	Gekko	ernstkelleri	Philippines	Panay	Visayan
CDS	161	Gekko	ernstkelleri	Philippines	Panay	Visayan
CDS	163	Gekko	ernstkelleri	Philippines	Panay	Visayan
CDS	212	Gekko	ernstkelleri	Philippines	Panay	Visayan
CDS	4465	Gekko	gecko	Philippines	Bohol	Mindanao
CDS	4769	Gekko	gecko	Philippines	Bohol	Mindanao
CDS	4842	Gekko	gecko	Philippines	Bohol	Mindanao
CDS	4935	Gekko	gecko	Philippines	Bohol	Mindanao
CDS	4936	Gekko	gecko	Philippines	Bohol	Mindanao
CDS	5024	Gekko	gecko	Philippines	Bohol	Mindanao
CDS	60	Gekko	gecko	Philippines	Camiguin Sur	Mindanao
CDS	87	Gekko	gecko	Philippines	Camiguin Sur	Mindanao
RMB	8260	Gekko	gecko	Philippines	Camiguin Sur	Mindanao
RMB	8261	Gekko	gecko	Philippines	Camiguin Sur	Mindanao
RMB	8262	Gekko	gecko	Philippines	Camiguin Sur	Mindanao
RMB	8263	Gekko	gecko	Philippines	Camiguin Sur	Mindanao
CWL	74	Gekko	gecko	Philippines	Cebu	Visayan
CWL	82	Gekko	gecko	Philippines	Cebu	Visayan
CWL	83	Gekko	gecko	Philippines	Cebu	Visayan
CWL	84	Gekko	gecko	Philippines	Cebu	Visayan
RMB	15322	Gekko	gecko	Philippines	Cebu	Visayan
RMB	15334	Gekko	gecko	Philippines	Cebu	Visayan
RMB	15375	Gekko	gecko	Philippines	Cebu	Visayan
CDS	365	Gekko	gecko	Philippines	Guimaras	Visayan
CDS	367	Gekko	gecko	Philippines	Guimaras	Visayan
CDS	368	Gekko	gecko	Philippines	Guimaras	Visayan
CDS	553	Gekko	gecko	Philippines	Guimaras	Visayan
RMB	5233	Gekko	gecko	Philippines	Lubang	Lubang
RMB	5234	Gekko	gecko	Philippines	Lubang	Lubang
RMB	5235	Gekko	gecko	Philippines	Lubang	Lubang
RMB	5236	Gekko	gecko	Philippines	Lubang	Lubang
RMB	5237	Gekko	gecko	Philippines	Lubang	Lubang
RMB	5258	Gekko	gecko	Philippines	Lubang	Lubang
RMB	5259	Gekko	gecko	Philippines	Lubang	Lubang
RMB	5260	Gekko	gecko	Philippines	Lubang	Lubang
RMB	5279	Gekko	gecko	Philippines	Lubang	Lubang
RMB	5280	Gekko	gecko	Philippines	Lubang	Lubang
RMB	5281	Gekko	gecko	Philippines	Lubang	Lubang
RMB	5282	Gekko	gecko	Philippines	Lubang	Lubang
RMB	13762	Gekko	gecko	Philippines	Luzon	Luzon
RMB	13763	Gekko	gecko	Philippines	Luzon	Luzon
RMB	13764	Gekko	gecko	Philippines	Luzon	Luzon
RMB	13766	Gekko	gecko	Philippines	Luzon	Luzon
RMB	13767	Gekko	gecko	Philippines	Luzon	Luzon
RMB	13768	Gekko	gecko	Philippines	Luzon	Luzon
RMB	13769	Gekko	gecko	Philippines	Luzon	Luzon
RMB	13770	Gekko	gecko	Philippines	Luzon	Luzon
CDS	499	Gekko	gecko	Philippines	Masbate	Visayan
CDS	498	Gekko	gecko	Philippines	Masbate	Visayan
CDS	500	Gekko	gecko	Philippines	Masbate	Visayan
CDS	512	Gekko	gecko	Philippines	Masbate	Visayan
CDS	513	Gekko	gecko	Philippines	Masbate	Visayan
CDS	5129	Gekko	gecko	Philippines	Masbate	Visayan
RMB	9108	Gekko	gecko	Philippines	Mindanao	Mindanao
RMB	11711	Gekko	gecko	Philippines	Mindanao	Mindanao
RMB	11719	Gekko	gecko	Philippines	Mindanao	Mindanao
ELR	635	Gekko	gecko	Philippines	Mindoro	Mindoro
ELR	711	Gekko	gecko	Philippines	Mindoro	Mindoro
ELR	712	Gekko	gecko	Philippines	Mindoro	Mindoro
ELR	713	Gekko	gecko	Philippines	Mindoro	Mindoro
ELR	714	Gekko	gecko	Philippines	Mindoro	Mindoro
ELR	715	Gekko	gecko	Philippines	Mindoro	Mindoro
ELR	716	Gekko	gecko	Philippines	Mindoro	Mindoro
ELR	727	Gekko	gecko	Philippines	Mindoro	Mindoro
ELR	728	Gekko	gecko	Philippines	Mindoro	Mindoro
ELR	737	Gekko	gecko	Philippines	Mindoro	Mindoro
ELR	1017	Gekko	gecko	Philippines	Mindoro	Mindoro
ELR	1018	Gekko	gecko	Philippines	Mindoro	Mindoro
ELR	818	Gekko	gecko	Philippines	Mindoro	Mindoro
CWL	50	Gekko	gecko	Philippines	Negros	Visayan
CDS	3627	Gekko	gecko	Philippines	Negros	Visayan
CDS	3628	Gekko	gecko	Philippines	Negros	Visayan
CDS	3629	Gekko	gecko	Philippines	Negros	Visayan
CDS	3630	Gekko	gecko	Philippines	Negros	Visayan
CDS	3631	Gekko	gecko	Philippines	Negros	Visayan
CDS	3632	Gekko	gecko	Philippines	Negros	Visayan
RMB	7920	Gekko	gecko	Philippines	Palawan	Palawan
RMB	7921	Gekko	gecko	Philippines	Palawan	Palawan
RMB	7929	Gekko	gecko	Philippines	Palawan	Palawan
CDS	209	Gekko	gecko	Philippines	Panay	Visayan
CDS	210	Gekko	gecko	Philippines	Panay	Visayan
CDS	1630	Gekko	gecko	Philippines	Panay	Visayan
RMB	6404	Gekko	gecko	Philippines	Panay	Visayan
RMB	6499	Gekko	gecko	Philippines	Panay	Visayan
RMB	6502	Gekko	gecko	Philippines	Panay	Visayan
RMB	6634	Gekko	gecko	Philippines	Panay	Visayan
RMB	6635	Gekko	gecko	Philippines	Panay	Visayan
LSUHC	3431	Gekko	gecko	West Malaysia	Pulau Langkawi	
LSUHC	3432	Gekko	gecko	West Malaysia	Pulau Langkawi	
LSUHC	3433	Gekko	gecko	West Malaysia	Pulau Langkawi	
LSUHC	3434	Gekko	gecko	West Malaysia	Pulau Langkawi	
LSUHC	3435	Gekko	gecko	West Malaysia	Pulau Langkawi	
LSUHC	3436	Gekko	gecko	West Malaysia	Pulau Langkawi	
LSUHC	3437	Gekko	gecko	West Malaysia	Pulau Langkawi	
LSUHC	3438	Gekko	gecko	West Malaysia	Pulau Langkawi	
LSUHC	4744	Gekko	gecko	West Malaysia	Pulau Langkawi	
LSUHC	4745	Gekko	gecko	West Malaysia	Pulau Langkawi	
LSUHC	4746	Gekko	gecko	West Malaysia	Pulau Langkawi	
LSUHC	4747	Gekko	gecko	West Malaysia	Pulau Langkawi	
