divergence_model	estimated_prob	glm_adjusted_prob	div_model_with_conditional_age_estimates
0,0,1,1,1	0.0265	nan	0:3.67595367629[&age_median=3.67595367629,age_mean=4.16682601025,age_n=265,age_range={0.01864551174,12.0970973142},age_hpdi_95={0.01864551174,9.45655277933},age_qi_95={0.119894468764,10.1246383892}],1:2.77011607554[&age_median=2.77011607554,age_mean=3.16220260903,age_n=265,age_range={0.012559495,8.97349079268},age_hpdi_95={0.012559495,7.17748935666},age_qi_95={0.127217813324,7.72053440336}]
0,1,0,0,0	0.0255	nan	0:2.41734664073[&age_median=2.41734664073,age_mean=2.68815803482,age_n=255,age_range={0.00474231262,7.18395054409},age_hpdi_95={0.00474231262,5.8083429742},age_qi_95={0.140789752081,6.5904005679}],1:5.94454920616[&age_median=5.94454920616,age_mean=6.45927077779,age_n=255,age_range={0.00212255687,16.9274224007},age_hpdi_95={0.00212255687,14.078986264},age_qi_95={0.169732786954,15.5927074172}]
0,0,1,0,0	0.0241	nan	0:2.75605020902[&age_median=2.75605020902,age_mean=2.84794223054,age_n=241,age_range={0.01459111182,7.20240817382},age_hpdi_95={0.01459111182,5.89089806741},age_qi_95={0.18088440004,6.21513407588}],1:5.1464573961[&age_median=5.1464573961,age_mean=6.05235669639,age_n=241,age_range={0.04290989246,17.3301871762},age_hpdi_95={0.04290989246,14.0527323725},age_qi_95={0.25420859976,15.5290674871}]
0,0,0,1,0	0.0225	nan	0:2.63077502761[&age_median=2.63077502761,age_mean=2.80818315909,age_n=225,age_range={0.01366580416,7.22517350513},age_hpdi_95={0.01366580416,6.23891721546},age_qi_95={0.125820299226,6.62047165281}],1:5.3524920167[&age_median=5.3524920167,age_mean=6.12823010675,age_n=225,age_range={0.04219011626,17.1946287708},age_hpdi_95={0.04219011626,14.4912608612},age_qi_95={0.258089992614,14.8540507151}]
0,0,0,0,1	0.0225	nan	0:2.6223763918[&age_median=2.6223763918,age_mean=2.65460499581,age_n=225,age_range={0.06327890878,6.97666940991},age_hpdi_95={0.06327890878,5.74375766908},age_qi_95={0.12671994302,6.36804012833}],1:5.64390728715[&age_median=5.64390728715,age_mean=6.72442709446,age_n=225,age_range={0.08202880939,19.1093221972},age_hpdi_95={0.08202880939,15.3423855839},age_qi_95={0.205589483722,16.1387165552}]
0,1,1,1,1	0.0212	nan	0:5.1282096081[&age_median=5.1282096081,age_mean=5.97038325884,age_n=212,age_range={0.07037132106,17.7208150178},age_hpdi_95={0.15077069925,14.1135818205},age_qi_95={0.397621039959,15.2353473612}],1:2.58571011073[&age_median=2.58571011073,age_mean=2.86194969162,age_n=212,age_range={0.00850105802,7.41526923475},age_hpdi_95={0.06978506391,6.25871337159},age_qi_95={0.172424141027,6.52877446026}]
0,1,0,2,1	0.0138	nan	0:2.48419571908[&age_median=2.48419571908,age_mean=3.2106525785,age_n=138,age_range={0.03867228068,11.2071300955},age_hpdi_95={0.03867228068,8.691451241},age_qi_95={0.131287771863,9.46326797584}],1:3.81241027884[&age_median=3.81241027884,age_mean=4.04730377816,age_n=138,age_range={0.00889433605,11.3344377955},age_hpdi_95={0.00889433605,9.46967594505},age_qi_95={0.167932288164,10.4267261859}],2:3.9974401822[&age_median=3.9974401822,age_mean=4.97712100688,age_n=138,age_range={0.00938317664,15.5999511608},age_hpdi_95={0.00938317664,12.4341901999},age_qi_95={0.107095816945,12.8766737041}]
0,0,1,1,2	0.0134	nan	0:3.9442692892[&age_median=3.9442692892,age_mean=3.96901751613,age_n=134,age_range={0.04958893442,10.5149298466},age_hpdi_95={0.04958893442,9.14715745512},age_qi_95={0.132396698731,9.43434046778}],1:3.16865134378[&age_median=3.16865134378,age_mean=3.61681391684,age_n=134,age_range={0.01600704953,10.9242041527},age_hpdi_95={0.01600704953,8.90003085267},age_qi_95={0.355881111769,9.36697092493}],2:4.53815884163[&age_median=4.53815884163,age_mean=5.50761236988,age_n=134,age_range={0.00940357671,16.2312716368},age_hpdi_95={0.1558822493,13.9414229857},age_qi_95={0.27256473342,15.4620908396}]
0,1,2,2,0	0.0121	nan	0:2.9595916993[&age_median=2.9595916993,age_mean=3.36631419221,age_n=121,age_range={0.0569489239,9.36348242811},age_hpdi_95={0.18794632306,7.96463290594},age_qi_95={0.19716125023,8.01280828355}],1:4.60262456125[&age_median=4.60262456125,age_mean=5.27959979671,age_n=121,age_range={0.08417507622,17.2111511124},age_hpdi_95={0.08417507622,13.0920318667},age_qi_95={0.24693797123,13.9614369453}],2:3.3324509867[&age_median=3.3324509867,age_mean=3.53386358102,age_n=121,age_range={0.003659757,10.0924953966},age_hpdi_95={0.003659757,8.68757932236},age_qi_95={0.16326946835,8.93791452856}]
0,1,0,1,2	0.0117	nan	0:2.15942529264[&age_median=2.15942529264,age_mean=2.95007058294,age_n=117,age_range={0.02022082005,10.0786731455},age_hpdi_95={0.02022082005,7.76357168951},age_qi_95={0.078478533719,7.91537458882}],1:3.20735268001[&age_median=3.20735268001,age_mean=3.77690596607,age_n=117,age_range={0.11766692624,11.2510705507},age_hpdi_95={0.11766692624,8.73127073062},age_qi_95={0.208461438172,9.51161743164}],2:6.59459122484[&age_median=6.59459122484,age_mean=6.99923611431,age_n=117,age_range={0.02990463757,17.6610753152},age_hpdi_95={0.08895654472,15.1500081389},age_qi_95={0.20921638173,15.3297567043}]
0,0,1,2,2	0.0116	nan	0:3.32461341874[&age_median=3.32461341874,age_mean=3.52555999404,age_n=116,age_range={8.067125e-05,9.3176061604},age_hpdi_95={8.067125e-05,7.85199625422},age_qi_95={0.278661337001,8.61300071232}],1:5.00209051641[&age_median=5.00209051641,age_mean=5.49953267531,age_n=116,age_range={0.02006843369,15.9429921602},age_hpdi_95={0.02006843369,13.2419405673},age_qi_95={0.127191698895,13.6357968492}],2:3.25207019508[&age_median=3.25207019508,age_mean=3.86482291298,age_n=116,age_range={0.01242954626,11.1188972744},age_hpdi_95={0.01242954626,9.17555060345},age_qi_95={0.0814563354625,9.51235798954}]
0,1,0,2,2	0.0116	nan	0:3.00971698311[&age_median=3.00971698311,age_mean=3.66599506839,age_n=116,age_range={0.01847805262,11.1599728853},age_hpdi_95={0.01847805262,8.61292456124},age_qi_95={0.148305810698,9.71223770565}],1:3.7129934552[&age_median=3.7129934552,age_mean=5.07134035837,age_n=116,age_range={0.00305539268,15.6359618998},age_hpdi_95={0.00305539268,14.8354926767},age_qi_95={0.0363954080388,14.949602831}],2:3.86754600062[&age_median=3.86754600062,age_mean=3.97603528469,age_n=116,age_range={0.17330278193,10.4891380449},age_hpdi_95={0.17330278193,9.07722489909},age_qi_95={0.326311549199,9.39904231424}]
0,1,2,0,0	0.0115	nan	0:2.05015557501[&age_median=2.05015557501,age_mean=2.51138709639,age_n=115,age_range={0.02746827069,9.0526533981},age_hpdi_95={0.02746827069,6.423184582},age_qi_95={0.032659999995,7.56012076908}],1:4.57080216963[&age_median=4.57080216963,age_mean=5.31652890146,age_n=115,age_range={0.03434896425,17.1315642005},age_hpdi_95={0.03434896425,14.1967307803},age_qi_95={0.18895315166,14.4505329696}],2:4.91989604417[&age_median=4.91989604417,age_mean=5.4202822219,age_n=115,age_range={0.04229160231,15.6466045335},age_hpdi_95={0.04229160231,12.3431516346},age_qi_95={0.283933197551,13.4610532892}]
0,1,2,2,2	0.0114	nan	0:4.62771193244[&age_median=4.62771193244,age_mean=5.63477405118,age_n=114,age_range={0.07222041008,14.3398487739},age_hpdi_95={0.07222041008,13.1839216009},age_qi_95={0.268926412021,13.5790863807}],1:4.9733243063[&age_median=4.9733243063,age_mean=5.40308739913,age_n=114,age_range={0.08950607316,17.0623161226},age_hpdi_95={0.08950607316,11.6067052302},age_qi_95={0.190848503669,13.7993602108}],2:2.84030224306[&age_median=2.84030224306,age_mean=3.19599591229,age_n=114,age_range={0.00262079488,8.32531777074},age_hpdi_95={0.00262079488,7.02229964578},age_qi_95={0.115854492601,7.84227348169}]
0,1,2,0,2	0.0113	nan	0:3.05845193693[&age_median=3.05845193693,age_mean=3.42471316378,age_n=113,age_range={0.00719154961,10.0346431813},age_hpdi_95={0.00719154961,8.56194212929},age_qi_95={0.160456301752,8.98161205009}],1:4.26679979173[&age_median=4.26679979173,age_mean=4.95657774263,age_n=113,age_range={0.01684812004,15.2122245102},age_hpdi_95={0.01684812004,11.8244528285},age_qi_95={0.23139752176,13.3415370383}],2:3.62151839709[&age_median=3.62151839709,age_mean=4.0560029624,age_n=113,age_range={0.04573879751,9.99119207777},age_hpdi_95={0.04573879751,8.87636004921},age_qi_95={0.252548267276,9.31655007626}]
0,1,2,1,2	0.0112	nan	0:4.14660248154[&age_median=4.14660248154,age_mean=4.86051743246,age_n=112,age_range={0.0823386817,14.3408907388},age_hpdi_95={0.0823386817,12.7700620931},age_qi_95={0.242052688409,13.9595439713}],1:2.98594406652[&age_median=2.98594406652,age_mean=3.81165294582,age_n=112,age_range={0.05836093084,10.8947183256},age_hpdi_95={0.05836093084,8.54022628084},age_qi_95={0.155135921329,8.86463995439}],2:3.73648350347[&age_median=3.73648350347,age_mean=4.15358635517,age_n=112,age_range={0.07150235474,12.0776000466},age_hpdi_95={0.07150235474,8.07313608169},age_qi_95={0.21971526935,9.22628624288}]
0,1,2,1,0	0.011	nan	0:2.96145402873[&age_median=2.96145402873,age_mean=3.39251459507,age_n=110,age_range={2.226649e-05,11.489399548},age_hpdi_95={2.226649e-05,8.4734502481},age_qi_95={0.122269733629,8.88839334585}],1:3.66980760367[&age_median=3.66980760367,age_mean=3.73061244606,age_n=110,age_range={0.02446369233,10.220540735},age_hpdi_95={0.02446369233,7.64887422153},age_qi_95={0.221436868983,7.91822425104}],2:4.77773945415[&age_median=4.77773945415,age_mean=5.57536439953,age_n=110,age_range={0.05981339369,17.442950061},age_hpdi_95={0.05981339369,13.1112233264},age_qi_95={0.205859537057,14.4804833418}]
0,1,1,0,2	0.011	nan	0:2.69112860886[&age_median=2.69112860886,age_mean=3.61664916726,age_n=110,age_range={0.00157594999,11.0011535115},age_hpdi_95={0.00157594999,9.35291265072},age_qi_95={0.134373092435,9.80950203423}],1:2.99510886679[&age_median=2.99510886679,age_mean=3.51351068687,age_n=110,age_range={0.00653850255,10.6967408187},age_hpdi_95={0.00653850255,8.34685216439},age_qi_95={0.204850272462,9.20288242787}],2:4.77214887306[&age_median=4.77214887306,age_mean=5.99889547312,age_n=110,age_range={0.00683773343,17.1739929027},age_hpdi_95={0.00683773343,13.7066354316},age_qi_95={0.316351990684,15.0621160216}]
0,0,1,2,1	0.0109	nan	0:3.06412495464[&age_median=3.06412495464,age_mean=3.50977451864,age_n=109,age_range={0.12771972715,10.1312369616},age_hpdi_95={0.12771972715,8.32076312029},age_qi_95={0.17567650666,9.03903206873}],1:3.28373710862[&age_median=3.28373710862,age_mean=3.72112129904,age_n=109,age_range={0.00439434871,10.1662511743},age_hpdi_95={0.00439434871,8.39171829437},age_qi_95={0.043552676249,8.76386812336}],2:4.96988075048[&age_median=4.96988075048,age_mean=5.76395182175,age_n=109,age_range={0.01809353728,15.1043189211},age_hpdi_95={0.07218144021,12.8115195067},age_qi_95={0.097877970562,13.2725990964}]
0,0,0,1,2	0.0109	nan	0:2.03835676387[&age_median=2.03835676387,age_mean=2.48486568266,age_n=109,age_range={0.02438442156,8.31273027162},age_hpdi_95={0.02438442156,5.99522666952},age_qi_95={0.098197557625,6.78849279734}],1:5.22375132886[&age_median=5.22375132886,age_mean=5.94713363054,age_n=109,age_range={0.01888472208,16.2593958222},age_hpdi_95={0.01888472208,14.4454259962},age_qi_95={0.228085402451,14.7039440402}],2:5.03898846201[&age_median=5.03898846201,age_mean=5.6409086067,age_n=109,age_range={0.14036314567,17.2515569864},age_hpdi_95={0.14036314567,14.5228495921},age_qi_95={0.523010409152,15.3686897425}]
0,1,1,2,2	0.0108	nan	0:4.86953961438[&age_median=4.86953961438,age_mean=5.57681978811,age_n=108,age_range={0.1198570297,15.1480278839},age_hpdi_95={0.1198570297,12.6412158201},age_qi_95={0.290297644116,13.66687098}],1:3.01548935848[&age_median=3.01548935848,age_mean=3.80138986667,age_n=108,age_range={0.03103267802,10.0879526119},age_hpdi_95={0.03103267802,8.35913699833},age_qi_95={0.147755179408,8.91164797168}],2:3.04809225086[&age_median=3.04809225086,age_mean=3.57045869751,age_n=108,age_range={0.15070531468,9.34365561001},age_hpdi_95={0.15070531468,8.79812644815},age_qi_95={0.200649057155,9.12286407529}]
0,1,2,0,1	0.0105	nan	0:2.79802035945[&age_median=2.79802035945,age_mean=3.48764007867,age_n=105,age_range={0.02312979602,10.5431630823},age_hpdi_95={0.02312979602,9.08257329025},age_qi_95={0.058225265152,9.17717551533}],1:3.01563391084[&age_median=3.01563391084,age_mean=3.47998358937,age_n=105,age_range={0.00940377859,11.0415191342},age_hpdi_95={0.00940377859,8.72799848715},age_qi_95={0.137629937458,9.27671278344}],2:4.83688482547[&age_median=4.83688482547,age_mean=5.40197280912,age_n=105,age_range={0.09832999054,14.9372719725},age_hpdi_95={0.17047330014,13.1537631278},age_qi_95={0.21877857848,13.8948228377}]
0,1,0,2,0	0.01	nan	0:2.33693521055[&age_median=2.33693521055,age_mean=2.74887995295,age_n=100,age_range={0.08978365937,8.74997837564},age_hpdi_95={0.08978365937,6.44544905191},age_qi_95={0.138546837553,7.32551251156}],1:5.54443046423[&age_median=5.54443046423,age_mean=5.77929674082,age_n=100,age_range={0.00936742041,15.1417375471},age_hpdi_95={0.0334045603,13.710559542},age_qi_95={0.264182262979,14.2829690213}],2:5.30883107619[&age_median=5.30883107619,age_mean=5.65623548375,age_n=100,age_range={0.02579716541,16.672204398},age_hpdi_95={0.02579716541,13.1427392728},age_qi_95={0.0845444414113,14.6293104784}]
0,1,2,2,1	0.0099	nan	0:3.67062088756[&age_median=3.67062088756,age_mean=4.69714993941,age_n=99,age_range={0.04943471596,12.9198051577},age_hpdi_95={0.04943471596,11.873317909},age_qi_95={0.131339725835,12.0260777599}],1:3.56677315096[&age_median=3.56677315096,age_mean=3.95828207493,age_n=99,age_range={0.07240486818,11.7325261686},age_hpdi_95={0.07240486818,9.37819381357},age_qi_95={0.194225763109,9.79379154893}],2:3.53047529122[&age_median=3.53047529122,age_mean=3.79684677774,age_n=99,age_range={0.11258597686,10.0287758489},age_hpdi_95={0.11258597686,8.29194341276},age_qi_95={0.194638807445,8.72914225272}]
0,1,1,2,0	0.0098	nan	0:3.39488013255[&age_median=3.39488013255,age_mean=3.75585956608,age_n=98,age_range={0.02057127713,11.3058846719},age_hpdi_95={0.02057127713,8.81530538154},age_qi_95={0.15068103766,9.37064522751}],1:3.21095751138[&age_median=3.21095751138,age_mean=3.80225448985,age_n=98,age_range={0.06705639948,11.3952540663},age_hpdi_95={0.16364810395,9.12987329133},age_qi_95={0.191811314288,9.24209473248}],2:4.35926091635[&age_median=4.35926091635,age_mean=5.07638489762,age_n=98,age_range={0.34079168882,13.7802006462},age_hpdi_95={0.42804651948,12.9318229697},age_qi_95={0.444099168627,12.9068522622}]
0,0,1,0,2	0.0094	nan	0:2.95999285985[&age_median=2.95999285985,age_mean=3.02561417456,age_n=94,age_range={0.0743068556,8.00978152024},age_hpdi_95={0.0743068556,6.61054563126},age_qi_95={0.0832917364595,7.26629110049}],1:5.34344852669[&age_median=5.34344852669,age_mean=5.61403033014,age_n=94,age_range={0.07888737204,16.7611512755},age_hpdi_95={0.07888737204,13.1423369433},age_qi_95={0.263447973285,14.0773311817}],2:4.85269748954[&age_median=4.85269748954,age_mean=5.8237308679,age_n=94,age_range={0.00084407469,16.0887122168},age_hpdi_95={0.25989251664,14.5472118172},age_qi_95={0.271215978907,14.5255293353}]
0,1,2,1,1	0.0092	nan	0:5.26246405038[&age_median=5.26246405038,age_mean=6.32557713003,age_n=92,age_range={0.16760889253,15.2119739115},age_hpdi_95={0.38816372925,14.3440259313},age_qi_95={0.406687375281,14.4177831982}],1:2.58358207519[&age_median=2.58358207519,age_mean=2.81716390542,age_n=92,age_range={0.263661665,7.52333091433},age_hpdi_95={0.263661665,6.12755712341},age_qi_95={0.302103680565,6.50503992418}],2:4.54079657961[&age_median=4.54079657961,age_mean=4.93268698457,age_n=92,age_range={0.01050044204,16.4125756738},age_hpdi_95={0.01050044204,12.2564836795},age_qi_95={0.190053575447,13.684772777}]
0,1,0,0,2	0.0088	nan	0:2.52880439325[&age_median=2.52880439325,age_mean=2.91270558375,age_n=88,age_range={0.14347661209,8.27922571428},age_hpdi_95={0.14347661209,6.62921442754},age_qi_95={0.365992244899,7.54851171799}],1:4.36813747526[&age_median=4.36813747526,age_mean=5.43472562631,age_n=88,age_range={0.03259683864,13.7831564488},age_hpdi_95={0.03259683864,11.9867944324},age_qi_95={0.43077572787,13.3893147502}],2:5.14252069553[&age_median=5.14252069553,age_mean=5.76838471266,age_n=88,age_range={0.03721698828,16.8292887285},age_hpdi_95={0.03721698828,13.6592794886},age_qi_95={0.201721105238,14.2568691486}]
0,0,1,2,0	0.0088	nan	0:2.10027331517[&age_median=2.10027331517,age_mean=2.65562425239,age_n=88,age_range={0.03656869311,7.63504185327},age_hpdi_95={0.03656869311,6.57670658747},age_qi_95={0.135131154663,7.09033397483}],1:4.60623867709[&age_median=4.60623867709,age_mean=5.4198719845,age_n=88,age_range={0.06887503495,15.5306634954},age_hpdi_95={0.06887503495,13.9684145393},age_qi_95={0.31151427244,14.2480700915}],2:4.48319894902[&age_median=4.48319894902,age_mean=5.50438147506,age_n=88,age_range={0.02980534733,14.8423870494},age_hpdi_95={0.02980534733,12.2111648324},age_qi_95={0.153259497769,13.221006678}]
0,1,1,2,1	0.0087	nan	0:4.9499819845[&age_median=4.9499819845,age_mean=5.53462138382,age_n=87,age_range={0.20913669954,15.1655152197},age_hpdi_95={0.20913669954,13.2721846641},age_qi_95={0.242431499342,13.3637220815}],1:2.47704206155[&age_median=2.47704206155,age_mean=3.06522164042,age_n=87,age_range={0.00075270838,8.85127847941},age_hpdi_95={0.00075270838,7.2662837446},age_qi_95={0.0579894041175,7.97104094321}],2:4.08060688383[&age_median=4.08060688383,age_mean=4.89060587557,age_n=87,age_range={0.07669201061,14.6171832381},age_hpdi_95={0.07669201061,11.9930519195},age_qi_95={0.201511837818,13.5954200074}]
0,1,1,1,2	0.0079	nan	0:4.32829082961[&age_median=4.32829082961,age_mean=5.13876292145,age_n=79,age_range={0.07643527616,13.7125487406},age_hpdi_95={0.07643527616,12.607110208},age_qi_95={0.111178226342,12.726901774}],1:2.49905335423[&age_median=2.49905335423,age_mean=2.78775875808,age_n=79,age_range={0.01591972894,7.86076278309},age_hpdi_95={0.01591972894,7.0657546064},age_qi_95={0.04905512381,7.15747667274}],2:5.23124934829[&age_median=5.23124934829,age_mean=5.91953541701,age_n=79,age_range={0.27812252005,15.2045529765},age_hpdi_95={0.50003780712,13.8062060731},age_qi_95={0.524991165147,13.8543509818}]
0,0,1,2,3	0.0074	nan	0:2.95297512119[&age_median=2.95297512119,age_mean=3.55080715686,age_n=74,age_range={0.21633897798,8.67532706032},age_hpdi_95={0.40980236081,7.92395448616},age_qi_95={0.430743093004,8.03048718921}],1:4.05776262597[&age_median=4.05776262597,age_mean=4.89952549957,age_n=74,age_range={0.01786672086,15.4928404196},age_hpdi_95={0.0923727619,13.6519255872},age_qi_95={0.172362553185,13.7787721738}],2:3.81960896153[&age_median=3.81960896153,age_mean=4.85427560138,age_n=74,age_range={0.10229124849,14.9377219958},age_hpdi_95={0.48463657623,11.2693096447},age_qi_95={0.528824115054,11.3382796397}],3:3.73807657411[&age_median=3.73807657411,age_mean=4.70688339296,age_n=74,age_range={0.19076556904,13.9584268248},age_hpdi_95={0.19076556904,11.5388397928},age_qi_95={0.41551505087,11.8737714588}]
0,1,2,3,0	0.0072	nan	0:2.97293601147[&age_median=2.97293601147,age_mean=3.34667136379,age_n=72,age_range={0.03078330082,9.86095559094},age_hpdi_95={0.03078330082,8.41652071271},age_qi_95={0.0931581749525,8.68807907067}],1:5.00204706334[&age_median=5.00204706334,age_mean=5.54673867443,age_n=72,age_range={0.0081444055,17.1552721879},age_hpdi_95={0.0081444055,13.5934698762},age_qi_95={0.0560327269815,14.6350430512}],2:4.75409286556[&age_median=4.75409286556,age_mean=4.958693222,age_n=72,age_range={0.12680029267,15.7619733339},age_hpdi_95={0.12680029267,11.4013555983},age_qi_95={0.442426754234,12.9217535269}],3:4.7092820139[&age_median=4.7092820139,age_mean=4.94552394561,age_n=72,age_range={0.12372624681,12.8680136195},age_hpdi_95={0.12372624681,10.1590314678},age_qi_95={0.292634500455,11.2630581108}]
0,1,2,3,3	0.0069	nan	0:3.39802735829[&age_median=3.39802735829,age_mean=4.69568932027,age_n=69,age_range={0.07453692991,12.5211633632},age_hpdi_95={0.07453692991,10.9891709307},age_qi_95={0.135301457278,11.5708143615}],1:4.62028767615[&age_median=4.62028767615,age_mean=5.7656304352,age_n=69,age_range={0.21429370242,13.2743754611},age_hpdi_95={0.21429370242,11.75778131},age_qi_95={0.588893746606,12.5891380219}],2:3.54388580062[&age_median=3.54388580062,age_mean=4.16395625808,age_n=69,age_range={0.24240154265,14.0567151566},age_hpdi_95={0.24240154265,10.895739745},age_qi_95={0.403056611884,11.2527180891}],3:2.24967167599[&age_median=2.24967167599,age_mean=2.84088834598,age_n=69,age_range={0.02194820646,9.52688548423},age_hpdi_95={0.02194820646,7.06845489579},age_qi_95={0.085005978745,7.51150966026}]
0,1,2,1,3	0.0065	nan	0:4.02365992059[&age_median=4.02365992059,age_mean=4.73972948231,age_n=65,age_range={0.14067636379,13.0113441527},age_hpdi_95={0.14067636379,10.259048639},age_qi_95={0.256498556462,12.1973235686}],1:2.09442362192[&age_median=2.09442362192,age_mean=3.0525153417,age_n=65,age_range={0.00277446199,10.5508680793},age_hpdi_95={0.00277446199,7.98388864646},age_qi_95={0.065518956746,9.0654621087}],2:4.06576928375[&age_median=4.06576928375,age_mean=5.02471708282,age_n=65,age_range={0.04092314332,12.7824366311},age_hpdi_95={0.04092314332,12.1713449419},age_qi_95={0.140076102164,12.4658902853}],3:4.61187041474[&age_median=4.61187041474,age_mean=5.20534581985,age_n=65,age_range={0.09852245843,16.9468159917},age_hpdi_95={0.09852245843,12.7505658018},age_qi_95={0.157547665792,15.2111957343}]
0,1,2,2,3	0.0059	nan	0:4.80569466443[&age_median=4.80569466443,age_mean=5.50888263725,age_n=59,age_range={0.06348242494,15.4739968103},age_hpdi_95={0.06348242494,14.1345269812},age_qi_95={0.149950881444,14.5034997356}],1:4.09197309074[&age_median=4.09197309074,age_mean=5.29566078457,age_n=59,age_range={0.18432526621,15.9428862644},age_hpdi_95={0.18432526621,13.0281138918},age_qi_95={0.315301612959,13.8996308752}],2:2.49478826732[&age_median=2.49478826732,age_mean=3.34492752128,age_n=59,age_range={0.01436085076,10.1983915165},age_hpdi_95={0.01436085076,8.91229640334},age_qi_95={0.150047311112,9.10867042195}],3:4.03840823777[&age_median=4.03840823777,age_mean=4.24977348205,age_n=59,age_range={0.06631991429,11.0673050057},age_hpdi_95={0.06631991429,10.1317500566},age_qi_95={0.096120117825,10.5838080291}]
