divergence_model	estimated_prob	glm_adjusted_prob	div_model_with_conditional_age_estimates
0,0,0,0,0	0.2447	nan	0:2.98079319261[&age_median=2.98079319261,age_mean=3.01185935447,age_n=2447,age_range={0.00193579012,6.92899585213},age_hpdi_95={0.00193579012,5.87469126911},age_qi_95={0.158792939389,6.15383830946}]
0,1,1,0,0	0.033	nan	0:2.88706160404[&age_median=2.88706160404,age_mean=3.22588387886,age_n=330,age_range={0.0089008248,8.88206431935},age_hpdi_95={0.0089008248,7.34372476764},age_qi_95={0.061173127765,7.61856467814}],1:3.51432891951[&age_median=3.51432891951,age_mean=4.08566881432,age_n=330,age_range={0.03518182483,12.3119610317},age_hpdi_95={0.03518182483,9.21488607333},age_qi_95={0.174215203497,10.1463788058}]
0,0,0,1,1	0.0325	nan	0:2.90288428692[&age_median=2.90288428692,age_mean=3.25513134879,age_n=325,age_range={0.00497685905,8.36603419103},age_hpdi_95={0.00497685905,7.60224100171},age_qi_95={0.096270576694,7.92197911178}],1:3.99675091219[&age_median=3.99675091219,age_mean=4.28160972478,age_n=325,age_range={0.01193946727,11.666566867},age_hpdi_95={0.01193946727,9.17437080372},age_qi_95={0.256210165578,10.2468233511}]
0,1,1,0,1	0.0322	nan	0:3.73102547113[&age_median=3.73102547113,age_mean=4.30088514232,age_n=322,age_range={0.00295279592,12.6070962498},age_hpdi_95={0.00295279592,9.63634294269},age_qi_95={0.23599528841,10.3078770665}],1:2.90901021326[&age_median=2.90901021326,age_mean=3.23685911419,age_n=322,age_range={0.04791652686,9.4480755229},age_hpdi_95={0.05920376563,7.35479769494},age_qi_95={0.185026405574,7.91978661781}]
0,0,1,0,1	0.0321	nan	0:2.93954739488[&age_median=2.93954739488,age_mean=3.2943163571,age_n=321,age_range={0.02618729798,9.29153539113},age_hpdi_95={0.07382197935,7.09373564298},age_qi_95={0.15483065959,7.2378547338}],1:3.58646242901[&age_median=3.58646242901,age_mean=4.24285836431,age_n=321,age_range={0.03203079847,12.0524535122},age_hpdi_95={0.03203079847,9.99186691403},age_qi_95={0.18005870029,10.7286353812}]
0,1,0,0,1	0.0316	nan	0:2.92561914121[&age_median=2.92561914121,age_mean=3.12923467307,age_n=316,age_range={0.00723332087,9.33386463958},age_hpdi_95={0.00723332087,7.2448029551},age_qi_95={0.136123408275,7.68865416805}],1:3.93343857283[&age_median=3.93343857283,age_mean=4.47158645046,age_n=316,age_range={0.00944523055,12.7716464737},age_hpdi_95={0.00944523055,10.1258018633},age_qi_95={0.19853475397,10.7713336186}]
0,0,1,1,0	0.031	nan	0:3.36972668397[&age_median=3.36972668397,age_mean=3.52182483224,age_n=310,age_range={0.02148312582,8.76410468723},age_hpdi_95={0.02148312582,7.22024954142},age_qi_95={0.191328824639,7.67023127681}],1:3.63346701412[&age_median=3.63346701412,age_mean=3.94899120556,age_n=310,age_range={0.00054886047,11.7275425899},age_hpdi_95={0.00054886047,9.38231224639},age_qi_95={0.115576321904,9.95673980215}]
0,1,0,1,1	0.0302	nan	0:3.73549014244[&age_median=3.73549014244,age_mean=4.23998936438,age_n=302,age_range={0.00807966783,12.8404062306},age_hpdi_95={0.00807966783,10.0086897535},age_qi_95={0.161882843808,10.7016151579}],1:2.77142544238[&age_median=2.77142544238,age_mean=3.22165515961,age_n=302,age_range={0.00209171202,9.45483990625},age_hpdi_95={0.00209171202,7.38506534494},age_qi_95={0.100789037699,7.8916039075}]
0,1,1,1,0	0.0287	nan	0:3.79355070982[&age_median=3.79355070982,age_mean=4.08535193405,age_n=287,age_range={0.01381878482,11.4499920406},age_hpdi_95={0.01381878482,9.65805099748},age_qi_95={0.150527041173,10.4240611557}],1:3.07073209352[&age_median=3.07073209352,age_mean=3.35275730948,age_n=287,age_range={0.02564349488,9.42864999899},age_hpdi_95={0.02564349488,7.31599973813},age_qi_95={0.080541689141,8.33032789885}]
0,1,0,1,0	0.0285	nan	0:2.9237375441[&age_median=2.9237375441,age_mean=3.23069958826,age_n=285,age_range={0.00361778821,9.00834328366},age_hpdi_95={0.00361778821,7.33972114081},age_qi_95={0.152370143408,7.75004029089}],1:4.04834605028[&age_median=4.04834605028,age_mean=4.42350082626,age_n=285,age_range={0.00648767899,12.7069972707},age_hpdi_95={0.00648767899,9.331349768},age_qi_95={0.144468626172,10.1347496297}]
