divergence_model	estimated_prob	glm_adjusted_prob	div_model_with_conditional_age_estimates
0,0,0,0,1	0.0241	nan	0:1.75840795009[&age_median=1.75840795009,age_mean=1.8397269088,age_n=241,age_range={0.01664105057,4.67014309669},age_hpdi_95={0.01664105057,3.92931551021},age_qi_95={0.09586442161,4.10118038368}],1:4.21000452684[&age_median=4.21000452684,age_mean=4.72751184582,age_n=241,age_range={0.01843224675,14.2858992867},age_hpdi_95={0.01843224675,10.3879734466},age_qi_95={0.18557690329,11.1431961077}]
0,1,1,1,1	0.023	nan	0:4.10851555174[&age_median=4.10851555174,age_mean=4.3858931466,age_n=230,age_range={0.07037132106,13.1101105185},age_hpdi_95={0.15926750702,9.40834845715},age_qi_95={0.36945677966,10.3274994959}],1:1.62915212848[&age_median=1.62915212848,age_mean=1.83760775093,age_n=230,age_range={0.00791664537,5.3596713224},age_hpdi_95={0.00791664537,4.26016818042},age_qi_95={0.0803467973167,4.48675882039}]
0,1,0,2,1	0.0104	nan	0:2.24933464658[&age_median=2.24933464658,age_mean=2.48268573509,age_n=104,age_range={0.03867228068,7.89278847516},age_hpdi_95={0.03867228068,5.45758295385},age_qi_95={0.0785920127423,5.9695267649}],1:2.29176613889[&age_median=2.29176613889,age_mean=2.65092955511,age_n=104,age_range={0.05707377199,7.59664288224},age_hpdi_95={0.05707377199,6.50031014133},age_qi_95={0.09533318874,6.94879468789}],2:3.12780422989[&age_median=3.12780422989,age_mean=3.77984485574,age_n=104,age_range={0.06252264684,10.5184820425},age_hpdi_95={0.06252264684,8.44201731411},age_qi_95={0.208839921436,9.34387553896}]
0,0,0,1,2	0.009	nan	0:1.57111713256[&age_median=1.57111713256,age_mean=1.81759139529,age_n=90,age_range={0.02438442156,5.22000464481},age_hpdi_95={0.02438442156,4.07366792289},age_qi_95={0.088395309104,4.49656173385}],1:2.89301270169[&age_median=2.89301270169,age_mean=3.69042490288,age_n=90,age_range={0.03696837534,11.4035974357},age_hpdi_95={0.03696837534,8.31441244334},age_qi_95={0.162316877991,9.11537094489}],2:3.7569276455[&age_median=3.7569276455,age_mean=4.29321428282,age_n=90,age_range={0.41476343018,12.5236450444},age_hpdi_95={0.41476343018,9.88878077741},age_qi_95={0.569713414368,10.9148689962}]
0,0,1,1,2	0.0089	nan	0:2.36827429883[&age_median=2.36827429883,age_mean=2.74837139,age_n=89,age_range={0.04958893442,8.3444473522},age_hpdi_95={0.04958893442,5.7652842863},age_qi_95={0.136953528562,6.41091229633}],1:1.91768474982[&age_median=1.91768474982,age_mean=2.35566658607,age_n=89,age_range={0.00117738311,7.90400307805},age_hpdi_95={0.00117738311,5.47576638199},age_qi_95={0.06673568644,7.01990194643}],2:3.65938969756[&age_median=3.65938969756,age_mean=4.12071208341,age_n=89,age_range={0.00940357671,11.7717038338},age_hpdi_95={0.08867850297,10.0483165171},age_qi_95={0.211149268496,10.3018688545}]
0,1,0,2,2	0.0089	nan	0:2.08722932752[&age_median=2.08722932752,age_mean=2.4408094078,age_n=89,age_range={0.01847805262,7.40794133554},age_hpdi_95={0.01847805262,5.41480537742},age_qi_95={0.082459296882,5.99528936599}],1:3.43697689686[&age_median=3.43697689686,age_mean=3.75268681956,age_n=89,age_range={0.00305539268,10.8518739318},age_hpdi_95={0.00305539268,8.51427329488},age_qi_95={0.041629746086,10.0954625277}],2:1.97754556025[&age_median=1.97754556025,age_mean=2.56718617964,age_n=89,age_range={0.13555108641,8.78733114345},age_hpdi_95={0.13555108641,5.86102093553},age_qi_95={0.233766709768,6.42517203062}]
0,1,2,1,0	0.0087	nan	0:2.22067121947[&age_median=2.22067121947,age_mean=2.60998219288,age_n=87,age_range={2.226649e-05,7.14866395721},age_hpdi_95={0.05056147829,6.09484297157},age_qi_95={0.113293795466,6.23078042888}],1:2.23460179344[&age_median=2.23460179344,age_mean=2.53738533754,age_n=87,age_range={0.0407187942,7.64887422153},age_hpdi_95={0.0407187942,5.43389914628},age_qi_95={0.114191504245,6.24190785254}],2:2.2092749888[&age_median=2.2092749888,age_mean=3.22177228961,age_n=87,age_range={0.01231482542,12.3783967798},age_hpdi_95={0.01231482542,9.01950419718},age_qi_95={0.06648670217,9.44968832344}]
0,1,2,1,2	0.0086	nan	0:3.21471172121[&age_median=3.21471172121,age_mean=3.65362345112,age_n=86,age_range={0.0823386817,11.8451729437},age_hpdi_95={0.0823386817,8.71761001175},age_qi_95={0.133456409541,9.9170637978}],1:2.34193466385[&age_median=2.34193466385,age_mean=2.64921400986,age_n=86,age_range={0.05836093084,7.21935163267},age_hpdi_95={0.05836093084,6.02929979746},age_qi_95={0.220952769806,6.45365102636}],2:2.35656717478[&age_median=2.35656717478,age_mean=2.62240742242,age_n=86,age_range={0.07150235474,7.1229828567},age_hpdi_95={0.07150235474,6.41858022509},age_qi_95={0.165641559579,6.80981754346}]
0,1,0,1,2	0.0085	nan	0:1.94622549103[&age_median=1.94622549103,age_mean=2.36900163091,age_n=85,age_range={0.01247952888,7.41707704292},age_hpdi_95={0.01247952888,5.85894254029},age_qi_95={0.070549545963,6.44140903847}],1:2.42351823551[&age_median=2.42351823551,age_mean=2.51350939777,age_n=85,age_range={0.12738461624,6.8002066041},age_hpdi_95={0.12738461624,5.75771283537},age_qi_95={0.201118686188,6.02298652529}],2:3.26742776545[&age_median=3.26742776545,age_mean=4.26291358175,age_n=85,age_range={0.02459556741,11.9938224154},age_hpdi_95={0.02459556741,10.0354053049},age_qi_95={0.332329278503,10.7533484317}]
0,1,2,2,0	0.0084	nan	0:2.35680535135[&age_median=2.35680535135,age_mean=2.45769081869,age_n=84,age_range={0.01516235702,6.33895748446},age_hpdi_95={0.01516235702,5.5447514194},age_qi_95={0.0828131754923,5.60948988112}],1:3.45496822905[&age_median=3.45496822905,age_mean=3.62555379369,age_n=84,age_range={0.08417507622,11.7199282805},age_hpdi_95={0.08417507622,9.00091918299},age_qi_95={0.0979962860063,10.1306842017}],2:2.34504953126[&age_median=2.34504953126,age_mean=2.46926116824,age_n=84,age_range={0.03912529785,6.39713384509},age_hpdi_95={0.03912529785,5.2963790446},age_qi_95={0.164462505104,5.52896109609}]
