taxa	H	E
CWL_90_Cyrtodactylus_annulatus_Cebu.trimmed	0.00584427	0.00154046	
RMB_13664_Cyrtodactylus_philippinicus_Luzon.trimmed	0.00906225	0.00308992	
RMB_6060_Gekko_rossi_Calayan.trimmed	0.00451268	0.00056838	
CDS_31_Gekko_gigante_SouthGigante.trimmed	0.00563027	0.00066481	
ELR_1008_Gekko_mindorensis_Mindoro.trimmed	0.0053335	0.00060306	
RMB_11746_Cyrtodactylus_jambangan_Mindanao.trimmed	0.01145532	0.00273792	
RMB_13510_Cyrtodactylus_philippinicus_Luzon.trimmed	0.00667023	0.00230429	
RMB_6317_Pseudogekko_smaragdinus_Polillo.trimmed	0.00467093	0.00055969	
CDS_792_Gekko_romblon_Romblon.trimmed	0.00603096	0.00044372	
RMB_5968_Gekko_crombota_BabuyanClaro.trimmed	0.00501822	0.00078307	
RMB_12835_Cyrtodactylus_philippinicus_Luzon.trimmed	0.00782842	0.00204438	
RMB_7724_Cyrtodactylus_annulatus_Palawan.trimmed	0.00774238	0.00148559	
CDS_5627_Cyrtodactylus_philippinicus_Luzon.trimmed	0.00794113	0.00266852	
SP_6892_Cyrtodactylus_baluensis_Kinabalu.trimmed	0.00861459	0.00195008	
RMB_9531_Lepidodactylus_balioburius_Batan.trimmed	0.00401439	0.00043934	
NOSERIES_4679_Ptychozoon_kuhli_PulauTioman.trimmed	0.0074317	0.00075791	
RMB_15212_Cyrtodactylus_philippinicus_Luzon.trimmed	0.00752973	0.00221906	
CDS_155_Gekko_ernstkelleri_Panay.trimmed	0.00546402	0.00075535	
LSUHC_7289_Gekko_monarchus_PulauAur.trimmed	0.00564807	0.00085918	
RMB_12838_Cyrtodactylus_philippinicus_Luzon.trimmed	0.00846747	0.00272681	
RMB_6058_Gekko_rossi_Calayan.trimmed	0.00417829	0.00057207	
RMB_9554_Gekko_porosus_Sabtang.trimmed	0.0046729	0.00063457	
RMB_13654_Cyrtodactylus_philippinicus_Luzon.trimmed	0.00769847	0.00214692	
RMB_8789_Gekko_romblon_Tablas.trimmed	0.00564557	0.0005168	
RMB_8445_Cyrtodactylus_mamanwa_Dinagat.trimmed	0.00987186	0.00232126	
RMB_6052_Gekko_rossi_Calayan.trimmed	0.00371387	0.00049419	
CDS_1511_Cyrtodactylus_philippinicus_Panay.trimmed	0.0068512	0.00067525	
ELR_1010_Gekko_mindorensis_Mindoro.trimmed	0.0048066	0.00058181	
RMB_13651_Cyrtodactylus_philippinicus_Luzon.trimmed	0.00665396	0.00218752	
RMB_7830_Gekko_athymus_Palawan.trimmed	0.00540333	0.00077399	
RMB_6373_Gekko_sp.a_Dalupiri.trimmed	0.00462647	0.0008567	
RMB_12834_Cyrtodactylus_philippinicus_Luzon.trimmed	0.00831281	0.00220464	
NOSERIES_3835_Ptychozoon_kuhli_PulauTioman.trimmed	0.00773626	0.00079056	
RMB_9207_Cyrtodactylus_jambangan_Mindanao.trimmed	0.01075839	0.00155814	
RMB_9585_Gekko_porosus_Batan.trimmed	0.00416871	0.00041797	
RMB_5006_Gekko_mindorensis_Mindoro.trimmed	0.00407478	0.00037686	
RMB_15119_Cyrtodactylus_philippinicus_Luzon.trimmed	0.00689444	0.00194233	
RMB_7922_Gekko_monarchus_Palawan.trimmed	0.00569993	0.00070856	
CDS_1461_Gekko_mindorensis_MaestreDeCampo.trimmed	0.00416671	0.00043911	
RMB_9740_Cyrtodactylus_philippinicus_Luzon.trimmed	0.00735303	0.00192971	
RMB_6320_Pseudogekko_smaragdinus_Polillo.trimmed	0.00353957	0.00026943	
CDS_757_Gekko_mindorensis_Masbate.trimmed	0.00368542	0.00047633	
RMB_9530_Lepidodactylus_balioburius_Batan.trimmed	0.00417414	0.00034869	
CDS_607_Gekko_mindorensis_Caluya.trimmed	0.00485944	0.00044944	
RMB_7721_Cyrtodactylus_tautbatorum_Palawan.trimmed	0.005734	0.00039102	
RMB_13670_Cyrtodactylus_philippinicus_Luzon.trimmed	0.00655694	0.00203127	
CDS_789_Gekko_romblon_Romblon.trimmed	0.00552271	0.00039642	
CDS_791_Gekko_romblon_Romblon.trimmed	0.00560942	0.00047859	
RMB_6431_Gekko_mindorensis_Panay.trimmed	0.00361058	0.00039364	
CDS_212_Gekko_ernstkelleri_Panay.trimmed	0.00392906	0.00041798	
CDS_277_Gekko_mindorensis_Negros.trimmed	0.00359619	0.00036265	
CDS_4660_Cyrtodactylus_annulatus_Bohol.trimmed	0.00601369	0.00139056	
RMB_13902_Cyrtodactylus_philippinicus_Luzon.trimmed	0.00700951	0.0016938	
RMB_14310_Cyrtodactylus_philippinicus_Luzon.trimmed	0.00501891	0.00172708	
CDS_4384_Cyrtodactylus_philippinicus_Negros.trimmed	0.00488883	0.00038191	
CDS_790_Gekko_romblon_Romblon.trimmed	0.00512559	0.00035375	
RMB_5737_Gekko_sp.b_CamiguinNorte.trimmed	0.00364364	0.00033239	
SP_6906_Cyrtodactylus_baluensis_Kinabalu.trimmed	0.0093528	0.00151111	
RMB_5005_Gekko_mindorensis_Mindoro.trimmed	0.00423393	0.00045377	
CDS_3751_Cyrtodactylus_philippinicus_Lubang.trimmed	0.00544789	0.00170214	
RMB_6370_Gekko_sp.a_Dalupiri.trimmed	0.00352524	0.00037365	
CDS_3793_Cyrtodactylus_philippinicus_Lubang.trimmed	0.00563073	0.00166232	
RMB_13768_Gekko_gecko_Luzon.trimmed	0.00627491	0.00066527	
RMB_7938_Gekko_monarchus_Palawan.trimmed	0.00532473	0.00036051	
CDS_788_Gekko_romblon_Romblon.trimmed	0.00517495	0.00027698	
RMB_5970_Gekko_crombota_BabuyanClaro.trimmed	0.00374627	0.00057833	
CWL_89_Cyrtodactylus_annulatus_Cebu.trimmed	0.00455425	0.00129944	
RMB_5730_Gekko_sp.b_CamiguinNorte.trimmed	0.00359346	0.00036514	
RMB_9584_Gekko_porosus_Batan.trimmed	0.00373691	0.00032493	
CDS_101_Gekko_mindorensis_CamiguinSur.trimmed	0.00447614	0.00050481	
RMB_6059_Gekko_rossi_Calayan.trimmed	0.00308414	0.00031106	
RMB_8931_Cyrtodactylus_gubaot_Leyte.trimmed	0.0071932	0.00150861	
RMB_7757_Cyrtodactylus_redimiculus_Palawan.trimmed	0.00513438	0.00043649	
RMB_8232_Cyrtodactylus_annulatus_CamiguinSur.trimmed	0.00616897	0.00130625	
RMB_13366_Cyrtodactylus_philippinicus_Luzon.trimmed	0.00537538	0.00152478	
RMB_9555_Gekko_porosus_Sabtang.trimmed	0.00338692	0.00030141	
RMB_5971_Luperosaurus_macgregori_BabuyanClaro.trimmed	0.00546134	0.00036326	
RMB_13591_Gekko_carusadensis_Luzon.trimmed	0.00449301	0.00050542	
RMB_9574_Lepidodactylus_balioburius_Sabtang.trimmed	0.00450185	0.00030432	
RMB_5755_Cyrtodactylus_philippinicus_CamiguinNorte.trimmed	0.00485061	0.00143433	
CDS_66_Gekko_mindorensis_Panay.trimmed	0.00428881	0.00032062	
CDS_4659_Cyrtodactylus_annulatus_Bohol.trimmed	0.00581413	0.00104483	
RMB_6314_Pseudogekko_smaragdinus_Polillo.trimmed	0.00372657	0.00026653	
CDSGS_39_Gekko_mindorensis_Negros.trimmed	0.00275238	0.00028402	
RMB_13961_Cyrtodactylus_philippinicus_Luzon.trimmed	0.00702719	0.00152256	
RMB_13552_Hemidactylus_frenatus_Luzon.trimmed	0.00774369	0.00028357	
CDS_4485_Cyrtodactylus_annulatus_Bohol.trimmed	0.0049733	0.00115117	
CDS_3936_Gekko_mindorensis_Lubang.trimmed	0.00381701	0.00040769	
RMB_13964_Cyrtodactylus_philippinicus_Luzon.trimmed	0.00688586	0.00142925	
RMB_11670_Cyrtodactylus_jambangan_Mindanao.trimmed	0.00951636	0.00127407	
RMB_8220_Cyrtodactylus_annulatus_CamiguinSur.trimmed	0.00527346	0.00107376	
CDS_3030_Cyrtodactylus_sumuroi_Samar.trimmed	0.00711679	0.00036276	
RMB_8934_Cyrtodactylus_gubaot_Leyte.trimmed	0.00732925	0.00133753	
LSUHC_5042_Ptychozoon_kuhli_PulauTioman.trimmed	0.00630333	0.00043248	
RMB_5728_Gekko_sp.b_CamiguinNorte.trimmed	0.00359004	0.00029231	
RMB_5757_Cyrtodactylus_philippinicus_CamiguinNorte.trimmed	0.00474592	0.00123691	
RMB_8416_Cyrtodactylus_mamanwa_Dinagat.trimmed	0.00800203	0.00155323	
RMB_5949_Luperosaurus_macgregori_BabuyanClaro.trimmed	0.00531463	0.00031566	
RMB_8937_Cyrtodactylus_gubaot_Leyte.trimmed	0.00683896	0.00141487	
RMB_7873_Cyrtodactylus_redimiculus_Palawan.trimmed	0.00514503	0.00042838	
RMB_6374_Gekko_sp.a_Dalupiri.trimmed	0.00331196	0.00036185	
RMB_9528_Lepidodactylus_balioburius_Batan.trimmed	0.00366895	0.00032909	
RMB_6425_Gekko_mindorensis_Panay.trimmed	0.00271899	0.00026817	
RMB_5945_Luperosaurus_macgregori_BabuyanClaro.trimmed	0.00533469	0.0003341	
