catalog_series	catalog_number	field_series	field_number	genus	epithet	country	island
LSUHC	6309	LSUHC	6309	Cyrtodactylus	majula	Singapore	
LSUHC	6310	LSUHC	6310	Cyrtodactylus	majula	Singapore	
LSUHC	6311	LSUHC	6311	Cyrtodactylus	majula	Singapore	
LSUHC	6312	LSUHC	6312	Cyrtodactylus	majula	Singapore	
LSUHC	6313	LSUHC	6313	Cyrtodactylus	majula	Singapore	
LSUHC	5229	LSUHC	5229	Cyrtodactylus	oldhami	Thailand	
LSUHC	5230	LSUHC	5230	Cyrtodactylus	oldhami	Thailand	
LSUHC	5231	LSUHC	5231	Cyrtodactylus	oldhami	Thailand	
LSUHC	5232	LSUHC	5232	Cyrtodactylus	oldhami	Thailand	
LSUHC	4475	LSUHC	4475	Cyrtodactylus	pantiensis	West Malaysia	
LSUHC	4476	LSUHC	4476	Cyrtodactylus	pantiensis	West Malaysia	
LSUHC	4477	LSUHC	4477	Cyrtodactylus	pantiensis	West Malaysia	
LSUHC	4478	LSUHC	4478	Cyrtodactylus	pantiensis	West Malaysia	
LSUHC	4479	LSUHC	4479	Cyrtodactylus	pantiensis	West Malaysia	
LSUHC	4888	LSUHC	4888	Cyrtodactylus	pubisulcus	East Malaysia	
LSUHC	4889	LSUHC	4889	Cyrtodactylus	pubisulcus	East Malaysia	
LSUHC	410	LSUHC	410	Cyrtodactylus	pubisulcus	Malaysia	
LSUHC	411	LSUHC	411	Cyrtodactylus	pubisulcus	Malaysia	
LSUHC	4695	LSUHC	4695	Cyrtodactylus	pulchellus	West Malaysia	Pulau Langkawi
LSUHC	4702	LSUHC	4702	Cyrtodactylus	pulchellus	West Malaysia	Pulau Langkawi
LSUHC	4703	LSUHC	4703	Cyrtodactylus	pulchellus	West Malaysia	Pulau Langkawi
LSUHC	5194	LSUHC	5194	Cyrtodactylus	pulchellus	West Malaysia	Pulau Langkawi
LSUHC	5195	LSUHC	5195	Cyrtodactylus	pulchellus	West Malaysia	Pulau Langkawi
LSUHC	5345	LSUHC	5345	Cyrtodactylus	pulchellus	Malaysia	Pulau Pinang
LSUHC	5758	LSUHC	5758	Cyrtodactylus	pulchellus	West Malaysia	Pulau Pinang
LSUHC	6316	LSUHC	6316	Cyrtodactylus	pulchellus	West Malaysia	Pulau Pinang
LSUHC	5948	LSUHC	5948	Cyrtodactylus	pulchellus	West Malaysia	Pulau Pinang
LSUHC	5357	LSUHC	5357	Cyrtodactylus	pulchellus	Malaysia	
LSUHC	5358	LSUHC	5358	Cyrtodactylus	pulchellus	Malaysia	
LSUHC	4994	LSUHC	4994	Cyrtodactylus	pulchellus	West Malaysia	
LSUHC	5176	LSUHC	5176	Cyrtodactylus	pulchellus	West Malaysia	
LSUHC	5177	LSUHC	5177	Cyrtodactylus	pulchellus	West Malaysia	
