Cat. No.	Species	Locality	
2586	Cyrtodactylus consobrinus	"Malaysia, Johor, Endau-Rompin"	
4460	Cyrtodactylus consobrinus	"West Malaysia, Johor, Bunker Trail"	
4461	Cyrtodactylus consobrinus	"West Malaysia, Johor, Bunker Trail"	
4462	Cyrtodactylus consobrinus	"West Malaysia, Johor, Bunker Trail"	
4463	Cyrtodactylus consobrinus	"West Malaysia, Johor, Bunker Trail"	
4464	Cyrtodactylus consobrinus	"West Malaysia, Johor, Bunker Trail"	
4465	Cyrtodactylus consobrinus	"West Malaysia, Johor, Bunker Trail"	
4466	Cyrtodactylus consobrinus	"West Malaysia, Johor, Bunker Trail"	
4467	Cyrtodactylus consobrinus	"West Malaysia, Johor, Bunker Trail"	
5531	Cyrtodactylus consobrinus	"West Malaysia, Terengganu, Lata Tembaka"	
5532	Cyrtodactylus consobrinus	"West Malaysia, Terengganu, Lata Tembaka"	
5533	Cyrtodactylus consobrinus	"West Malaysia, Terengganu, Lata Tembaka"	
5857	Cyrtodactylus consobrinus	"West Malaysia, Johor, Gunung Lembak"	
5951	Cyrtodactylus consobrinus	"West Malaysia, Terengganu, Hutan Lipur Sekayo"	
5974	Cyrtodactylus consobrinus	"West Malaysia, Terengganu, Hutan Lipur Sekayo"	
5362	Cyrtodactylus durio	"Malaysia, Kedah, Sungai Sedim"	
5363	Cyrtodactylus durio	"Malaysia, Kedah, Sungai Sedim"	
5364	Cyrtodactylus durio	"Malaysia, Kedah, Sungai Sedim"	
5365	Cyrtodactylus durio	"Malaysia, Kedah, Sungai Sedim"	
5366	Cyrtodactylus durio	"Malaysia, Kedah, Sungai Sedim"	
3051	Cyrtodactylus eismannii	"Vietnam, Hon Tre"	
3156	Cyrtodactylus eismannii	"Vietnam, Hon Son"	
3157	Cyrtodactylus eismannii	"Vietnam, Hon Son"	
3158	Cyrtodactylus eismannii	"Vietnam, Hon Son"	
19	Cyrtodactylus elok	"Malaysia, Pahang, Frasier's Hill"	
2292	Cyrtodactylus elok	"Malaysia, Trengganu, Gunung Lawit region"	
2293	Cyrtodactylus elok	"Malaysia, Trengganu, Gunung Lawit region"	
2294	Cyrtodactylus elok	"Malaysia, Trengganu, Gunung Lawit region"	
2295	Cyrtodactylus elok	"Malaysia, Trengganu, Gunung Lawit region"	
2296	Cyrtodactylus elok	"Malaysia, Trengganu, Gunung Lawit region"	
2297	Cyrtodactylus elok	"Malaysia, Trengganu, Gunung Lawit region"	
2299	Cyrtodactylus elok	"Malaysia, Pahang, Cameron Highlands"	
2587	Cyrtodactylus elok	"Malaysia, Pahang, Cameron Highlands"	
2588	Cyrtodactylus elok	"Malaysia, Pahang, Cameron Highlands"	
2589	Cyrtodactylus elok	"Malaysia, Pahang, Cameron Highlands"	
2590	Cyrtodactylus elok	"Malaysia, Pahang, Cameron Highlands"	
2591	Cyrtodactylus elok	"Malaysia, Pahang, Cameron Highlands"	
2592	Cyrtodactylus elok	"Malaysia, Pahang, Cameron Highlands"	
2593	Cyrtodactylus elok	"Malaysia, Pahang, Cameron Highlands"	
2594	Cyrtodactylus elok	"Malaysia, Pahang, Cameron Highlands"	
2595	Cyrtodactylus elok	"Malaysia, Pahang, Cameron Highlands"	
2596	Cyrtodactylus elok	"Malaysia, Pahang, Cameron Highlands"	
2597	Cyrtodactylus elok	"Malaysia, Pahang, Cameron Highlands"	
2598	Cyrtodactylus elok	"Malaysia, Pahang, Cameron Highlands"	
2599	Cyrtodactylus elok	"Malaysia, Pahang, Cameron Highlands"	
2600	Cyrtodactylus elok	"Malaysia, Pahang, Cameron Highlands"	
2601	Cyrtodactylus elok	"Malaysia, Pahang, Cameron Highlands"	
3108	Cyrtodactylus elok	West Malaysia. No data	
4040	Cyrtodactylus elok	"West Malaysia, Pahang, Fraser's Hill"	
4237	Cyrtodactylus elok	"West Malaysia, Negri Sembilan"	
4238	Cyrtodactylus elok	"West Malaysia, Negri Sembilan"	
4239	Cyrtodactylus elok	"West Malaysia, Negri Sembilan"	
4240	Cyrtodactylus elok	"West Malaysia, Negri Sembilan"	
5567	Cyrtodactylus elok	"West Malaysia, Kedah, Sungai Sedim"	
3159	Cyrtodactylus grismeri	"Vietnam, Tuc Dup Hill"	
3160	Cyrtodactylus grismeri	"Vietnam, Tuc Dup Hill"	
3161	Cyrtodactylus grismeri	"Vietnam, Tuc Dup Hill"	
3162	Cyrtodactylus grismeri	"Vietnam, Tuc Dup Hill"	
3163	Cyrtodactylus grismeri	"Vietnam, Tuc Dup Hill"	
5077	Cyrtodactylus Hon Khoai	"Vietnam, Hon Khoai Island"	
5078	Cyrtodactylus Hon Khoai	"Vietnam, Hon Khoai Island"	
3052	Cyrtodactylus hontreensis	"Vietnam, Hon Tre"	
3053	Cyrtodactylus hontreensis	"Vietnam, Hon Tre"	
3054	Cyrtodactylus hontreensis	"Vietnam, Hon Tre"	
3055	Cyrtodactylus hontreensis	"Vietnam, Hon Tre"	
3056	Cyrtodactylus hontreensis	"Vietnam, Hon Tre"	
3057	Cyrtodactylus hontreensis	"Vietnam, Hon Tre"	
3058	Cyrtodactylus hontreensis	"Vietnam, Hon Tre"	
3059	Cyrtodactylus hontreensis	"Vietnam, Hon Tre"	
3060	Cyrtodactylus hontreensis	"Vietnam, Hon Tre"	
3061	Cyrtodactylus hontreensis	"Vietnam, Hon Tre"	
3062	Cyrtodactylus hontreensis	"Vietnam, Hon Tre"	
3063	Cyrtodactylus hontreensis	"Vietnam, Hon Tre"	
3064	Cyrtodactylus hontreensis	"Vietnam, Hon Tre"	
3065	Cyrtodactylus hontreensis	"Vietnam, Hon Tre"	
3066	Cyrtodactylus hontreensis	"Vietnam, Hon Tre"	
3067	Cyrtodactylus hontreensis	"Vietnam, Hon Tre"	
