Cat. No.	Species	Locality	
8	Cyrtodactylus seribuatensis	"Malaysia, Johor, Pulau Nangka Kecil"	
1513	Cyrtodactylus seribuatensis	"Malaysia, Johor, Pulau Mentigi"	
1514	Cyrtodactylus seribuatensis	"Malaysia, Johor, Pulau Mentigi"	
1515	Cyrtodactylus seribuatensis	"Malaysia, Johor, Pulau Mentigi"	
1516	Cyrtodactylus seribuatensis	"Malaysia, Johor, Pulau Mentigi"	
1517	Cyrtodactylus seribuatensis	"Malaysia, Johor, Pulau Mentigi"	
1518	Cyrtodactylus seribuatensis	"Malaysia, Johor, Pulau Mentigi"	
2492	Cyrtodactylus sp.	"Vietnam, Dak Rong N.R. Quang Tri Province"	
2975	Cyrtodactylus sp.	"Vietnam, southern"	
3073	Cyrtodactylus sp.	"Vietnam, Hon Tre"	
3074	Cyrtodactylus sp.	"Vietnam, Hon Tre"	
3075	Cyrtodactylus sp.	"Vietnam, Hon Tre"	
3076	Cyrtodactylus sp.	"Vietnam, Hon Tre"	
3077	Cyrtodactylus sp.	"Vietnam, Hon Tre"	
3164	Cyrtodactylus sp.	"Vietnam, Hon Dat"	
3165	Cyrtodactylus sp.	"Vietnam, Hon Dat"	
3166	Cyrtodactylus sp.	"Vietnam, Hon Son"	
3167	Cyrtodactylus sp.	"Vietnam, Hon Son"	
3168	Cyrtodactylus sp.	"Vietnam, Hon Son"	
3169	Cyrtodactylus sp.	"Vietnam, Hon Son"	
3170	Cyrtodactylus sp.	"Vietnam, Hon Son"	
3171	Cyrtodactylus sp.	"Vietnam, Hon Son"	
3172	Cyrtodactylus sp.	"Vietnam, Hon Son"	
3173	Cyrtodactylus sp.	"Vietnam, Hon Son"	
3174	Cyrtodactylus sp.	"Vietnam, Hon Son"	
3175	Cyrtodactylus sp.	"Vietnam, Hon Son"	
3176	Cyrtodactylus sp.	"Vietnam, Hon Son"	
4016	Cyrtodactylus sp.	"Cambodia, Kampot Prov., Phnom Laang"	
4017	Cyrtodactylus sp.	"Cambodia, Kampot Prov., Phnom Laang"	
4018	Cyrtodactylus sp.	"Cambodia, Kampot Prov., Phnom Laang"	
4019	Cyrtodactylus sp.	"Cambodia, Kampot Prov., Phnom Laang"	
4020	Cyrtodactylus sp.	"Cambodia, Kampot Prov., Phnom Laang"	
4021	Cyrtodactylus sp.	"Cambodia, Kampot Prov., Phnom Laang"	
4110	Cyrtodactylus sp.	"Cambodia, Ratanakiri, Veal Thom, Virachey National Park"	
4131	Cyrtodactylus sp.	"Cambodia, Kampoy, Phnom Laang"	
4327	Cyrtodactylus sp.	"West Malaysia, Melaka"	
4328	Cyrtodactylus sp.	"West Malaysia, Melaka"	
4329	Cyrtodactylus sp.	"West Malaysia, Melaka"	
4330	Cyrtodactylus sp.	"West Malaysia, Melaka"	
4331	Cyrtodactylus sp.	"Perak, Pulau Jarak"	
5216	Cyrtodactylus sp.	"Thailand, Kanchanaburi, Sai Yok N.P."	
5217	Cyrtodactylus sp.	"Thailand, Kanchanaburi, Sai Yok N.P."	
6306	Cyrtodactylus sp.	"Vietnam, Ca Mu province, Hon Khoai"	
3267	Cyrtodactylus sp. 1	"Vietnam, Ta Ku"	
3274	Cyrtodactylus sp. 2	"Vietnam, Ta Ku"	
3275	Cyrtodactylus sp. 2	"Vietnam, Ta Ku"	
4925	Cyrtodactylus sp.1	"East Malaysia, Sarawak, Gua Angin"	
4926	Cyrtodactylus sp.1	"East Malaysia, Sarawak, Gua Angin"	
4927	Cyrtodactylus sp.1	"East Malaysia, Sarawak, Gua Angin"	
4928	Cyrtodactylus sp.1	"East Malaysia, Sarawak, Gua Angin"	
4929	Cyrtodactylus sp.1	"East Malaysia, Sarawak, Gua Angin"	
4930	Cyrtodactylus sp.1	"East Malaysia, Sarawak, Gua Angin"	
5707	Cyrtodactylus sp.1	"West Malaysia, Perlis, Perlis State Park"	
5708	Cyrtodactylus sp.1	"West Malaysia, Perlis, Perlis State Park"	
5709	Cyrtodactylus sp.1	"West Malaysia, Perlis, Perlis State Park"	
5710	Cyrtodactylus sp.1	"West Malaysia, Perlis, Perlis State Park"	
3499	Cyrtodactylus stessmani	"West Malaysia, Perak, Tapah"	
981	Cyrtodactylus sworderi	"Malaysia, Johor, Jemaluang"	
1320	Cyrtodactylus sworderi	"Malaysia, Johor, Endau-Rompin, Peta"	
1321	Cyrtodactylus sworderi	"Malaysia, Johor, Endau-Rompin, Peta"	
1322	Cyrtodactylus sworderi	"Malaysia, Johor, Endau-Rompin, Peta"	
1323	Cyrtodactylus sworderi	"Malaysia, Johor, Endau-Rompin, Peta"	
1324	Cyrtodactylus sworderi	"Malaysia, Johor, Endau-Rompin, Peta"	
1325	Cyrtodactylus sworderi	"Malaysia, Johor, Endau-Rompin, Peta"	
1326	Cyrtodactylus sworderi	"Malaysia, Johor, Endau-Rompin, Peta"	
1327	Cyrtodactylus sworderi	"Malaysia, Johor, Endau-Rompin, Peta"	
1328	Cyrtodactylus sworderi	"Malaysia, Johor, Endau-Rompin, Peta"	
1329	Cyrtodactylus sworderi	"Malaysia, Johor, Endau-Rompin, Peta"	
1330	Cyrtodactylus sworderi	"Malaysia, Johor, Endau-Rompin, Peta"	
1331	Cyrtodactylus sworderi	"Malaysia, Johor, Endau-Rompin, Peta"	
1332	Cyrtodactylus sworderi	"Malaysia, Johor, Endau-Rompin, Peta"	
1333	Cyrtodactylus sworderi	"Malaysia, Johor, Endau-Rompin, Peta"	
1334	Cyrtodactylus sworderi	"Malaysia, Johor, Endau-Rompin, Peta"	
1335	Cyrtodactylus sworderi	"Malaysia, Johor, Endau-Rompin, Peta"	
1336	Cyrtodactylus sworderi	"Malaysia, Johor, Endau-Rompin, Peta"	
5867	Cyrtodactylus sworderi	"West Malaysia, Johor, Kota Tinggi Waterfall"	
5870	Cyrtodactylus sworderi	"West Malaysia, Johor, Kota Tinggi Waterfall"	
5871	Cyrtodactylus sworderi	"West Malaysia, Johor, Kota Tinggi Waterfall"	
5872	Cyrtodactylus sworderi	"West Malaysia, Johor, Kota Tinggi Waterfall"	
5875	Cyrtodactylus sworderi	"West Malaysia, Johor, Kota Tinggi Waterfall"	
173	Cyrtodactylus tiomanensis	"Malaysia, Pahang, Pulau Tioman, Tekek-Juara taril"	
174	Cyrtodactylus tiomanensis	"Malaysia, Pahang, Pulau Tioman, Tekek-Juara taril"	
5599	Cyrtodactylus tiomanensis	"West Malaysia, Pahang, Pulau Tioman"	
5602	Cyrtodactylus tiomanensis	"West Malaysia, Pahang, Pulau Tioman"	
5603	Cyrtodactylus tiomanensis	"West Malaysia, Pahang, Pulau Tioman"	
5604	Cyrtodactylus tiomanensis	"West Malaysia, Pahang, Pulau Tioman"	
5605	Cyrtodactylus tiomanensis	"West Malaysia, Pahang, Pulau Tioman"	
5606	Cyrtodactylus tiomanensis	"West Malaysia, Pahang, Pulau Tioman"	
5608	Cyrtodactylus tiomanensis	"West Malaysia, Pahang, Pulau Tioman"	
5609	Cyrtodactylus tiomanensis	"West Malaysia, Pahang, Pulau Tioman"	
5610	Cyrtodactylus tiomanensis	"West Malaysia, Pahang, Pulau Tioman"	
5617	Cyrtodactylus tiomanensis	"West Malaysia, Pahang, Pulau Tioman"	
5618	Cyrtodactylus tiomanensis	"West Malaysia, Pahang, Pulau Tioman"	
5619	Cyrtodactylus tiomanensis	"West Malaysia, Pahang, Pulau Tioman"	
5620	Cyrtodactylus tiomanensis	"West Malaysia, Pahang, Pulau Tioman"	
5621	Cyrtodactylus tiomanensis	"West Malaysia, Pahang, Pulau Tioman"	
5630	Cyrtodactylus tiomanensis	"West Malaysia, Pahang, Pulau Tioman"	
5631	Cyrtodactylus tiomanensis	"West Malaysia, Pahang, Pulau Tioman"	
5632	Cyrtodactylus tiomanensis	"West Malaysia, Pahang, Pulau Tioman"	
5633	Cyrtodactylus tiomanensis	"West Malaysia, Pahang, Pulau Tioman"	
4996	Gekko cf gecko	"West Malaysia, Perlis, Wang Kelian"	
4588	Gekko cf. smithii	"West Malaysia, Pahang, Cameron Highlands"	
4589	Gekko cf. smithii	"West Malaysia, Pahang, Cameron Highlands"	
568	Gekko gecko	"Malaysia, Kedah, Pulau Langkawi, Lubuk Semilang"	
569	Gekko gecko	"Malaysia, Kedah, Pulau Langkawi, Lubuk Semilang"	
570	Gekko gecko	"Malaysia, Kedah, Pulau Langkawi, Lubuk Semilang"	
606	Gekko gecko	"Malaysia, Kedah, Pulau Langkawi, Telaga Tuju"	
607	Gekko gecko	"Malaysia, Kedah, Pulau Langkawi, Telaga Tuju"	
608	Gekko gecko	"Malaysia, Kedah, Pulau Langkawi, Telaga Tuju"	
609	Gekko gecko	"Malaysia, Kedah, Pulau Langkawi, Telaga Tuju"	
610	Gekko gecko	"Malaysia, Kedah, Pulau Langkawi, Telaga Tuju"	
2142	Gekko gecko	"Malaysia, Kedah, Pulau Langkawi, Lubuk Sembilan"	
2143	Gekko gecko	"Malaysia, Kedah, Pulau Langkawi, Lubuk Sembilan"	
2144	Gekko gecko	"Malaysia, Kedah, Pulau Langkawi, Lubuk Sembilan"	
2145	Gekko gecko	"Malaysia, Kedah, Pulau Langkawi, Lubuk Sembilan"	
2146	Gekko gecko	"Malaysia, Kedah, Pulau Langkawi, Lubuk Sembilan"	
2147	Gekko gecko	"Malaysia, Kedah, Pulau Langkawi, Lubuk Sembilan"	
2148	Gekko gecko	"Malaysia, Kedah, Pulau Langkawi, Lubuk Sembilan"	
2149	Gekko gecko	"Malaysia, Kedah, Pulau Langkawi, Lubuk Sembilan"	
3086	Gekko gecko	"Vietnam, Hon Tre"	
3087	Gekko gecko	"Vietnam, Hon Tre"	
3088	Gekko gecko	"Vietnam, Hon Tre"	
3431	Gekko gecko	"West Malaysia, Kedah, Pulau Langkawi"	
3432	Gekko gecko	"West Malaysia, Kedah, Pulau Langkawi"	
3433	Gekko gecko	"West Malaysia, Kedah, Pulau Langkawi"	
3434	Gekko gecko	"West Malaysia, Kedah, Pulau Langkawi"	
3435	Gekko gecko	"West Malaysia, Kedah, Pulau Langkawi"	
3436	Gekko gecko	"West Malaysia, Kedah, Pulau Langkawi"	
3437	Gekko gecko	"West Malaysia, Kedah, Pulau Langkawi"	
3438	Gekko gecko	"West Malaysia, Kedah, Pulau Langkawi"	
4263	Gekko gecko	"West Malaysia, Perlis, Kuala Perlis"	
4264	Gekko gecko	"West Malaysia, Perlis, Kuala Perlis"	
4265	Gekko gecko	"West Malaysia, Perlis, Kuala Perlis"	
4266	Gekko gecko	"West Malaysia, Perlis, Kuala Perlis"	
4267	Gekko gecko	"West Malaysia, Perlis, Kuala Perlis"	
4268	Gekko gecko	"West Malaysia, Perlis, Kuala Perlis"	
4269	Gekko gecko	"West Malaysia, Perlis, Kuala Perlis"	
4744	Gekko gecko	"West Malaysia, Kedah, Pulau Langkawi"	
4745	Gekko gecko	"West Malaysia, Kedah, Pulau Langkawi"	
4746	Gekko gecko	"West Malaysia, Kedah, Pulau Langkawi"	
4747	Gekko gecko	"West Malaysia, Kedah, Pulau Langkawi"	
4748	Gekko gecko	"West Malaysia, Kedah, Pulau Langkawi"	
4749	Gekko gecko	"West Malaysia, Kedah, Pulau Langkawi"	
4750	Gekko gecko	"West Malaysia, Kedah, Pulau Langkawi"	
4751	Gekko gecko	"West Malaysia, Kedah, Pulau Langkawi"	
4752	Gekko gecko	"West Malaysia, Kedah, Pulau Langkawi"	
5004	Gekko gecko	"West Malaysia, Perlis, Kuala Perlis"	
5005	Gekko gecko	"West Malaysia, Perlis, Kuala Perlis"	
5090	Gekko gecko	"Vietnam, Hon Khoai Island"	
6103	Gekko gecko	"Cambodia, Pursat Province, Pramouy"	
6340	Gekko gecko	"Cambodia, Koh Rong"	
175	Gekko monarchus	"Malaysia, Pahang, Pulau Tioman, Tekek-Juara taril"	
233	Gekko monarchus	"Malaysia, Johor, Pulau Mertang Timur"	
234	Gekko monarchus	"Malaysia, Johor, Pulau Mertang Timur"	
235	Gekko monarchus	"Malaysia, Johor, Pulau Mertang Timur"	
236	Gekko monarchus	"Malaysia, Johor, Pulau Mertang Timur"	
237	Gekko monarchus	"Malaysia, Johor, Pulau Mertang Timur"	
238	Gekko monarchus	"Malaysia, Johor, Pulau Mertang Timur"	
239	Gekko monarchus	"Malaysia, Johor, Pulau Mertang Timur"	
240	Gekko monarchus	"Malaysia, Johor, Pulau Mertang Timur"	
866	Gekko monarchus	"Malaysia, Sabah, Pulau Sipadan`"	
1019	Gekko monarchus	"Malaysia, Johor, Pulau Aur, Kampung Berhala"	
1020	Gekko monarchus	"Malaysia, Johor, Pulau Aur, Kampung Berhala"	
1021	Gekko monarchus	"Malaysia, Johor, Pulau Aur, Kampung Berhala"	
1022	Gekko monarchus	"Malaysia, Pahang, Pulau Tioman, Tekek-Juara Trail"	
1637	Gekko monarchus		
2657	Gekko monarchus	"Malaysia, Johor, Pulau Pemanggil"	
4185	Gekko monarchus	"West Malaysia, Kelantan, Gua Musong"	
4186	Gekko monarchus	"West Malaysia, Kelantan, Gua Musong"	
4490	Gekko monarchus	"West Malaysia, Johor, Bunker Trail"	
4491	Gekko monarchus	"West Malaysia, Johor, Bunker Trail"	
4492	Gekko monarchus	"West Malaysia, Johor, Bunker Trail"	
4493	Gekko monarchus	"West Malaysia, Johor, Bunker Trail"	
4951	Gekko monarchus	"East Malaysia, Sarawak, Gunung Gading"	
4952	Gekko monarchus	"East Malaysia, Sarawak, Gunung Gading"	
5607	Gekko monarchus	"West Malaysia, Pahang, Pulau Tioman"	
3223	Gekko palmatus	"Vietnam, Tom Dao"	
3224	Gekko palmatus	"Vietnam, Tom Dao"	
3225	Gekko palmatus	"Vietnam, Tom Dao"	
4093	Gekko scientiadventura	Vietnam	
66	Gekko smithii	"West Malaysia, Terengganu, Pulau Perhentian Besar"	
183	Gekko smithii	"Malaysia, Pahang, Pulau Tioman, Tekek-Juara taril"	
184	Gekko smithii	"Malaysia, Pahang, Pulau Tioman, Tekek-Juara taril"	
185	Gekko smithii	"Malaysia, Pahang, Pulau Tioman, Tekek-Juara taril"	
186	Gekko smithii	"Malaysia, Pahang, Pulau Tioman, Tekek-Juara taril"	
1023	Gekko smithii	"Malaysia, Johor, Pulau Tulai"	
1024	Gekko smithii	"Malaysia, Johor, Pulau Tulai"	
1025	Gekko smithii	"Malaysia, Johor, Pulau Tulai"	
1026	Gekko smithii	"Malaysia, Johor, Pulau Tulai"	
1358	Gekko smithii	"Malaysia, Johor, Endau-Rompin, Peta"	
4270	Gekko smithii	"West Malaysia, Trengganu, Pulau Perhentian Besar"	
4271	Gekko smithii	"West Malaysia, Trengganu, Pulau Perhentian Besar"	
4812	Gekko smithii	"West Malaysia, Pahang, Tasik Chini"	
4813	Gekko smithii	"West Malaysia, Pahang, Tasik Chini"	
4814	Gekko smithii	"West Malaysia, Pahang, Tasik Chini"	
4815	Gekko smithii	"West Malaysia, Pahang, Tasik Chini"	
4816	Gekko smithii	"West Malaysia, Pahang, Tasik Chini"	
4817	Gekko smithii	"West Malaysia, Pahang, Tasik Chini"	
4959	Gekko smithii	"West Malaysia, Perak, Pulau Pangkor"	
5161	Gekko smithii	"West Malaysia, Terengganu, Pulau Perhentian Besar"	
5162	Gekko smithii	"West Malaysia, Terengganu, Pulau Perhentian Besar"	
5163	Gekko smithii	"West Malaysia, Terengganu, Pulau Perhentian Besar"	
5164	Gekko smithii	"West Malaysia, Terengganu, Pulau Perhentian Besar"	
5165	Gekko smithii	"West Malaysia, Terengganu, Pulau Perhentian Besar"	
5873	Gekko smithii	"West Malaysia, Johor, Kota Tinggi Waterfall"	
5874	Gekko smithii	"West Malaysia, Johor, Kota Tinggi Waterfall"	
5945	Gekko smithii	"West Malaysia, Perlis, Perlis State Park"	
5993	Gekko smithii	"West Malaysia, Perlis, Perlis State Park"	
2916	Gekko sp.	"Vietnam, Ninh Thaun, Can Na"	
2917	Gekko sp.	"Vietnam, Ninh Thaun, Can Na"	
2918	Gekko sp.	"Vietnam, Ninh Thaun, Can Na"	
2919	Gekko sp.	"Vietnam, Ninh Thaun, Can Na"	
2920	Gekko sp.	"Vietnam, Ninh Thaun, Can Na"	
2921	Gekko sp.	"Vietnam, Ninh Thaun, Can Na"	
2922	Gekko sp.	"Vietnam, Ninh Thaun, Can Na"	
2923	Gekko sp.	"Vietnam, Ninh Thaun, Can Na"	
2924	Gekko sp.	"Vietnam, Ninh Thaun, Can Na"	
2925	Gekko sp.	"Vietnam, Ninh Thaun, Can Na"	
2926	Gekko sp.	"Vietnam, Ninh Thaun, Can Na"	
2927	Gekko sp.	"Vietnam, Ninh Thaun, Can Na"	
2928	Gekko sp.	"Vietnam, Ninh Thaun, Can Na"	
2929	Gekko sp.	"Vietnam, Ninh Thaun, Can Na"	
2930	Gekko sp.	"Vietnam, Ninh Thaun, Can Na"	
2931	Gekko sp.	"Vietnam, Ninh Thaun, Can Na"	
2932	Gekko sp.	"Vietnam, Ninh Thaun, Can Na"	
2933	Gekko sp.	"Vietnam, Ninh Thaun, Can Na"	
2934	Gekko sp.	"Vietnam, Ninh Thaun, Can Na"	
3226	Gekko sp.	"Vietnam, Nu Bai?"	
3227	Gekko sp.	"Vietnam, Nu Bai?"	
3228	Gekko sp.	"Vietnam, Nu Bai?"	
3229	Gekko sp.	"Vietnam, Nu Bai?"	
3230	Gekko sp.	"Vietnam, Nu Bai?"	
3231	Gekko sp.	"Vietnam, Nu Bai?"	
3268	Gekko sp. A	"Vietnam, Ta Ku"	
3269	Gekko sp. A	"Vietnam, Ta Ku"	
3270	Gekko sp. A	"Vietnam, Ta Ku"	
3271	Gekko sp. A	"Vietnam, Ta Ku"	
3272	Gekko sp. A	"Vietnam, Ta Ku"	
3273	Gekko sp. A	"Vietnam, Ta Ku"	
3331	Gekko sp. A	"Vietnam, Ta Ku"	
3277	Gekko sp. B	"Vietnam, Ca Na"	
3282	Gekko sp. B	"Vietnam, Ca Na"	
3283	Gekko sp. B	"Vietnam, Ca Na"	
3284	Gekko sp. B	"Vietnam, Ca Na"	
3285	Gekko sp. B	"Vietnam, Ca Na"	
3286	Gekko sp. B	"Vietnam, Ca Na"	
3287	Gekko sp. B	"Vietnam, Ca Na"	
3288	Gekko sp. B	"Vietnam, Ca Na"	
3289	Gekko sp. B	"Vietnam, Ca Na"	
3290	Gekko sp. B	"Vietnam, Ca Na"	
3291	Gekko sp. B	"Vietnam, Ca Na"	
3292	Gekko sp. B	"Vietnam, Ca Na"	
3293	Gekko sp. B	"Vietnam, Ca Na"	
3294	Gekko sp. B	"Vietnam, Ca Na"	
3295	Gekko sp. B	"Vietnam, Ca Na"	
3296	Gekko sp. B	"Vietnam, Ca Na"	
3297	Gekko sp. B	"Vietnam, Ca Na"	
3298	Gekko sp. B	"Vietnam, Ca Na"	
3304	Gekko sp. B	"Vietnam, Ca Na"	
3309	Gekko sp. B	"Vietnam, Ca Na"	
3177	Gekko tucdupensis	"Vietnam, Tuc Dup Hill"	
3178	Gekko tucdupensis	"Vietnam, Tuc Dup Hill"	
4161	Ptychozoon horsfieldii	"West Malaysia, Pahang, Genting Highlands"	
4162	Ptychozoon horsfieldii	"West Malaysia, Pahang, Genting Highlands"	
5025	Ptychozoon horsfieldii	"West Malaysia, Pahang, Cameron Highlands"	
6189	Ptychozoon horsfieldii	"East Malaysia, Sarawak, Lambir"	
6280	Ptychozoon horsfieldii	"Malaysia, Pahang, Cameron Highlands"	
434	Ptychozoon kuhli	"Malaysia, Sarawak, Matang"	
435	Ptychozoon kuhli	"Malaysia, Sarawak, Matang"	
436	Ptychozoon kuhli	"Malaysia, Sarawak, Matang"	
437	Ptychozoon kuhli	"Malaysia, Sarawak, Matang"	
615	Ptychozoon kuhli	"Malaysia, Kedah, Pulau Langkawi, Telaga Tuju"	
616	Ptychozoon kuhli	"Malaysia, Kedah, Pulau Langkawi, Telaga Tuju"	
617	Ptychozoon kuhli	"Malaysia, Kedah, Pulau Langkawi, Telaga Tuju"	
618	Ptychozoon kuhli	"Malaysia, Kedah, Pulau Langkawi, Telaga Tuju"	
619	Ptychozoon kuhli	"Malaysia, Kedah, Pulau Langkawi, Telaga Tuju"	
620	Ptychozoon kuhli	"Malaysia, Kedah, Pulau Langkawi, Telaga Tuju"	
621	Ptychozoon kuhli	"Malaysia, Kedah, Pulau Langkawi, Telaga Tuju"	
622	Ptychozoon kuhli	"Malaysia, Kedah, Pulau Langkawi, Telaga Tuju"	
623	Ptychozoon kuhli	"Malaysia, Kedah, Pulau Langkawi, Telaga Tuju"	
624	Ptychozoon kuhli	"Malaysia, Kedah, Pulau Langkawi, Telaga Tuju"	
625	Ptychozoon kuhli	"Malaysia, Kedah, Pulau Langkawi, Telaga Tuju"	
626	Ptychozoon kuhli	"Malaysia, Kedah, Pulau Langkawi, Telaga Tuju"	
2154	Ptychozoon kuhli	"Malaysia, Kedah, Pulau Langkawi, Tuju Telaga"	
2155	Ptychozoon kuhli	"Malaysia, Kedah, Pulau Langkawi, Tuju Telaga"	
2156	Ptychozoon kuhli	"Malaysia, Kedah, Pulau Langkawi, Tuju Telaga"	
2157	Ptychozoon kuhli	"Malaysia, Kedah, Pulau Langkawi, Tuju Telaga"	
2158	Ptychozoon kuhli	"Malaysia, Kedah, Pulau Langkawi, Tuju Telaga"	
2159	Ptychozoon kuhli	"Malaysia, Kedah, Pulau Langkawi, Tuju Telaga"	
2160	Ptychozoon kuhli	"Malaysia, Kedah, Pulau Langkawi, Tuju Telaga"	
2161	Ptychozoon kuhli	"Malaysia, Kedah, Pulau Langkawi, Tuju Telaga"	
2162	Ptychozoon kuhli	"Malaysia, Kedah, Pulau Langkawi, Tuju Telaga"	
2163	Ptychozoon kuhli	"Malaysia, Kedah, Pulau Langkawi, Tuju Telaga"	
2164	Ptychozoon kuhli	"Malaysia, Kedah, Pulau Langkawi, Tuju Telaga"	
3443	Ptychozoon kuhli	"West Malaysia, Kedah, Pulau Langkawi"	
3444	Ptychozoon kuhli	"West Malaysia, Kedah, Pulau Langkawi"	
3445	Ptychozoon kuhli	"West Malaysia, Kedah, Pulau Langkawi"	
3446	Ptychozoon kuhli	"West Malaysia, Kedah, Pulau Langkawi"	
3447	Ptychozoon kuhli	"West Malaysia, Kedah, Pulau Langkawi"	
3448	Ptychozoon kuhli	"West Malaysia, Kedah, Pulau Langkawi"	
3449	Ptychozoon kuhli	"West Malaysia, Kedah, Pulau Langkawi"	
3450	Ptychozoon kuhli	"West Malaysia, Kedah, Pulau Langkawi"	
3451	Ptychozoon kuhli	"West Malaysia, Kedah, Pulau Langkawi"	
3452	Ptychozoon kuhli	"West Malaysia, Kedah, Pulau Langkawi"	
3453	Ptychozoon kuhli	"West Malaysia, Kedah, Pulau Langkawi"	
3454	Ptychozoon kuhli	"West Malaysia, Kedah, Pulau Langkawi"	
3504	Ptychozoon kuhli	"West Malaysia, Trengganu, Perhentian Besar"	
4308	Ptychozoon kuhli	"West Malaysia, Trengganu, Pulau Perhentian Besar"	
4953	Ptychozoon kuhli	"West Malaysia, Perak, Pulau Pangkor"	
5152	Ptychozoon kuhli	"West Malaysia, Terengganu, Pulau Perhentian Besar"	
5153	Ptychozoon kuhli	"West Malaysia, Terengganu, Pulau Perhentian Besar"	
5559	Ptychozoon kuhli	"West Malaysia, Terengganu, Lata Tembaka"	
5571	Ptychozoon kuhli	"West Malaysia, Perak, Ulu Geroh, Gopeng"	
5572	Ptychozoon kuhli	"West Malaysia, Perak, Ulu Geroh, Gopeng"	
5946	Ptychozoon kuhli	"West Malaysia, Terengganu, Hutan Lipur Sekayo"	
5947	Ptychozoon kuhli	"West Malaysia, Terengganu, Hutan Lipur Sekayo"	
6008	Ptychozoon kuhli	"West Malaysia, Terengganu, Hutan Lipur Sekayo"	
6009	Ptychozoon kuhli	"West Malaysia, Terengganu, Hutan Lipur Sekayo"	
6176	Ptychozoon kuhli	"West Malaysia, Selangor, Ulu Gombak"	
6182	Ptychozoon kuhli	"West Malaysia, Pahang, Pulau Tioman"	
6184	Ptychozoon kuhli	"West Malaysia, Pahang, Pulau Tioman"	
1	Ptychozoon lionotum	"Malaysia, Pahang, Pulau Tioman, Tekek-Juara taril"	
2	Ptychozoon lionotum	"Malaysia, Pahang, Pulau Tioman, Tekek-Juara taril"	
3207	Ptychozoon lionotum	"West Malaysia, Pahang, Cameron Highlands"	
3505	Ptychozoon lionotum	"West Malaysia, Trengganu, Perhentian Besar"	
4293	Ptychozoon lionotum	"West Malaysia, Trengganu, Pulau Perhentian Besar"	
4294	Ptychozoon lionotum	"West Malaysia, Trengganu, Pulau Perhentian Besar"	
4295	Ptychozoon lionotum	"West Malaysia, Trengganu, Pulau Perhentian Besar"	
4549	Ptychozoon lionotum	"West Malaysia, Terengganu, Pulau Perhentian Besar"	
4550	Ptychozoon lionotum	"West Malaysia, Terengganu, Pulau Perhentian Besar"	
5150	Ptychozoon lionotum	"West Malaysia, Terengganu, Pulau Redang"	
5151	Ptychozoon lionotum	"West Malaysia, Terengganu, Pulau Redang"	
5741	Ptychozoon lionotum	"West Malaysia, Penang, Pulau Pinang, above Botanical Gardens"	
5742	Ptychozoon lionotum	"West Malaysia, Penang, Pulau Pinang, above Botanical Gardens"	
5743	Ptychozoon lionotum	"West Malaysia, Penang, Pulau Pinang, above Botanical Gardens"	
5744	Ptychozoon lionotum	"West Malaysia, Penang, Pulau Pinang, above Botanical Gardens"	
6192	Ptychozoon lionotum	"West Malaysia, Johor, Pulau Sibu"	
1970	Ptychozoon sp.	"Indonesia, Pulau Jumpea"	
3356	Luperosaurus browni	"West Malaysia, Selangor, Tapah"	
3357	Luperosaurus browni	"West Malaysia, Selangor, Tapah"	
3358	Luperosaurus browni	"West Malaysia, Selangor, Tapah"	
3359	Luperosaurus browni	"West Malaysia, Selangor, Tapah"	
3360	Luperosaurus browni	"West Malaysia, Selangor, Tapah"	
3361	Luperosaurus browni	"West Malaysia, Selangor, Tapah"	
3362	Luperosaurus browni	"West Malaysia, Selangor, Tapah"	
3363	Luperosaurus browni	"West Malaysia, Selangor, Tapah"	
3364	Luperosaurus browni	"West Malaysia, Selangor, Tapah"	
3365	Luperosaurus browni	"West Malaysia, Selangor, Tapah"	
3366	Luperosaurus browni	"West Malaysia, Selangor, Tapah"	
3367	Luperosaurus browni	"West Malaysia, Selangor, Tapah"	
3368	Luperosaurus browni	"West Malaysia, Selangor, Tapah"	
3369	Luperosaurus browni	"West Malaysia, Selangor, Tapah"	
3370	Luperosaurus browni	"West Malaysia, Selangor, Tapah"	
4597	Luperosaurus browni	"West Malaysia, Pahang, Cameron Highlands"	
4598	Luperosaurus browni	"West Malaysia, Pahang, Cameron Highlands"	
4630	Luperosaurus browni	"West Malaysia, Pahang, Cameron Highlands"	
