field_series	field_number	catalog_series	catalog_number	genus	epithet	country	island	paic	locality	lat	long	tissue	extract	date	source
RMB	11229	KU	319651	Cyrtodactylus	annulatus	Philippines	Mindanao	Mindanao	"Zamboanga City ""Province""; Municipality of Pasonanca; Pasonanca Natural Park, Barangay La Paz, Sitio Nancy"	7.085	122.027	V-317-G9	False	2009-04-03	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	11302	KU	319653	Cyrtodactylus	annulatus	Philippines	Mindanao	Mindanao	"Zamboanga City ""Province""; Municipality of Pasonanca; Pasonanca Natural Park, Barangay La Paz, Sitio Nancy"	7.085	122.027	V-318-G1	False	2009-04-05	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	11309	KU	319659	Cyrtodactylus	annulatus	Philippines	Mindanao	Mindanao	"Zamboanga City ""Province""; Municipality of Pasonanca; Pasonanca Natural Park, Barangay La Paz, Sitio Nancy"	7.085	122.027	V-318-G8	False	2009-04-05	ku_gekkonid_tissues.txt
RMB	11714	KU	319845	Cyrtodactylus	annulatus	Philippines	Mindanao	Mindanao	"Zamboanga City ""Province""; Municipality of Pasonanca; Pasonanca Natural Park, Tumaga River"	6.9922333	122.0604333	V-323-H2	False	2009-04-11	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	7716			Cyrtodactylus	annulatus	Philippines	Palawan		Mainit			M-190-G5	False		ku_freezer.txt
RMB	7718			Cyrtodactylus	annulatus	Philippines	Palawan		Mainit			M-190-G7	False		ku_freezer.txt
RMB	7719			Cyrtodactylus	annulatus	Philippines	Palawan		Mainit			M-190-G8	False		ku_freezer.txt
RMB	7720			Cyrtodactylus	annulatus	Philippines	Palawan		Mainit			M-190-G9	False		ku_freezer.txt
RMB	7722			Cyrtodactylus	annulatus	Philippines	Palawan		Mainit			M-190-H2	False		ku_freezer.txt
RMB	7724			Cyrtodactylus	annulatus	Philippines	Palawan		Mainit			M-190-H4	False		ku_freezer.txt
RMB	7725			Cyrtodactylus	annulatus	Philippines	Palawan		Mainit			M-190-H5	False		ku_freezer.txt
NOID	1			Cyrtodactylus	baluensis	Malaysia	Borneo		Sabah			R-259-I4	False		ku_freezer.txt
NOID	2			Cyrtodactylus	baluensis	Malaysia	Borneo		Sabah			R-259-I5	False		ku_freezer.txt
NOID				Cyrtodactylus	baluensis	Malaysia	Borneo		Sabah			R-259-I3	False		ku_freezer.txt
SP	6891			Cyrtodactylus	baluensis	Malaysia	Kinabalu		Mt. Kinabalu Park; Kinabalu headquarters; ; CDS3506			R-270-A8	False		ku_freezer.txt
SP	6892			Cyrtodactylus	baluensis	Malaysia	Kinabalu		Mt. Kinabalu Park; Kinabalu headquarters; ; CDS3507			R-270-A9	True		ku_freezer.txt/gekkonid_lab_work.txt
SP	6906			Cyrtodactylus	baluensis	Malaysia	Kinabalu		Mt. Kinabalu Park; Kinabalu headquarters; ; CDS3539			R-270-B1	True		ku_freezer.txt/gekkonid_lab_work.txt
RMB	8931	KU	326520	Cyrtodactylus	gubaot	Philippines	Leyte	Mindanao	Leyte Province; Municipality of Baybay; Visayas State University Campus	10.7451667	124.8042833	R-263-H1	False	2008-04-16	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	8932	KU	326521	Cyrtodactylus	gubaot	Philippines	Leyte	Mindanao	Leyte Province; Municipality of Baybay; Visayas State University Campus	10.7451667	124.8042833	R-263-H2	False	2008-04-16	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	8933	KU	326522	Cyrtodactylus	gubaot	Philippines	Leyte	Mindanao	Leyte Province; Municipality of Baybay; Visayas State University Campus	10.7451667	124.8042833	R-263-H3	False	2008-04-16	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	8934	KU	326523	Cyrtodactylus	gubaot	Philippines	Leyte	Mindanao	Leyte Province; Municipality of Baybay; Visayas State University Campus	10.7451667	124.8042833	R-263-H4	False	2008-04-16	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	8935	KU	326524	Cyrtodactylus	gubaot	Philippines	Leyte	Mindanao	Leyte Province; Municipality of Baybay; Visayas State University Campus	10.7451667	124.8042833	R-263-H5	False	2008-04-16	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	8936	KU	326525	Cyrtodactylus	gubaot	Philippines	Leyte	Mindanao	Leyte Province; Municipality of Baybay; Visayas State University Campus	10.7451667	124.8042833	R-263-H6	False	2008-04-16	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	8937	KU	326526	Cyrtodactylus	gubaot	Philippines	Leyte	Mindanao	Leyte Province; Municipality of Baybay; Visayas State University Campus	10.7451667	124.8042833	R-263-H7	False	2008-04-16	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	11591	KU	319657	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao	"Zamboanga City ""Province""; Municipality of Pasonanca; Pasonanca Natural Park, Barangay Tulosa, Sitio Santa Clara, Cabo Negro Outpost"	7.108	122.119	V-322-C5	False	2009-04-08	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	11670	KU	319844	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao	"Zamboanga City ""Province""; Municipality of Pasonanca; Pasonanca Natural Park, Barangay Tulosa, Sitio Santa Clara, Cabo Negro Outpost"	7.108	122.119	V-323-C3	False	2009-04-09	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	9207	KU	314807	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao	"Zamboanga City ""Province""; Municipality of Pasonanca; Pasonanca Natural Park, Tumaga River"	6.9922333	122.0604333	S-284-H8	False	2008-07-09	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	9223	KU	314836	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao	"Zamboanga City ""Province""; Municipality of Pasonanca; Pasonanca Natural Park, Tumaga River"	6.9922333	122.0604333	S-285-A3	False	2008-07-11	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	11712	KU	319658	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao	"Zamboanga City ""Province""; Municipality of Pasonanca; Pasonanca Natural Park, Tumaga River"	6.9922333	122.0604333	V-323-G9	False	2009-04-11	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	11745	KU	319660	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao	"Zamboanga City ""Province""; Municipality of Pasonanca; Pasonanca Natural Park, Tumaga River"	6.9922333	122.0604333	V-324-B5	False	2009-04-10	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	11746	KU	319661	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao	"Zamboanga City ""Province""; Municipality of Pasonanca; Pasonanca Natural Park, Tumaga River"	6.9922333	122.0604333	V-324-B6	False	2009-04-10	ku_freezer.txt/ku_gekkonid_tissues.txt
