field_series	field_number	catalog_series	catalog_number	genus	epithet	country	island	paic	locality	lat	long	tissue	extract	date	source
RMB	14955	KU	330190	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Cagayan Province; Municipality of Gonzaga; Barangay Magrafil, Site 2, Mt. Cagua	18.236	122.104	AB-413-D2	False	2011-07-20	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	14956	KU	330191	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Cagayan Province; Municipality of Gonzaga; Barangay Magrafil, Site 2, Mt. Cagua	18.236	122.104	AB-413-D3	False	2011-07-20	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	15052	KU	330192	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Cagayan Province; Municipality of Gonzaga; Barangay Magrafil, Site 2, Mt. Cagua	18.236	122.104	AB-414-E8	False	2011-07-21	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	15053	KU	330193	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Cagayan Province; Municipality of Gonzaga; Barangay Magrafil, Site 2, Mt. Cagua	18.236	122.104	AB-414-E9	False	2011-07-21	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	15119	KU	330195	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Cagayan Province; Municipality of Gonzaga; Barangay Magrafil, Site 2, Mt. Cagua	18.236	122.104	AB-415-C8	False	2011-07-26	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	15211	KU	330196	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Cagayan Province; Municipality of Gonzaga; Barangay Magrafil, Site 2, Mt. Cagua	18.236	122.104	AB-416-E4	False	2011-07-28	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	15212	KU	330197	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Cagayan Province; Municipality of Gonzaga; Barangay Magrafil, Site 2, Mt. Cagua	18.236	122.104	AB-416-E5	False	2011-07-28	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	9693	KU	313815	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Camarines Norte Province; Municipality of Labo; Barangay Tulay Na Lupa, Mt. Labo camp 1	14.02381	122.47294	S-272-G1	False	2008-06-23	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	9739	KU	313817	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Camarines Norte Province; Municipality of Labo; Barangay Tulay Na Lupa, Mt. Labo camp 1	14.02381	122.47294	S-273-C2	False	2008-06-24	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	9740	KU	313818	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Camarines Norte Province; Municipality of Labo; Barangay Tulay Na Lupa, Mt. Labo camp 1	14.02381	122.47294	S-273-C3	False	2008-06-24	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	9745	KU	313819	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Camarines Norte Province; Municipality of Labo; Barangay Tulay Na Lupa, Mt. Labo camp 1	14.02381	122.47294	S-273-C8	False	2008-06-25	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	9748	KU	313820	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Camarines Norte Province; Municipality of Labo; Barangay Tulay Na Lupa, Mt. Labo camp 1	14.02381	122.47294	S-273-D2	False	2008-06-24	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	9749	KU	313821	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Camarines Norte Province; Municipality of Labo; Barangay Tulay Na Lupa, Mt. Labo camp 1	14.02381	122.47294	S-273-D3	False	2008-06-24	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	14180	KU	329530	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Ilocos Norte Province; Municipality of Adams; Barangay Adams, Site 1, Mt. Pao	-18.438	120.878	AA-403-G6	False	2011-06-18	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	14248	KU	329531	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Ilocos Norte Province; Municipality of Adams; Barangay Adams, Site 1, Mt. Pao	-18.438	120.878	AA-404-F1	False	2011-06-19	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	14249	KU	329532	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Ilocos Norte Province; Municipality of Adams; Barangay Adams, Site 1, Mt. Pao	-18.438	120.878	AA-404-F2	False	2011-06-19	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	14310	KU	329533	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Ilocos Norte Province; Municipality of Adams; Barangay Adams, Site 1, Mt. Pao	-18.438	120.878	AA-405-C9	False	2011-06-20	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	14453	KU	329534	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Ilocos Norte Province; Municipality of Adams; Barangay Adams, Site 3, Mt. Pao	-18.449	120.894	AB-407-A9	False	2011-06-27	ku_freezer.txt/ku_gekkonid_tissues.txt
CDS	5627	KU	330794	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Laguna Province; Municipality of Los Banos; Barangay Bagong Silang, Mt. Makiling Forest Reserve, Camp Malaboo	14.13356	121.20447	AA-396-A6	False	2011-05-08	ku_freezer.txt/ku_gekkonid_tissues.txt
CDS	5686	KU	330795	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Laguna Province; Municipality of Los Banos; Barangay Bagong Silang, Mt. Makiling Forest Reserve, Camp Malaboo	14.13356	121.20447	AA-396-H2	False	2011-05-09	ku_freezer.txt/ku_gekkonid_tissues.txt
CDS	5724	KU	331667	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Laguna Province; Municipality of Los Banos; Barangay Bagong Silang, Mt. Makiling Forest Reserve, Camp Malaboo	14.13356	121.20447	AA-397-C5	False	2011-05-09	ku_freezer.txt/ku_gekkonid_tissues.txt
CDS	5727	KU	330796	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Laguna Province; Municipality of Los Banos; Barangay Bagong Silang, Mt. Makiling Forest Reserve, Camp Malaboo	14.13356	121.20447	AA-397-C7	False	2011-05-10	ku_freezer.txt/ku_gekkonid_tissues.txt
CDS	5822	KU	330797	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Laguna Province; Municipality of Los Banos; Barangay Bagong Silang, Mt. Makiling Forest Reserve, Camp Malaboo	14.13356	121.20447	AA-398-E3	False	2011-05-11	ku_freezer.txt/ku_gekkonid_tissues.txt
CDS	5823	KU	330798	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Laguna Province; Municipality of Los Banos; Barangay Bagong Silang, Mt. Makiling Forest Reserve, Camp Malaboo	14.13356	121.20447	AA-398-E4	False	2011-05-11	ku_freezer.txt/ku_gekkonid_tissues.txt
CDS	5824	KU	330799	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Laguna Province; Municipality of Los Banos; Barangay Bagong Silang, Mt. Makiling Forest Reserve, Camp Malaboo	14.13356	121.20447	AA-398-E5	False	2011-05-11	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	13366	KU	325814	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Nueva Vizcaya Province; Municipality of Quezon; Barangay Maddiangat, Sitio Upper Dayog	16.462	121.22	Y-367-B7	False	2010-01-10	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	13367	KU	325815	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Nueva Vizcaya Province; Municipality of Quezon; Barangay Maddiangat, Sitio Upper Dayog	16.462	121.22	Y-367-B8	False	2010-01-10	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	13510	KU	325816	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Nueva Vizcaya Province; Municipality of Quezon; Barangay Maddiangat, Sitio Upper Dayog	16.462	121.22	Y-368-I7	False	2010-01-14	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	13571	KU	325817	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Nueva Vizcaya Province; Municipality of Quezon; Barangay Maddiangat, Sitio Upper Dayog	16.462	121.22	Y-369-G5	False	2010-01-15	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	13651	KU	328799	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Quezon Province; Municipality of Atimonan; Exact locality unknown (coordinates at center of municipality)	13.99583	121.905	Z-380-G6	False	2011-01-02	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	13652	KU	328800	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Quezon Province; Municipality of Atimonan; Exact locality unknown (coordinates at center of municipality)	13.99583	121.905	Z-380-G7	False	2011-01-02	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	13653	KU	328801	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Quezon Province; Municipality of Atimonan; Exact locality unknown (coordinates at center of municipality)	13.99583	121.905	Z-380-G8	False	2011-01-02	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	13654	KU	328802	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Quezon Province; Municipality of Atimonan; Exact locality unknown (coordinates at center of municipality)	13.99583	121.905	Z-380-G9	False	2011-01-02	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	13664	KU	328803	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Quezon Province; Municipality of Atimonan; Exact locality unknown (coordinates at center of municipality)	13.99583	121.905	Z-380-I1	False	2011-01-02	ku_freezer.txt/ku_gekkonid_tissues.txt
ELR	681	KU	305430	Cyrtodactylus	philippinicus	Philippines	Mindoro	Mindoro	Occidental Mindoro Province; Municipality of Sablayan; Barangay Batong Buhay			K-153-F1	False	2006-09-18	ku_freezer.txt/ku_gekkonid_tissues.txt
ELR	682	KU	305431	Cyrtodactylus	philippinicus	Philippines	Mindoro	Mindoro	Occidental Mindoro Province; Municipality of Sablayan; Barangay Batong Buhay			K-153-F2	False	2006-09-18	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	6447	KU	306613	Cyrtodactylus	philippinicus	Philippines	Mindoro	Mindoro	Occidental Mindoro Province; Municipality of Sablayan; Barangay Batong Buhay			K-150-D7	True	2006-10-01	ku_freezer.txt/ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
RMB	6455	KU	306612	Cyrtodactylus	philippinicus	Philippines	Mindoro	Mindoro	Occidental Mindoro Province; Municipality of Sablayan; Barangay Batong Buhay			K-150-E6	False	2006-10-03	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	6628	KU	306614	Cyrtodactylus	philippinicus	Philippines	Mindoro	Mindoro	Occidental Mindoro Province; Municipality of Sablayan; Barangay Batong Buhay			K-152-F8	False	2006-10-24	ku_freezer.txt/ku_gekkonid_tissues.txt
CDS	4341	KU	324376	Cyrtodactylus	philippinicus	Philippines	Negros	Visayan	Negros Occidental Province; ; Barangay Patag; city of Silay; Mt. Bungol	10.67599	123.18777	W-340-G4	False	2009-07-21	ku_freezer.txt/ku_gekkonid_tissues.txt
CDS	4342	KU	324377	Cyrtodactylus	philippinicus	Philippines	Negros	Visayan	Negros Occidental Province; ; Barangay Patag; city of Silay; Mt. Bungol	10.67599	123.18777	W-340-G5	False	2009-07-21	ku_freezer.txt/ku_gekkonid_tissues.txt
CDS	4384	KU	324378	Cyrtodactylus	philippinicus	Philippines	Negros	Visayan	Negros Occidental Province; ; Barangay Patag; city of Silay; Mt. Bungol	10.67599	123.18777	X-358-F4	False	2009-07-23	ku_freezer.txt/ku_gekkonid_tissues.txt
CDS	173	KU	302639	Cyrtodactylus	philippinicus	Philippines	Panay	Visayan	Antique Province; Municipality of Pandan; Barangay Duyong	11.7609167	122.0411833	E-61-7	False	2000-10-16	ku_freezer.txt/ku_gekkonid_tissues.txt
CDS	1511	KU	302640	Cyrtodactylus	philippinicus	Philippines	Panay	Visayan	Antique Province; Municipality of Pandan; Barangay Duyong	11.76081	122.03974	G-99-B9	True	2001-11-24	ku_freezer.txt/ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
CDS	1550	KU	302641	Cyrtodactylus	philippinicus	Philippines	Panay	Visayan	Antique Province; Municipality of Pandan; Barangay Duyong	11.76081	122.03974	G-99-G1	False	2001-11-24	ku_freezer.txt/ku_gekkonid_tissues.txt
CDS	1558	KU	302642	Cyrtodactylus	philippinicus	Philippines	Panay	Visayan	Antique Province; Municipality of Pandan; Barangay Duyong	11.76081	122.03974	G-99-G9	True	2001-11-24	ku_freezer.txt/ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
CDS	1559	KU	302643	Cyrtodactylus	philippinicus	Philippines	Panay	Visayan	Antique Province; Municipality of Pandan; Barangay Duyong	11.76081	122.03974	G-99-H1	True	2001-11-24	ku_freezer.txt/ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
CDS	1560	KU	302644	Cyrtodactylus	philippinicus	Philippines	Panay	Visayan	Antique Province; Municipality of Pandan; Barangay Duyong	11.76081	122.03974	G-99-H2	False	2001-11-24	ku_freezer.txt/ku_gekkonid_tissues.txt
CDS	1566	KU	302645	Cyrtodactylus	philippinicus	Philippines	Panay	Visayan	Antique Province; Municipality of Pandan; Barangay Duyong	11.76081	122.03974	G-99-H8	False	2001-11-24	ku_freezer.txt/ku_gekkonid_tissues.txt
CDS	1112	KU	302650	Cyrtodactylus	philippinicus	Philippines	Polillo	Luzon	Quezon Province; Municipality of Polillo; Barangay Pinaglubayan	14.7525833	121.9682	E-73-31	False	2001-03-01	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	6259	KU	307451	Cyrtodactylus	philippinicus	Philippines	Polillo	Luzon	Quezon Province; Municipality of Polillo; Barangay Pinaglubayan	14.75255	121.9683167	I-135-9	False	2006-07-22	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	6260	KU	307452	Cyrtodactylus	philippinicus	Philippines	Polillo	Luzon	Quezon Province; Municipality of Polillo; Barangay Pinaglubayan	14.75255	121.9683167	I-135-10	False	2006-07-22	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	6261	KU	307453	Cyrtodactylus	philippinicus	Philippines	Polillo	Luzon	Quezon Province; Municipality of Polillo; Barangay Pinaglubayan	14.75255	121.9683167	I-135-11	False	2006-07-22	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	8870	KU	326518	Cyrtodactylus	philippinicus	Philippines	Polillo	Luzon	Quezon Province; Municipality of Polillo; Barangay Poblacion			R-263-A2	False	2008-04-06	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	6273	KU	307454	Cyrtodactylus	philippinicus	Philippines	Polillo	Luzon	Quezon Province; Municipality of Polillo; Barangay Salipsip, Sitio Kapilijan	14.8447333	121.9193	I-135-23	False	2006-07-23	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	6332	KU	307455	Cyrtodactylus	philippinicus	Philippines	Polillo	Luzon	Quezon Province; Municipality of Polillo; Barangay Salipsip, Sitio Kapilijan	14.8447333	121.9193	I-135-81	True	2006-07-24	ku_freezer.txt/ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
CDS	1442	KU	302635	Cyrtodactylus	philippinicus	Philippines	Sibuyan	Romblon	Romblon Province; Municipaity of Magdiwang; Barangay Talaba, Mount Guiting-Guiting Natural Park	12.4612167	122.66435	E-75-43	True	2001-03-24	ku_freezer.txt/ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
RMB	5184	KU	303848	Cyrtodactylus	philippinicus	Philippines	Sibuyan	Romblon	Romblon Province; Municipality of Magdiwang; Barangay Talaba, Mount Guiting-Guiting Natural Park	12.4612167	122.66435	D-49-21	True	2005-03-23	ku_freezer.txt/ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
RMB	5185	KU	303849	Cyrtodactylus	philippinicus	Philippines	Sibuyan	Romblon	Romblon Province; Municipality of Magdiwang; Barangay Talaba, Mount Guiting-Guiting Natural Park	12.4612167	122.66435	D-49-22	True	2005-03-23	ku_freezer.txt/ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
RMB	8761	KU	315340	Cyrtodactylus	philippinicus	Philippines	Tablas	Romblon	Romblon Province; Municipality of Calatrava; Barangay Balogo: Sitio Piqueno	12.60523	122.04552	R-261-B9	True	2008-01-07	ku_freezer.txt/ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
RMB	8762	KU	315341	Cyrtodactylus	philippinicus	Philippines	Tablas	Romblon	Romblon Province; Municipality of Calatrava; Barangay Balogo: Sitio Piqueno	12.60523	122.04552	R-261-C1	False	2008-01-07	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	8763	KU	315342	Cyrtodactylus	philippinicus	Philippines	Tablas	Romblon	Romblon Province; Municipality of Calatrava; Barangay Balogo: Sitio Piqueno	12.60523	122.04552	R-261-C2	True	2008-01-07	ku_freezer.txt/ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
RMB	8764	KU	315343	Cyrtodactylus	philippinicus	Philippines	Tablas	Romblon	Romblon Province; Municipality of Calatrava; Barangay Balogo: Sitio Piqueno	12.60523	122.04552	R-261-C3	True	2008-01-07	ku_freezer.txt/ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
RMB	8790	KU	315345	Cyrtodactylus	philippinicus	Philippines	Tablas	Romblon	Romblon Province; Municipality of Calatrava; Barangay Balogo: Sitio Piqueno	12.60523	122.04552	R-261-F1	False	2008-01-08	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	7757	KU	309326	Cyrtodactylus	redimiculus	Philippines	Palawan	Palawan	"Palawan Province; Municipality of Brooke's Point; Barangay Samarinana (Border with Barangay Saulog), Mt. Mantalingahan Range, Area ""Pitang"""	8.7503	117.6896	M-191-C1	False	2007-03-28	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	7760	KU	309327	Cyrtodactylus	redimiculus	Philippines	Palawan	Palawan	"Palawan Province; Municipality of Brooke's Point; Barangay Samarinana (Border with Barangay Saulog), Mt. Mantalingahan Range, Area ""Pitang"""	8.7503	117.6896	M-191-C4	True	2007-03-28	ku_freezer.txt/ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
RMB	7829	KU	309328	Cyrtodactylus	redimiculus	Philippines	Palawan	Palawan	"Palawan Province; Municipality of Brooke's Point; Barangay Samarinana (Border with Barangay Saulog), Mt. Mantalingahan Range, Area ""Pitang"""	8.7503	117.6896	M-192-A6	True	2007-03-30	ku_freezer.txt/ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
RMB	7842	KU	309329	Cyrtodactylus	redimiculus	Philippines	Palawan	Palawan	"Palawan Province; Municipality of Brooke's Point; Barangay Samarinana (Border with Barangay Saulog), Mt. Mantalingahan Range, Area ""Pitang"""	8.7503	117.6896	M-192-C1	True	2007-03-31	ku_freezer.txt/ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
RMB	7859	KU	309330	Cyrtodactylus	redimiculus	Philippines	Palawan	Palawan	"Palawan Province; Municipality of Brooke's Point; Barangay Samarinana (Border with Barangay Saulog), Mt. Mantalingahan Range, Area ""Pitang"""	8.7503	117.6896	M-192-D9	False	2007-03-31	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	7873	KU	309627	Cyrtodactylus	redimiculus	Philippines	Palawan	Palawan	"Palawan Province; Municipality of Brooke's Point; Boundary of Barangay Samarinana and Saubg: Mt. Mantalingahan: Area ""Pitang"""	8.7637167	117.6867	M-192-F4	False	2007-04-01	ku_freezer.txt/ku_gekkonid_tissues.txt
CDS	2703	KU	310797	Cyrtodactylus	sumuroi	Philippines	Samar	Mindanao	Eastern Samar Province; Municipality of Taft; Barangay San Rafael	11.8312	125.27905	Q-249-C4	False	2007-10-17	ku_freezer.txt/ku_gekkonid_tissues.txt
CDS	2844	KU	310798	Cyrtodactylus	sumuroi	Philippines	Samar	Mindanao	Eastern Samar Province; Municipality of Taft; Barangay San Rafael	11.80255	125.29276	Q-251-A1	True	2007-10-17	ku_freezer.txt/ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
CDS	2967	KU	310799	Cyrtodactylus	sumuroi	Philippines	Samar	Mindanao	Eastern Samar Province; Municipality of Taft; Barangay San Rafael	11.80255	125.29276	Q-252-E7	True	2007-10-22	ku_freezer.txt/ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
CDS	2984	KU	310800	Cyrtodactylus	sumuroi	Philippines	Samar	Mindanao	Eastern Samar Province; Municipality of Taft; Barangay San Rafael	11.80255	125.29276	Q-252-G6	False	2007-10-22	ku_freezer.txt/ku_gekkonid_tissues.txt
CDS	3030	KU	310801	Cyrtodactylus	sumuroi	Philippines	Samar	Mindanao	Eastern Samar Province; Municipality of Taft; Barangay San Rafael	11.80255	125.29276	Q-253-C7	False	2007-10-22	ku_freezer.txt/ku_gekkonid_tissues.txt
CDS	3047	KU	310802	Cyrtodactylus	sumuroi	Philippines	Samar	Mindanao	Eastern Samar Province; Municipality of Taft; Barangay San Rafael	11.80255	125.29276	Q-253-E6	False	2007-10-23	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	7646	KU	309319	Cyrtodactylus	tautbatorum	Philippines	Palawan	Palawan	Palawan Province; Municipality of Brooke's Point; Barangay Mainit, Mainit Falls	9.8367333	118.6416167	M-189-H7	False	2007-03-23	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	7647	KU	309320	Cyrtodactylus	tautbatorum	Philippines	Palawan	Palawan	Palawan Province; Municipality of Brooke's Point; Barangay Mainit, Mainit Falls	9.8367333	118.6416167	M-189-H8	False	2007-03-23	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	7648	KU	309321	Cyrtodactylus	tautbatorum	Philippines	Palawan	Palawan	Palawan Province; Municipality of Brooke's Point; Barangay Mainit, Mainit Falls	9.8367333	118.6416167	M-189-H9	False	2007-03-23	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	7649	KU	309322	Cyrtodactylus	tautbatorum	Philippines	Palawan	Palawan	Palawan Province; Municipality of Brooke's Point; Barangay Mainit, Mainit Falls	9.8367333	118.6416167	M-189-I1	False	2007-03-23	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	7650	KU	309323	Cyrtodactylus	tautbatorum	Philippines	Palawan	Palawan	Palawan Province; Municipality of Brooke's Point; Barangay Mainit, Mainit Falls	9.8367333	118.6416167	M-189-I2	False	2007-03-23	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	7717	KU	309324	Cyrtodactylus	tautbatorum	Philippines	Palawan	Palawan	Palawan Province; Municipality of Brooke's Point; Barangay Mainit, Mainit Falls	9.8367333	118.6416167	M-190-G6	False	2007-03-23	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	7721	KU	309325	Cyrtodactylus	tautbatorum	Philippines	Palawan	Palawan	Palawan Province; Municipality of Brooke's Point; Barangay Mainit, Mainit Falls	9.8367333	118.6416167	M-190-H1	False	2007-03-23	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	12532	KU	322258	Gehyra	mutilata	Philippines	Luzon	Luzon	Aurora Province; Municipality of Baler; Barangay Zabali, Aurora State College of Technology (ASCOT)	15.742	121.576	U-307-F2	False	2009-06-05	ku_gekkonid_tissues.txt
RMB	12536	KU	322259	Gehyra	mutilata	Philippines	Luzon	Luzon	Aurora Province; Municipality of Baler; Barangay Zabali, Aurora State College of Technology (ASCOT)	15.742	121.576	U-307-F6	False	2009-06-05	ku_gekkonid_tissues.txt
RMB	12578	KU	322254	Gehyra	mutilata	Philippines	Luzon	Luzon	Aurora Province; Municipality of Baler; Barangay Zabali, Aurora State College of Technology (ASCOT)	15.742	121.576	U-308-B3	False	2009-06-07	ku_gekkonid_tissues.txt
RMB	12582	KU	322260	Gehyra	mutilata	Philippines	Luzon	Luzon	Aurora Province; Municipality of Baler; Barangay Zabali, Aurora State College of Technology (ASCOT)	15.742	121.576	U-308-B7	False	2009-06-07	ku_gekkonid_tissues.txt
RMB	12584	KU	322261	Gehyra	mutilata	Philippines	Luzon	Luzon	Aurora Province; Municipality of Baler; Barangay Zabali, Aurora State College of Technology (ASCOT)	15.742	121.576	U-308-B9	False	2009-06-07	ku_gekkonid_tissues.txt
RMB	3118	KU	309335	Gekko	athymus	Philippines	Palawan	Palawan	Palawan Province; Municipality of Brooke's Point; Barangay Mainit, Mainit Falls	9.8367333	118.6416167	B/O-20/220-A5/F5/A6	False	2007-04-01	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	7828	KU	309331	Gekko	athymus	Philippines	Palawan	Palawan	"Palawan Province; Municipality of Brooke's Point; Barangay Samarinana (Border with Barangay Saulog), Mt. Mantalingahan Range, Area ""Pitang"""	8.7503	117.6896	M-192-A5	True	2007-03-30	ku_freezer.txt/ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
RMB	7830	KU	309332	Gekko	athymus	Philippines	Palawan	Palawan	"Palawan Province; Municipality of Brooke's Point; Barangay Samarinana (Border with Barangay Saulog), Mt. Mantalingahan Range, Area ""Pitang"""	8.7503	117.6896	M-192-A7	False	2007-03-30	ku_gekkonid_tissues.txt
RMB	7831	KU	309333	Gekko	athymus	Philippines	Palawan	Palawan	"Palawan Province; Municipality of Brooke's Point; Barangay Samarinana (Border with Barangay Saulog), Mt. Mantalingahan Range, Area ""Pitang"""	8.7503	117.6896	M-192-A8	False	2007-03-30	ku_gekkonid_tissues.txt
RMB	7798	KU	309334	Gekko	athymus	Philippines	Palawan	Palawan	"Palawan Province; Municipality of Brooke's Point; Boundary of Barangay Samarinana and Saulog: Mt. Mantalingahan Range: Area ""Pitang"""	8.7503	117.6896	M-191-G2	True	2007-03-29	ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
RMB	13587	KU	328370	Gekko	carusadensis	Philippines	Luzon	Luzon	Laguna Province; Municipality of Los Banos; Barangay Batong Malake, UPLB Forrestry Campus	14.1534333	121.2322	Z-388-C9	False		ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	13588	KU	328371	Gekko	carusadensis	Philippines	Luzon	Luzon	Laguna Province; Municipality of Los Banos; Barangay Batong Malake, UPLB Forrestry Campus	14.1534333	121.2322	Z-378-H3	True		ku_freezer.txt/ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
RMB	13589	KU	328372	Gekko	carusadensis	Philippines	Luzon	Luzon	Laguna Province; Municipality of Los Banos; Barangay Batong Malake, UPLB Forrestry Campus	14.1534333	121.2322	Z-378-H4	True		ku_freezer.txt/ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
RMB	13590	KU	328373	Gekko	carusadensis	Philippines	Luzon	Luzon	Laguna Province; Municipality of Los Banos; Barangay Batong Malake, UPLB Forrestry Campus	14.1534333	121.2322	Z-378-H5	True		ku_freezer.txt/ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
RMB	13591	KU	328374	Gekko	carusadensis	Philippines	Luzon	Luzon	Laguna Province; Municipality of Los Banos; Barangay Batong Malake, UPLB Forrestry Campus	14.1534333	121.2322	Z-388-D2	False		ku_freezer.txt/ku_gekkonid_tissues.txt
KU-FS	13	KU	311493	Gekko	chinensis	China			Guangxi; ; Nanning City, People's Park			K-165-D8/F7	False	2005-04-11	ku_gekkonid_tissues.txt
KU-FS	14	KU	311494	Gekko	chinensis	China			Guangxi; ; Nanning City, People's Park			K-165-G1	False	2005-04-11	ku_gekkonid_tissues.txt
KU-FS	15	KU	311495	Gekko	chinensis	China			Guangxi; ; Nanning City, People's Park			K-165-G2	False	2005-04-11	ku_gekkonid_tissues.txt
KU-FS	17	KU	311497	Gekko	chinensis	China			Guangxi; ; Nanning City, People's Park			K-165-F8	False	2005-04-11	ku_gekkonid_tissues.txt
